block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30965.503906,51093081,13307.859375,0.429764,17986.781250,0.580865,4330.739258,0.139857,768.752136,0.024826,0.000000,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30880.150391,50952249,13307.859375,0.430952,17987.625000,0.582498,4232.917480,0.137076,768.855164,0.024898,0.000000,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30886.927734,50963430,13307.859375,0.430857,17989.025391,0.582415,4236.727051,0.137169,775.569092,0.025110,0.000000,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30864.330078,50926143,13305.779297,0.431105,17984.572266,0.582698,4209.675293,0.136393,795.566040,0.025776,0.000000,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30880.591797,50952977,13307.859375,0.430946,17989.621094,0.582554,4223.995117,0.136785,800.829712,0.025933,0.000000,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31151.941406,51400702,13307.859375,0.427192,17988.876953,0.577456,4496.533203,0.144342,807.893921,0.025934,0.000000,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31169.724609,51430043,13307.859375,0.426948,17987.933594,0.577096,4520.773438,0.145037,815.255127,0.026155,0.000000,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31228.199219,51526526,13305.779297,0.426082,17987.910156,0.576015,4582.738770,0.146750,781.028503,0.025010,0.000000,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31239.078125,51544480,13307.859375,0.426000,17988.369141,0.575829,4584.531738,0.146756,790.399414,0.025302,0.000000,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30955.365234,51076351,13307.859375,0.429905,17990.640625,0.581180,4305.173828,0.139077,781.230896,0.025237,0.000000,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30957.316406,51079571,13307.859375,0.429878,17987.384766,0.581038,4308.323730,0.139170,788.197571,0.025461,0.000000,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30920.841797,51019388,13305.779297,0.430318,17986.443359,0.581693,4269.834473,0.138089,808.493347,0.026147,0.000000,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30925.890625,51027720,13307.859375,0.430315,17986.845703,0.581611,4276.803711,0.138292,815.144226,0.026358,0.000000,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30930.855469,51035911,13307.859375,0.430245,17988.175781,0.581561,4280.887695,0.138402,780.987244,0.025249,0.000000,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30945.972656,51060856,13307.859375,0.430035,17988.705078,0.581294,4290.233887,0.138636,790.643616,0.025549,0.000000,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31209.177734,51495146,13305.779297,0.426342,17985.103516,0.576276,4562.563477,0.146193,780.985474,0.025024,0.000000,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31214.320312,51503627,13307.859375,0.426338,17987.685547,0.576264,4561.405273,0.146132,789.911499,0.025306,0.000000,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31146.453125,51391646,13307.859375,0.427267,17988.066406,0.577532,4493.263672,0.144262,806.193970,0.025884,0.000000,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31149.193359,51396168,13307.859375,0.427230,17990.115234,0.577547,4491.376953,0.144189,812.952698,0.026099,0.000000,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30845.148438,50894494,13305.779297,0.431373,17984.345703,0.583053,4196.352539,0.136046,795.575745,0.025793,0.000000,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30856.203125,50912736,13307.859375,0.431286,17989.576172,0.583013,4197.703125,0.136041,798.440613,0.025876,0.000000,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30871.419922,50937843,13307.859375,0.431074,17988.273438,0.582684,4216.859863,0.136594,771.139404,0.024979,0.000000,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30877.048828,50947133,13307.859375,0.430995,17987.988281,0.582568,4226.012695,0.136866,775.329102,0.025110,0.000000,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30950.857422,51068916,13305.779297,0.429900,17987.425781,0.581161,4282.383789,0.138361,760.283020,0.024564,0.000000,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30960.349609,51084575,13307.859375,0.429836,17989.626953,0.581054,4291.417480,0.138610,768.108459,0.024809,0.000000,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31071.306641,51267655,13307.859375,0.428301,17989.425781,0.578972,4425.761230,0.142439,760.998169,0.024492,0.000000,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31080.775391,51283279,13307.859375,0.428170,17989.580078,0.578801,4440.613770,0.142873,768.622437,0.024730,0.000000,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31232.328125,51533341,13305.779297,0.426026,17986.003906,0.575878,4597.992676,0.147219,768.062439,0.024592,0.000000,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31247.175781,51557840,13307.859375,0.425890,17989.455078,0.575715,4603.216797,0.147316,775.410278,0.024815,0.000000,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31303.375000,51650569,13307.859375,0.425125,17989.732422,0.574690,4668.322266,0.149132,795.412720,0.025410,0.000000,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31321.589844,51680622,13307.859375,0.424878,17990.308594,0.574374,4683.621094,0.149533,800.128479,0.025546,0.000000,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30964.976562,51092211,13305.779297,0.429704,17988.013672,0.580915,4299.695312,0.138857,838.610901,0.027083,0.000000,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30971.490234,51102959,13307.859375,0.429681,17989.103516,0.580828,4309.858398,0.139156,846.739380,0.027339,0.000000,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31302.359375,51648892,13307.859375,0.425139,17990.369141,0.574729,4642.208008,0.148302,793.826660,0.025360,0.000000,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31309.294922,51660336,13307.859375,0.425045,17991.347656,0.574633,4648.107422,0.148458,800.687256,0.025573,0.000000,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31236.392578,51540047,13305.779297,0.425970,17988.574219,0.575885,4598.529785,0.147217,769.733948,0.024642,0.000000,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31254.904297,51570593,13307.859375,0.425785,17992.931641,0.575683,4611.254395,0.147537,778.615784,0.024912,0.000000,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31072.533203,51269679,13307.859375,0.428284,17992.302734,0.579042,4421.429199,0.142294,758.642395,0.024415,0.000000,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31090.361328,51299096,13307.859375,0.428038,17994.648438,0.578785,4434.803223,0.142642,766.996948,0.024670,0.000000,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30965.343750,51092816,13304.739258,0.429666,18000.660156,0.581316,4327.548340,0.139755,761.029724,0.024577,0.000000,
