block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte1_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,vector0,NA,NA,NA,NA,NA,NA,30965.503906,51093081,0.061109,0.054096,0.007012,0.000000,0.000000,0.194739,0.000000,0.000000,0.019535,
1,vector0,NA,NA,NA,NA,NA,NA,30880.150391,50952249,0.061277,0.054246,0.007032,0.000000,0.000000,0.192360,0.000000,0.000000,0.019589,
2,vector0,NA,NA,NA,NA,NA,NA,30886.927734,50963430,0.061264,0.054234,0.007030,0.000000,0.000000,0.192589,0.000000,0.000000,0.019584,
3,vector0,NA,NA,NA,NA,NA,NA,30864.330078,50926143,0.061299,0.054265,0.007034,0.000000,0.000000,0.191992,0.000000,0.000000,0.019596,
4,vector0,NA,NA,NA,NA,NA,NA,30880.591797,50952977,0.061277,0.054245,0.007032,0.000000,0.000000,0.192255,0.000000,0.000000,0.019588,
5,vector0,NA,NA,NA,NA,NA,NA,31151.941406,51400702,0.060743,0.053772,0.006970,0.000000,0.000000,0.199258,0.000000,0.000000,0.019418,
6,vector0,NA,NA,NA,NA,NA,NA,31169.724609,51430043,0.060708,0.053742,0.006967,0.000000,0.000000,0.199844,0.000000,0.000000,0.019407,
7,vector0,NA,NA,NA,NA,NA,NA,31228.199219,51526526,0.060585,0.053633,0.006952,0.000000,0.000000,0.201644,0.000000,0.000000,0.019367,
8,vector0,NA,NA,NA,NA,NA,NA,31239.078125,51544480,0.060573,0.053622,0.006951,0.000000,0.000000,0.201665,0.000000,0.000000,0.019364,
9,vector0,NA,NA,NA,NA,NA,NA,30955.365234,51076351,0.061129,0.054114,0.007015,0.000000,0.000000,0.194398,0.000000,0.000000,0.019541,
10,vector0,NA,NA,NA,NA,NA,NA,30957.316406,51079571,0.061125,0.054110,0.007014,0.000000,0.000000,0.194235,0.000000,0.000000,0.019540,
11,vector0,NA,NA,NA,NA,NA,NA,30920.841797,51019388,0.061187,0.054166,0.007021,0.000000,0.000000,0.193578,0.000000,0.000000,0.019560,
12,vector0,NA,NA,NA,NA,NA,NA,30925.890625,51027720,0.061187,0.054165,0.007021,0.000000,0.000000,0.193686,0.000000,0.000000,0.019560,
13,vector0,NA,NA,NA,NA,NA,NA,30930.855469,51035911,0.061177,0.054157,0.007020,0.000000,0.000000,0.193532,0.000000,0.000000,0.019557,
14,vector0,NA,NA,NA,NA,NA,NA,30945.972656,51060856,0.061147,0.054130,0.007017,0.000000,0.000000,0.193883,0.000000,0.000000,0.019547,
15,vector0,NA,NA,NA,NA,NA,NA,31209.177734,51495146,0.060622,0.053665,0.006957,0.000000,0.000000,0.201243,0.000000,0.000000,0.019379,
16,vector0,NA,NA,NA,NA,NA,NA,31214.320312,51503627,0.060621,0.053665,0.006957,0.000000,0.000000,0.201333,0.000000,0.000000,0.019379,
17,vector0,NA,NA,NA,NA,NA,NA,31146.453125,51391646,0.060754,0.053782,0.006972,0.000000,0.000000,0.199477,0.000000,0.000000,0.019421,
18,vector0,NA,NA,NA,NA,NA,NA,31149.193359,51396168,0.060748,0.053777,0.006971,0.000000,0.000000,0.199375,0.000000,0.000000,0.019420,
19,vector0,NA,NA,NA,NA,NA,NA,30845.148438,50894494,0.061337,0.054299,0.007039,0.000000,0.000000,0.191451,0.000000,0.000000,0.019608,
20,vector0,NA,NA,NA,NA,NA,NA,30856.203125,50912736,0.061325,0.054288,0.007037,0.000000,0.000000,0.191668,0.000000,0.000000,0.019604,
21,vector0,NA,NA,NA,NA,NA,NA,30871.419922,50937843,0.061295,0.054261,0.007034,0.000000,0.000000,0.191865,0.000000,0.000000,0.019594,
22,vector0,NA,NA,NA,NA,NA,NA,30877.048828,50947133,0.061284,0.054251,0.007033,0.000000,0.000000,0.192513,0.000000,0.000000,0.019591,
23,vector0,NA,NA,NA,NA,NA,NA,30950.857422,51068916,0.061128,0.054113,0.007015,0.000000,0.000000,0.194287,0.000000,0.000000,0.019541,
24,vector0,NA,NA,NA,NA,NA,NA,30960.349609,51084575,0.061119,0.054105,0.007014,0.000000,0.000000,0.194374,0.000000,0.000000,0.019538,
25,vector0,NA,NA,NA,NA,NA,NA,31071.306641,51267655,0.060900,0.053912,0.006989,0.000000,0.000000,0.197158,0.000000,0.000000,0.019468,
26,vector0,NA,NA,NA,NA,NA,NA,31080.775391,51283279,0.060882,0.053895,0.006986,0.000000,0.000000,0.197492,0.000000,0.000000,0.019462,
27,vector0,NA,NA,NA,NA,NA,NA,31232.328125,51533341,0.060577,0.053626,0.006951,0.000000,0.000000,0.201517,0.000000,0.000000,0.019365,
28,vector0,NA,NA,NA,NA,NA,NA,31247.175781,51557840,0.060558,0.053608,0.006949,0.000000,0.000000,0.201713,0.000000,0.000000,0.019359,
29,vector0,NA,NA,NA,NA,NA,NA,31303.375000,51650569,0.060449,0.053512,0.006937,0.000000,0.000000,0.203483,0.000000,0.000000,0.019324,
30,vector0,NA,NA,NA,NA,NA,NA,31321.589844,51680622,0.060414,0.053481,0.006933,0.000000,0.000000,0.203929,0.000000,0.000000,0.019313,
31,vector0,NA,NA,NA,NA,NA,NA,30964.976562,51092211,0.061100,0.054089,0.007011,0.000000,0.000000,0.194202,0.000000,0.000000,0.019532,
32,vector0,NA,NA,NA,NA,NA,NA,30971.490234,51102959,0.061097,0.054086,0.007011,0.000000,0.000000,0.194504,0.000000,0.000000,0.019531,
33,vector0,NA,NA,NA,NA,NA,NA,31302.359375,51648892,0.060451,0.053514,0.006937,0.000000,0.000000,0.203530,0.000000,0.000000,0.019324,
34,vector0,NA,NA,NA,NA,NA,NA,31309.294922,51660336,0.060438,0.053502,0.006935,0.000000,0.000000,0.203366,0.000000,0.000000,0.019320,
35,vector0,NA,NA,NA,NA,NA,NA,31236.392578,51540047,0.060569,0.053619,0.006951,0.000000,0.000000,0.201759,0.000000,0.000000,0.019362,
36,vector0,NA,NA,NA,NA,NA,NA,31254.904297,51570593,0.060543,0.053595,0.006948,0.000000,0.000000,0.202163,0.000000,0.000000,0.019354,
37,vector0,NA,NA,NA,NA,NA,NA,31072.533203,51269679,0.060898,0.053910,0.006988,0.000000,0.000000,0.197208,0.000000,0.000000,0.019467,
38,vector0,NA,NA,NA,NA,NA,NA,31090.361328,51299096,0.060863,0.053879,0.006984,0.000000,0.000000,0.197646,0.000000,0.000000,0.019456,
39,vector0,NA,NA,NA,NA,NA,NA,30965.343750,51092816,0.061095,0.054084,0.007011,0.000000,0.000000,0.194561,0.000000,0.000000,0.019530,
