block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31410.021484,51826536,0.414794,0.140240,0.000000,0.000000,0.000000,0.015802,491366528,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31409.335938,51825405,0.414803,0.140243,0.000000,0.000000,0.000000,0.015802,491366528,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31457.808594,51905386,0.414163,0.140026,0.000000,0.000000,0.000000,0.015778,491366528,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31490.298828,51958993,0.413671,0.139860,0.000000,0.000000,0.000000,0.015759,491289728,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31458.693359,51906844,0.414152,0.140023,0.000000,0.000000,0.000000,0.015777,491366528,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31498.281250,51972165,0.413631,0.139847,0.000000,0.000000,0.000000,0.015757,491366528,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31978.269531,52764146,0.407423,0.137747,0.000000,0.000000,0.000000,0.015521,491366528,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31943.154297,52706204,0.407807,0.137877,0.000000,0.000000,0.000000,0.015536,491289728,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31810.750000,52487738,0.409568,0.138473,0.000000,0.000000,0.000000,0.015603,491366528,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31858.664062,52566795,0.408952,0.138265,0.000000,0.000000,0.000000,0.015579,491366528,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31491.554688,51961064,0.413720,0.139876,0.000000,0.000000,0.000000,0.015761,491366528,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31548.732422,52055407,0.412905,0.139601,0.000000,0.000000,0.000000,0.015730,491289728,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31391.558594,51796070,0.415037,0.140322,0.000000,0.000000,0.000000,0.015811,491366528,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31409.541016,51825744,0.414800,0.140242,0.000000,0.000000,0.000000,0.015802,491366528,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31452.304688,51896303,0.414236,0.140051,0.000000,0.000000,0.000000,0.015780,491366528,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31452.482422,51896595,0.414169,0.140028,0.000000,0.000000,0.000000,0.015778,491289728,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31544.189453,52047911,0.413029,0.139643,0.000000,0.000000,0.000000,0.015735,491366528,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31584.001953,52113603,0.412509,0.139467,0.000000,0.000000,0.000000,0.015715,491366528,
