block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31410.021484,51826536,6014,399,2410482,9340,2410189,9353,93.778259,99.613731,99.606010,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31409.335938,51825405,6013,400,2414053,5535,2414344,5525,93.762672,99.771461,99.763512,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31457.808594,51905386,6013,400,2417166,1968,2418362,1961,93.762672,99.918816,99.910667,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31490.298828,51958993,6012,400,2418796,1149,2417615,1142,93.761696,99.952652,99.944458,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31458.693359,51906844,6013,400,2418361,1605,2418014,1572,93.762672,99.934357,99.926186,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31498.281250,51972165,6013,400,2414332,5254,2414708,5258,93.762672,99.782791,99.774826,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31978.269531,52764146,6013,400,2408595,10533,2409987,10533,93.762672,99.564720,99.557037,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31943.154297,52706204,6013,399,2419684,457,2418290,459,93.777290,99.981071,99.972855,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31810.750000,52487738,6013,400,2419564,459,2419265,454,93.762672,99.981140,99.972908,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31858.664062,52566795,6013,400,2417710,2008,2418011,2012,93.762672,99.916939,99.908798,
