block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31410.021484,51826536,0.024282,18.366594,18.366657,0.024339,51212,0.290277,6399,0.024865,604920.500000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604918.375000,9.418766,799.750000,0.013797,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31409.335938,51825405,0.024283,18.367348,18.367411,0.024340,51213,0.290988,6399,0.025178,604932.125000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604930.000000,9.419152,799.750000,0.013797,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31457.808594,51905386,0.024245,18.339046,18.339109,0.024302,51213,0.291907,6399,0.025719,604932.125000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604930.000000,9.404639,799.750000,0.013776,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31490.298828,51958993,0.024216,18.317268,18.317331,0.024273,51205,0.294076,6398,0.025845,604837.750000,801.500000,NA,NA,NA,NA,NA,NA,NA,NA,604835.625000,9.393471,799.625000,0.013759,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31458.693359,51906844,0.024245,18.338892,18.338955,0.024301,51214,0.292532,6399,0.024911,604944.000000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604941.875000,9.404560,799.750000,0.013775,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31498.281250,51972165,0.024214,18.315844,18.315907,0.024271,51214,0.293152,6399,0.025051,604944.000000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604941.875000,9.392740,799.750000,0.013758,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31978.269531,52764146,0.023851,18.041281,18.041346,0.023907,51215,0.304486,6399,0.024428,604956.000000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604953.875000,9.251939,799.750000,0.013551,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31943.154297,52706204,0.023873,18.058287,18.058350,0.023929,51207,0.303743,6398,0.024759,604861.250000,801.500000,NA,NA,NA,NA,NA,NA,NA,NA,604859.125000,9.260659,799.625000,0.013564,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31810.750000,52487738,0.023976,18.136642,18.136705,0.024032,51216,0.300330,6399,0.025331,604967.750000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604965.625000,9.300842,799.750000,0.013623,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31858.664062,52566795,0.023940,18.109362,18.109425,0.023996,51216,0.301425,6399,0.025598,604967.625000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604965.500000,9.286852,799.750000,0.013602,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31491.554688,51961064,0.024219,18.320469,18.320534,0.024276,51216,0.294553,6399,0.025259,604967.625000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604965.500000,9.395112,799.750000,0.013761,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31548.732422,52055407,0.024172,18.284763,18.284830,0.024228,51209,0.295344,6398,0.025382,604884.875000,801.500000,NA,NA,NA,NA,NA,NA,NA,NA,604882.750000,9.376801,799.625000,0.013734,
