block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31410.021484,51826536,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31409.335938,51825405,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31457.808594,51905386,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31490.298828,51958993,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31458.693359,51906844,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31498.281250,51972165,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31978.269531,52764146,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31943.154297,52706204,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31810.750000,52487738,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31858.664062,52566795,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31491.554688,51961064,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31548.732422,52055407,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31391.558594,51796070,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31409.541016,51825744,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31452.304688,51896303,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31452.482422,51896595,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31544.189453,52047911,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31584.001953,52113603,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32021.667969,52835751,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32043.839844,52872335,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32253.728516,53218653,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32275.378906,53254378,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31586.529297,52117771,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31609.779297,52156137,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32275.767578,53255017,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32307.500000,53307377,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32025.929688,52842786,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32060.425781,52899703,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31521.214844,52010005,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31526.083984,52018039,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31494.763672,51966361,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31517.048828,52003131,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31366.113281,51754086,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31389.208984,51792196,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31490.630859,51959541,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31548.341797,52054765,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31844.632812,52543644,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31856.222656,52562768,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31931.365234,52686753,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31947.306641,52713054,
