block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,vector0,NA,NA,31410.021484,51826536,74.983101,36.908779,0.024284,0.048564,
1,vector0,NA,NA,31409.335938,51825405,74.984734,36.909584,0.024285,0.048565,
2,vector0,NA,NA,31457.808594,51905386,74.869194,36.852711,0.024247,0.048490,
3,vector0,NA,NA,31490.298828,51958993,74.780258,36.808937,0.024218,0.048433,
4,vector0,NA,NA,31458.693359,51906844,74.867088,36.851673,0.024246,0.048489,
5,vector0,NA,NA,31498.281250,51972165,74.772995,36.805359,0.024216,0.048428,
6,vector0,NA,NA,31978.269531,52764146,73.650665,36.252914,0.023852,0.047701,
7,vector0,NA,NA,31943.154297,52706204,73.720108,36.287098,0.023875,0.047746,
8,vector0,NA,NA,31810.750000,52487738,74.038513,36.443829,0.023978,0.047952,
9,vector0,NA,NA,31858.664062,52566795,73.927170,36.389019,0.023942,0.047880,
10,vector0,NA,NA,31491.554688,51961064,74.788963,36.813217,0.024221,0.048438,
11,vector0,NA,NA,31548.732422,52055407,74.641754,36.740761,0.024173,0.048343,
12,vector0,NA,NA,31391.558594,51796070,75.027199,36.930485,0.024298,0.048593,
13,vector0,NA,NA,31409.541016,51825744,74.984245,36.909344,0.024284,0.048565,
14,vector0,NA,NA,31452.304688,51896303,74.882294,36.859158,0.024251,0.048499,
15,vector0,NA,NA,31452.482422,51896595,74.870171,36.853191,0.024247,0.048491,
16,vector0,NA,NA,31544.189453,52047911,74.664169,36.751793,0.024181,0.048358,
17,vector0,NA,NA,31584.001953,52113603,74.570053,36.705467,0.024150,0.048297,
18,vector0,NA,NA,32021.667969,52835751,73.550842,36.203781,0.023820,0.047637,
19,vector0,NA,NA,32043.839844,52872335,73.488472,36.173080,0.023800,0.047596,
20,vector0,NA,NA,32253.728516,53218653,73.021660,35.943302,0.023649,0.047294,
21,vector0,NA,NA,32275.378906,53254378,72.972679,35.919189,0.023633,0.047262,
22,vector0,NA,NA,31586.529297,52117771,74.564087,36.702530,0.024148,0.048293,
23,vector0,NA,NA,31609.779297,52156137,74.497604,36.669804,0.024127,0.048250,
24,vector0,NA,NA,32275.767578,53255017,72.971794,35.918758,0.023633,0.047262,
25,vector0,NA,NA,32307.500000,53307377,72.900124,35.883480,0.023609,0.047215,
26,vector0,NA,NA,32025.929688,52842786,73.541061,36.198963,0.023817,0.047630,
27,vector0,NA,NA,32060.425781,52899703,73.450455,36.154366,0.023788,0.047572,
28,vector0,NA,NA,31521.214844,52010005,74.718590,36.778580,0.024198,0.048393,
29,vector0,NA,NA,31526.083984,52018039,74.707054,36.772900,0.024195,0.048385,
30,vector0,NA,NA,31494.763672,51966361,74.781342,36.809467,0.024219,0.048434,
31,vector0,NA,NA,31517.048828,52003131,74.716789,36.777695,0.024198,0.048392,
32,vector0,NA,NA,31366.113281,51754086,75.088066,36.960445,0.024318,0.048632,
33,vector0,NA,NA,31389.208984,51792196,75.032814,36.933250,0.024300,0.048596,
34,vector0,NA,NA,31490.630859,51959541,74.791161,36.814301,0.024222,0.048440,
35,vector0,NA,NA,31548.341797,52054765,74.642677,36.741215,0.024174,0.048344,
36,vector0,NA,NA,31844.632812,52543644,73.959740,36.405052,0.023953,0.047901,
37,vector0,NA,NA,31856.222656,52562768,73.932831,36.391808,0.023944,0.047884,
38,vector0,NA,NA,31931.365234,52686753,73.758850,36.306168,0.023888,0.047771,
39,vector0,NA,NA,31947.306641,52713054,73.704765,36.279549,0.023870,0.047736,
