block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31410.021484,51826536,13028.673828,0.414794,14365.878906,0.457366,9117.592773,0.290277,781.009705,0.024865,0.000000,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31409.335938,51825405,13028.673828,0.414803,14366.040039,0.457381,9139.731445,0.290988,790.812744,0.025178,0.000000,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31457.808594,51905386,13028.673828,0.414163,14366.006836,0.456675,9182.762695,0.291907,809.069702,0.025719,0.000000,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31490.298828,51958993,13026.637695,0.413671,14364.971680,0.456171,9260.543945,0.294076,813.873352,0.025845,0.000000,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31458.693359,51906844,13028.673828,0.414152,14367.296875,0.456704,9202.684570,0.292532,783.668457,0.024911,0.000000,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31498.281250,51972165,13028.673828,0.413631,14367.321289,0.456130,9233.795898,0.293152,789.057556,0.025051,0.000000,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31978.269531,52764146,13028.673828,0.407423,14367.890625,0.449302,9736.931641,0.304486,781.164246,0.024428,0.000000,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31943.154297,52706204,13026.637695,0.407807,14366.608398,0.449755,9702.516602,0.303743,790.878174,0.024759,0.000000,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31810.750000,52487738,13028.673828,0.409568,14368.541016,0.451688,9553.732422,0.300330,805.809082,0.025331,0.000000,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31858.664062,52566795,13028.673828,0.408952,14366.026367,0.450930,9603.001953,0.301425,815.519409,0.025598,0.000000,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31491.554688,51961064,13028.673828,0.413720,14369.026367,0.456282,9275.919922,0.294553,795.451538,0.025259,0.000000,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31548.732422,52055407,13026.637695,0.412905,14364.121094,0.455299,9317.736328,0.295344,800.756958,0.025382,0.000000,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31391.558594,51796070,13028.673828,0.415037,14366.295898,0.457648,9182.004883,0.292499,767.906067,0.024462,0.000000,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31409.541016,51825744,13028.673828,0.414800,14366.061523,0.457379,9202.725586,0.292991,778.500000,0.024785,0.000000,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31452.304688,51896303,13028.673828,0.414236,14367.672852,0.456808,9211.587891,0.292875,759.176392,0.024137,0.000000,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31452.482422,51896595,13026.637695,0.414169,14364.931641,0.456719,9266.687500,0.294625,768.678162,0.024439,0.000000,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31544.189453,52047911,13028.673828,0.413029,14366.966797,0.455455,9309.387695,0.295122,760.417603,0.024106,0.000000,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31584.001953,52113603,13028.673828,0.412509,14366.624023,0.454870,9367.196289,0.296580,768.609070,0.024335,0.000000,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32021.667969,52835751,13028.673828,0.406871,14367.276367,0.448674,9754.252930,0.304614,770.614563,0.024065,0.000000,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32043.839844,52872335,13026.637695,0.406525,14365.202148,0.448298,9789.171875,0.305493,775.708496,0.024208,0.000000,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32253.728516,53218653,13028.673828,0.403943,14366.933594,0.445435,9974.146484,0.309240,795.347900,0.024659,0.000000,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32275.378906,53254378,13028.673828,0.403672,14367.016602,0.445139,10007.628906,0.310070,800.421204,0.024800,0.000000,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31586.529297,52117771,13028.673828,0.412476,14367.325195,0.454856,9358.693359,0.296288,838.667908,0.026551,0.000000,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31609.779297,52156137,13026.637695,0.412108,14364.593750,0.454435,9392.211914,0.297130,844.157593,0.026706,0.000000,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32275.767578,53255017,13028.673828,0.403667,14367.692383,0.445154,10034.292969,0.310892,794.534546,0.024617,0.000000,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32307.500000,53307377,13028.673828,0.403271,14368.512695,0.444742,10052.896484,0.311163,801.171509,0.024798,0.000000,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32025.929688,52842786,13028.673828,0.406816,14367.161133,0.448610,9791.742188,0.305744,768.761230,0.024004,0.000000,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32060.425781,52899703,13026.637695,0.406315,14365.299805,0.448070,9836.863281,0.306823,778.156982,0.024272,0.000000,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31521.214844,52010005,13028.673828,0.413330,14367.780273,0.455813,9241.154297,0.293173,762.244263,0.024182,0.000000,
