block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte1_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,vector0,NA,NA,NA,NA,NA,NA,31410.021484,51826536,0.059256,0.052343,0.006913,0.000000,0.000000,0.332348,0.000000,0.000000,0.019258,
1,vector0,NA,NA,NA,NA,NA,NA,31409.335938,51825405,0.059257,0.052344,0.006913,0.000000,0.000000,0.332231,0.000000,0.000000,0.019259,
2,vector0,NA,NA,NA,NA,NA,NA,31457.808594,51905386,0.059166,0.052263,0.006903,0.000000,0.000000,0.332508,0.000000,0.000000,0.019229,
3,vector0,NA,NA,NA,NA,NA,NA,31490.298828,51958993,0.059096,0.052201,0.006895,0.000000,0.000000,0.334215,0.000000,0.000000,0.019206,
4,vector0,NA,NA,NA,NA,NA,NA,31458.693359,51906844,0.059164,0.052262,0.006903,0.000000,0.000000,0.332979,0.000000,0.000000,0.019228,
5,vector0,NA,NA,NA,NA,NA,NA,31498.281250,51972165,0.059090,0.052196,0.006894,0.000000,0.000000,0.333876,0.000000,0.000000,0.019204,
6,vector0,NA,NA,NA,NA,NA,NA,31978.269531,52764146,0.058203,0.051413,0.006790,0.000000,0.000000,0.343070,0.000000,0.000000,0.018916,
7,vector0,NA,NA,NA,NA,NA,NA,31943.154297,52706204,0.058258,0.051461,0.006797,0.000000,0.000000,0.343063,0.000000,0.000000,0.018934,
8,vector0,NA,NA,NA,NA,NA,NA,31810.750000,52487738,0.058510,0.051684,0.006826,0.000000,0.000000,0.341311,0.000000,0.000000,0.019016,
9,vector0,NA,NA,NA,NA,NA,NA,31858.664062,52566795,0.058422,0.051606,0.006816,0.000000,0.000000,0.342761,0.000000,0.000000,0.018987,
10,vector0,NA,NA,NA,NA,NA,NA,31491.554688,51961064,0.059103,0.052207,0.006895,0.000000,0.000000,0.334529,0.000000,0.000000,0.019208,
11,vector0,NA,NA,NA,NA,NA,NA,31548.732422,52055407,0.058986,0.052105,0.006882,0.000000,0.000000,0.334830,0.000000,0.000000,0.019171,
12,vector0,NA,NA,NA,NA,NA,NA,31391.558594,51796070,0.059291,0.052374,0.006917,0.000000,0.000000,0.331600,0.000000,0.000000,0.019270,
13,vector0,NA,NA,NA,NA,NA,NA,31409.541016,51825744,0.059257,0.052344,0.006913,0.000000,0.000000,0.333564,0.000000,0.000000,0.019259,
14,vector0,NA,NA,NA,NA,NA,NA,31452.304688,51896303,0.059176,0.052273,0.006904,0.000000,0.000000,0.333884,0.000000,0.000000,0.019232,
15,vector0,NA,NA,NA,NA,NA,NA,31452.482422,51896595,0.059167,0.052264,0.006903,0.000000,0.000000,0.334656,0.000000,0.000000,0.019229,
