block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31392.345703,51797372,0.415027,0.140318,0.000000,0.000000,0.000000,0.015811,491366528,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31424.751953,51850839,0.414599,0.140174,0.000000,0.000000,0.000000,0.015794,491366528,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31412.804688,51831128,0.414757,0.140227,0.000000,0.000000,0.000000,0.015800,491366528,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31469.458984,51924609,0.413945,0.139953,0.000000,0.000000,0.000000,0.015769,491289728,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31461.880859,51912103,0.414110,0.140008,0.000000,0.000000,0.000000,0.015776,491366528,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31499.457031,51974103,0.413616,0.139841,0.000000,0.000000,0.000000,0.015757,491366528,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31948.841797,52715588,0.407798,0.137874,0.000000,0.000000,0.000000,0.015535,491366528,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31914.884766,52659560,0.408168,0.137999,0.000000,0.000000,0.000000,0.015549,491289728,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31799.878906,52469802,0.409708,0.138520,0.000000,0.000000,0.000000,0.015608,491366528,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31877.408203,52597723,0.408712,0.138183,0.000000,0.000000,0.000000,0.015570,491366528,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31511.132812,51993369,0.413463,0.139790,0.000000,0.000000,0.000000,0.015751,491366528,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31565.916016,52083760,0.412681,0.139525,0.000000,0.000000,0.000000,0.015721,491289728,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31341.324219,51713183,0.415703,0.140547,0.000000,0.000000,0.000000,0.015836,491366528,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31413.318359,51831975,0.414750,0.140225,0.000000,0.000000,0.000000,0.015800,491366528,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31440.611328,51877007,0.414390,0.140103,0.000000,0.000000,0.000000,0.015786,491366528,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31478.341797,51939265,0.413829,0.139913,0.000000,0.000000,0.000000,0.015765,491289728,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31554.906250,52065596,0.412889,0.139596,0.000000,0.000000,0.000000,0.015729,491366528,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31589.871094,52123287,0.412432,0.139441,0.000000,0.000000,0.000000,0.015712,491366528,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31992.173828,52787086,0.407246,0.137688,0.000000,0.000000,0.000000,0.015514,491366528,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32015.380859,52825381,0.406887,0.137566,0.000000,0.000000,0.000000,0.015501,491289728,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32201.199219,53131981,0.404602,0.136794,0.000000,0.000000,0.000000,0.015413,491366528,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32229.128906,53178065,0.404251,0.136675,0.000000,0.000000,0.000000,0.015400,491366528,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31579.732422,52106559,0.412564,0.139486,0.000000,0.000000,0.000000,0.015717,491366528,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31618.656250,52170782,0.411992,0.139292,0.000000,0.000000,0.000000,0.015695,491289728,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32189.449219,53112590,0.404750,0.136844,0.000000,0.000000,0.000000,0.015419,491366528,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32222.841797,53167688,0.404330,0.136702,0.000000,0.000000,0.000000,0.015403,491366528,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32051.898438,52885634,0.406487,0.137431,0.000000,0.000000,0.000000,0.015485,491366528,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32075.810547,52925090,0.406120,0.137307,0.000000,0.000000,0.000000,0.015471,491289728,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31464.853516,51917008,0.414071,0.139995,0.000000,0.000000,0.000000,0.015774,491366528,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31498.554688,51972615,0.413628,0.139845,0.000000,0.000000,0.000000,0.015757,491366528,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31513.609375,51997457,0.413430,0.139779,0.000000,0.000000,0.000000,0.015750,491366528,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31529.968750,52024448,0.413151,0.139684,0.000000,0.000000,0.000000,0.015739,491289728,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31341.691406,51713791,0.415698,0.140545,0.000000,0.000000,0.000000,0.015836,491366528,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31374.244141,51767503,0.415267,0.140399,0.000000,0.000000,0.000000,0.015820,491366528,
