block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31392.345703,51797372,6014,399,2409944,9409,2410537,9474,93.778259,99.609802,99.602089,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31424.751953,51850839,6013,400,2414503,5554,2413893,5507,93.762672,99.771446,99.763489,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31412.804688,51831128,6013,400,2417371,1970,2418157,1959,93.762672,99.918816,99.910667,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31469.458984,51924609,6012,400,2418180,1558,2417405,1559,93.761696,99.935577,99.927414,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31461.880859,51912103,6013,400,2418686,1475,2417909,1482,93.762672,99.938896,99.930725,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31499.457031,51974103,6013,400,2414143,5248,2414899,5262,93.762672,99.782829,99.774864,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31948.841797,52715588,6013,400,2410724,9491,2409964,9469,93.762672,99.608238,99.600502,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31914.884766,52659560,6013,399,2418600,454,2419374,462,93.777290,99.981071,99.972855,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31799.878906,52469802,6013,400,2419950,458,2418879,455,93.762672,99.981140,99.972908,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31877.408203,52597723,6013,400,2417316,2018,2418404,2003,93.762672,99.916916,99.908775,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31511.132812,51993369,6013,400,2417383,1370,2419614,1374,93.762672,99.943306,99.935120,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31565.916016,52083760,6012,400,2419191,1466,2416962,1460,93.761696,99.939529,99.931358,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31341.324219,51713183,6013,400,2418398,1003,2419524,1006,93.762672,99.958488,99.950294,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31413.318359,51831975,6013,400,2418655,1874,2417524,1876,93.762672,99.922516,99.914368,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31440.611328,51877007,6014,399,2417826,2580,2416991,2533,93.778259,99.894356,99.886269,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31478.341797,51939265,6012,400,2417789,1451,2418648,1474,93.761696,99.939560,99.931381,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31554.906250,52065596,6013,400,2419290,1553,2417725,1552,93.762672,99.935852,99.927673,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31589.871094,52123287,6013,400,2413462,5815,2415043,5799,93.762672,99.760048,99.752113,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31992.173828,52787086,6013,400,2416972,2276,2418744,2316,93.762672,99.905128,99.897003,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32015.380859,52825381,6012,400,2417747,2935,2415952,2918,93.761696,99.879059,99.870964,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32201.199219,53131981,6013,400,2419256,1871,2417397,1879,93.762672,99.922531,99.914375,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32229.128906,53178065,6014,399,2418582,788,2420448,773,93.778259,99.967751,99.959557,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31579.732422,52106559,6013,400,2416339,4736,2414819,4697,93.762672,99.805130,99.797127,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31618.656250,52170782,6012,400,2417809,1376,2419377,1368,93.761696,99.943306,99.935127,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32189.449219,53112590,6013,400,2420281,408,2419772,413,93.762672,99.983040,99.974808,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32222.841797,53167688,6013,400,2419359,874,2419873,864,93.762672,99.964096,99.955894,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32051.898438,52885634,6013,400,2417276,2707,2418392,2689,93.762672,99.888535,99.880432,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32075.810547,52925090,6012,400,2416824,4021,2415743,4004,93.761696,99.834213,99.826180,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31464.853516,51917008,6014,399,2418878,1822,2418910,1832,93.778259,99.924530,99.916397,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31498.554688,51972615,6013,400,2419829,1007,2419787,1008,93.762672,99.958382,99.950188,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31513.609375,51997457,6013,400,2420505,1247,2418898,1264,93.762672,99.948135,99.939957,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31529.968750,52024448,6012,400,2418466,1460,2420085,1431,93.761696,99.940285,99.932114,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31341.691406,51713791,6013,400,2419234,1558,2420234,1551,93.762672,99.935799,99.927635,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31374.244141,51767503,6013,400,2421012,914,2420017,916,93.762672,99.962212,99.954010,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31520.824219,52009362,6013,400,2420840,543,2421587,551,93.762672,99.977409,99.969193,
