block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31392.345703,51797372,0.024296,18.376936,18.376999,0.024353,51212,0.292246,6399,0.024879,604920.500000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604918.375000,9.424069,799.750000,0.013804,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31424.751953,51850839,0.024271,18.358337,18.358400,0.024328,51213,0.291351,6399,0.025165,604932.125000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604930.000000,9.414532,799.750000,0.013790,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31412.804688,51831128,0.024280,18.365320,18.365383,0.024337,51213,0.291633,6399,0.025749,604932.125000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604930.000000,9.418113,799.750000,0.013795,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31469.458984,51924609,0.024232,18.329399,18.329462,0.024289,51205,0.292879,6398,0.025869,604837.750000,801.500000,NA,NA,NA,NA,NA,NA,NA,NA,604835.625000,9.399692,799.625000,0.013768,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31461.880859,51912103,0.024242,18.337034,18.337097,0.024299,51214,0.292046,6399,0.024909,604944.000000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604941.875000,9.403607,799.750000,0.013774,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31499.457031,51974103,0.024213,18.315159,18.315222,0.024270,51214,0.292290,6399,0.025049,604944.000000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604941.875000,9.392389,799.750000,0.013757,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31948.841797,52715588,0.023873,18.057898,18.057962,0.023929,51215,0.305553,6399,0.024448,604956.000000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604953.875000,9.260461,799.750000,0.013564,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31914.884766,52659560,0.023894,18.074282,18.074345,0.023950,51207,0.304331,6398,0.024771,604861.250000,801.500000,NA,NA,NA,NA,NA,NA,NA,NA,604859.125000,9.268863,799.625000,0.013576,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31799.878906,52469802,0.023984,18.142841,18.142904,0.024041,51216,0.301072,6399,0.025338,604967.750000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604965.625000,9.304022,799.750000,0.013628,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31877.408203,52597723,0.023926,18.098713,18.098776,0.023982,51216,0.301729,6399,0.025584,604967.625000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604965.500000,9.281391,799.750000,0.013594,
