block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31392.345703,51797372,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31424.751953,51850839,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31412.804688,51831128,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31469.458984,51924609,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31461.880859,51912103,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31499.457031,51974103,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31948.841797,52715588,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31914.884766,52659560,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31799.878906,52469802,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31877.408203,52597723,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31511.132812,51993369,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31565.916016,52083760,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31341.324219,51713183,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31413.318359,51831975,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31440.611328,51877007,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31478.341797,51939265,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31554.906250,52065596,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31589.871094,52123287,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31992.173828,52787086,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32015.380859,52825381,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32201.199219,53131981,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32229.128906,53178065,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31579.732422,52106559,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31618.656250,52170782,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32189.449219,53112590,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32222.841797,53167688,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32051.898438,52885634,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32075.810547,52925090,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31464.853516,51917008,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31498.554688,51972615,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31513.609375,51997457,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31529.968750,52024448,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31341.691406,51713791,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31374.244141,51767503,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31520.824219,52009362,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31569.990234,52090485,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31848.429688,52549908,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31866.554688,52579817,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31905.585938,52644215,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31949.507812,52716688,
