block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,vector0,NA,NA,31392.345703,51797372,75.025322,36.929558,0.024298,0.048592,
1,vector0,NA,NA,31424.751953,51850839,74.947952,36.891476,0.024273,0.048541,
2,vector0,NA,NA,31412.804688,51831128,74.976456,36.905506,0.024282,0.048560,
3,vector0,NA,NA,31469.458984,51924609,74.829781,36.833313,0.024234,0.048465,
4,vector0,NA,NA,31461.880859,51912103,74.859505,36.847939,0.024244,0.048484,
5,vector0,NA,NA,31499.457031,51974103,74.770203,36.803982,0.024215,0.048426,
6,vector0,NA,NA,31948.841797,52715588,73.718498,36.286308,0.023874,0.047745,
7,vector0,NA,NA,31914.884766,52659560,73.785408,36.319241,0.023896,0.047788,
8,vector0,NA,NA,31799.878906,52469802,74.063828,36.456287,0.023986,0.047969,
9,vector0,NA,NA,31877.408203,52597723,73.883698,36.367622,0.023928,0.047852,
10,vector0,NA,NA,31511.132812,51993369,74.742500,36.790348,0.024206,0.048408,
11,vector0,NA,NA,31565.916016,52083760,74.601120,36.720757,0.024160,0.048317,
12,vector0,NA,NA,31341.324219,51713183,75.147453,36.989677,0.024337,0.048671,
13,vector0,NA,NA,31413.318359,51831975,74.975227,36.904903,0.024281,0.048559,
14,vector0,NA,NA,31440.611328,51877007,74.910149,36.872868,0.024260,0.048517,
15,vector0,NA,NA,31478.341797,51939265,74.808662,36.822918,0.024227,0.048451,
16,vector0,NA,NA,31554.906250,52065596,74.638817,36.739311,0.024172,0.048341,
17,vector0,NA,NA,31589.871094,52123287,74.556198,36.698647,0.024146,0.048288,
18,vector0,NA,NA,31992.173828,52787086,73.618652,36.237160,0.023842,0.047680,
19,vector0,NA,NA,32015.380859,52825381,73.553795,36.205235,0.023821,0.047638,
20,vector0,NA,NA,32201.199219,53131981,73.140778,36.001934,0.023687,0.047371,
21,vector0,NA,NA,32229.128906,53178065,73.077393,35.970737,0.023667,0.047330,
22,vector0,NA,NA,31579.732422,52106559,74.580139,36.710426,0.024153,0.048303,
23,vector0,NA,NA,31618.656250,52170782,74.476685,36.659508,0.024120,0.048236,
24,vector0,NA,NA,32189.449219,53112590,73.167473,36.015076,0.023696,0.047388,
25,vector0,NA,NA,32222.841797,53167688,73.091652,35.977757,0.023671,0.047339,
26,vector0,NA,NA,32051.898438,52885634,73.481476,36.169636,0.023798,0.047592,
27,vector0,NA,NA,32075.810547,52925090,73.415222,36.137024,0.023776,0.047549,
28,vector0,NA,NA,31464.853516,51917008,74.852432,36.844460,0.024242,0.048480,
29,vector0,NA,NA,31498.554688,51972615,74.772346,36.805038,0.024216,0.048428,
30,vector0,NA,NA,31513.609375,51997457,74.736626,36.787457,0.024204,0.048405,
31,vector0,NA,NA,31529.968750,52024448,74.686172,36.762623,0.024188,0.048372,
32,vector0,NA,NA,31341.691406,51713791,75.146576,36.989246,0.024337,0.048670,
33,vector0,NA,NA,31374.244141,51767503,75.068604,36.950867,0.024312,0.048620,
34,vector0,NA,NA,31520.824219,52009362,74.719513,36.779034,0.024199,0.048393,
35,vector0,NA,NA,31569.990234,52090485,74.591492,36.716019,0.024157,0.048311,
36,vector0,NA,NA,31848.429688,52549908,73.950920,36.400711,0.023950,0.047896,
37,vector0,NA,NA,31866.554688,52579817,73.908859,36.380009,0.023936,0.047868,
38,vector0,NA,NA,31905.585938,52644215,73.818443,36.335503,0.023907,0.047810,
39,vector0,NA,NA,31949.507812,52716688,73.699684,36.277050,0.023868,0.047733,
