block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31392.345703,51797372,13028.673828,0.415027,14367.951172,0.457690,9174.297852,0.292246,781.021240,0.024879,0.000000,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31424.751953,51850839,13028.673828,0.414599,14367.175781,0.457193,9155.634766,0.291351,790.790894,0.025165,0.000000,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31412.804688,51831128,13028.673828,0.414757,14366.036133,0.457331,9161.015625,0.291633,808.840027,0.025749,0.000000,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31469.458984,51924609,13026.637695,0.413945,14365.556641,0.456492,9216.751953,0.292879,814.089722,0.025869,0.000000,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31461.880859,51912103,13028.673828,0.414110,14367.025391,0.456649,9188.309570,0.292046,783.698181,0.024909,0.000000,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31499.457031,51974103,13028.673828,0.413616,14367.503906,0.456119,9206.960938,0.292290,789.043640,0.025049,0.000000,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31948.841797,52715588,13028.673828,0.407798,14368.171875,0.449724,9762.058594,0.305553,781.096375,0.024448,0.000000,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31914.884766,52659560,13026.637695,0.408168,14366.697266,0.450157,9712.704102,0.304331,790.564270,0.024771,0.000000,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31799.878906,52469802,13028.673828,0.409708,14369.190430,0.451863,9574.038086,0.301072,805.740601,0.025338,0.000000,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31877.408203,52597723,13028.673828,0.408712,14366.291016,0.450673,9618.323242,0.301729,815.545471,0.025584,0.000000,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31511.132812,51993369,13028.673828,0.413463,14369.134766,0.456002,9281.730469,0.294554,795.489075,0.025245,0.000000,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31565.916016,52083760,13026.637695,0.412681,14363.777344,0.455041,9308.305664,0.294885,800.676941,0.025365,0.000000,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31341.324219,51713183,13028.673828,0.415703,14367.733398,0.458428,9140.291016,0.291637,767.803040,0.024498,0.000000,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31413.318359,51831975,13028.673828,0.414750,14366.104492,0.457325,9193.895508,0.292675,778.378784,0.024779,0.000000,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31440.611328,51877007,13028.673828,0.414390,14366.312500,0.456935,9169.622070,0.291649,758.930298,0.024139,0.000000,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31478.341797,51939265,13026.637695,0.413829,14364.523438,0.456330,9217.477539,0.292820,768.410278,0.024411,0.000000,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31554.906250,52065596,13028.673828,0.412889,14366.511719,0.455286,9303.499023,0.294835,760.587280,0.024104,0.000000,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31589.871094,52123287,13028.673828,0.412432,14366.574219,0.454784,9357.391602,0.296215,768.731506,0.024335,0.000000,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31992.173828,52787086,13028.673828,0.407246,14366.703125,0.449069,9784.634766,0.305845,771.209106,0.024106,0.000000,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32015.380859,52825381,13026.637695,0.406887,14364.375977,0.448671,9803.376953,0.306208,775.706055,0.024229,0.000000,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32201.199219,53131981,13028.673828,0.404602,14366.893555,0.446160,10001.573242,0.310596,794.695740,0.024679,0.000000,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32229.128906,53178065,13028.673828,0.404251,14367.172852,0.445782,10031.385742,0.311252,800.036987,0.024823,0.000000,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31579.732422,52106559,13028.673828,0.412564,14367.789062,0.454969,9334.245117,0.295577,839.325439,0.026578,0.000000,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31618.656250,52170782,13026.637695,0.411992,14366.048828,0.454354,9346.666992,0.295606,844.412109,0.026706,0.000000,
