block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte1_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,vector0,NA,NA,NA,NA,NA,NA,31392.345703,51797372,0.059289,0.052372,0.006917,0.000000,0.000000,0.332319,0.000000,0.000000,0.019269,
1,vector0,NA,NA,NA,NA,NA,NA,31424.751953,51850839,0.059228,0.052318,0.006910,0.000000,0.000000,0.332227,0.000000,0.000000,0.019249,
2,vector0,NA,NA,NA,NA,NA,NA,31412.804688,51831128,0.059251,0.052338,0.006913,0.000000,0.000000,0.333172,0.000000,0.000000,0.019257,
3,vector0,NA,NA,NA,NA,NA,NA,31469.458984,51924609,0.059135,0.052236,0.006899,0.000000,0.000000,0.334271,0.000000,0.000000,0.019219,
4,vector0,NA,NA,NA,NA,NA,NA,31461.880859,51912103,0.059158,0.052257,0.006902,0.000000,0.000000,0.332453,0.000000,0.000000,0.019226,
5,vector0,NA,NA,NA,NA,NA,NA,31499.457031,51974103,0.059088,0.052194,0.006894,0.000000,0.000000,0.333326,0.000000,0.000000,0.019204,
6,vector0,NA,NA,NA,NA,NA,NA,31948.841797,52715588,0.058257,0.051460,0.006797,0.000000,0.000000,0.345178,0.000000,0.000000,0.018933,
7,vector0,NA,NA,NA,NA,NA,NA,31914.884766,52659560,0.058310,0.051507,0.006803,0.000000,0.000000,0.343752,0.000000,0.000000,0.018951,
8,vector0,NA,NA,NA,NA,NA,NA,31799.878906,52469802,0.058530,0.051701,0.006828,0.000000,0.000000,0.340202,0.000000,0.000000,0.019022,
9,vector0,NA,NA,NA,NA,NA,NA,31877.408203,52597723,0.058387,0.051575,0.006812,0.000000,0.000000,0.341421,0.000000,0.000000,0.018976,
10,vector0,NA,NA,NA,NA,NA,NA,31511.132812,51993369,0.059066,0.052175,0.006891,0.000000,0.000000,0.334677,0.000000,0.000000,0.019196,
11,vector0,NA,NA,NA,NA,NA,NA,31565.916016,52083760,0.058954,0.052076,0.006878,0.000000,0.000000,0.335058,0.000000,0.000000,0.019160,
12,vector0,NA,NA,NA,NA,NA,NA,31341.324219,51713183,0.059386,0.052458,0.006928,0.000000,0.000000,0.332804,0.000000,0.000000,0.019300,
13,vector0,NA,NA,NA,NA,NA,NA,31413.318359,51831975,0.059250,0.052337,0.006912,0.000000,0.000000,0.332453,0.000000,0.000000,0.019256,
14,vector0,NA,NA,NA,NA,NA,NA,31440.611328,51877007,0.059198,0.052292,0.006906,0.000000,0.000000,0.331934,0.000000,0.000000,0.019240,
15,vector0,NA,NA,NA,NA,NA,NA,31478.341797,51939265,0.059118,0.052221,0.006897,0.000000,0.000000,0.333115,0.000000,0.000000,0.019213,
16,vector0,NA,NA,NA,NA,NA,NA,31554.906250,52065596,0.058984,0.052103,0.006881,0.000000,0.000000,0.334566,0.000000,0.000000,0.019170,
17,vector0,NA,NA,NA,NA,NA,NA,31589.871094,52123287,0.058919,0.052045,0.006874,0.000000,0.000000,0.334877,0.000000,0.000000,0.019149,
18,vector0,NA,NA,NA,NA,NA,NA,31992.173828,52787086,0.058178,0.051390,0.006787,0.000000,0.000000,0.347303,0.000000,0.000000,0.018908,
19,vector0,NA,NA,NA,NA,NA,NA,32015.380859,52825381,0.058127,0.051345,0.006781,0.000000,0.000000,0.347130,0.000000,0.000000,0.018891,
20,vector0,NA,NA,NA,NA,NA,NA,32201.199219,53131981,0.057800,0.051057,0.006743,0.000000,0.000000,0.350443,0.000000,0.000000,0.018785,
21,vector0,NA,NA,NA,NA,NA,NA,32229.128906,53178065,0.057750,0.051013,0.006738,0.000000,0.000000,0.350795,0.000000,0.000000,0.018769,
22,vector0,NA,NA,NA,NA,NA,NA,31579.732422,52106559,0.058938,0.052062,0.006876,0.000000,0.000000,0.335771,0.000000,0.000000,0.019155,
23,vector0,NA,NA,NA,NA,NA,NA,31618.656250,52170782,0.058856,0.051989,0.006867,0.000000,0.000000,0.336080,0.000000,0.000000,0.019128,
24,vector0,NA,NA,NA,NA,NA,NA,32189.449219,53112590,0.057821,0.051075,0.006746,0.000000,0.000000,0.350643,0.000000,0.000000,0.018792,
25,vector0,NA,NA,NA,NA,NA,NA,32222.841797,53167688,0.057761,0.051023,0.006739,0.000000,0.000000,0.350896,0.000000,0.000000,0.018772,
26,vector0,NA,NA,NA,NA,NA,NA,32051.898438,52885634,0.058069,0.051295,0.006775,0.000000,0.000000,0.344731,0.000000,0.000000,0.018873,
27,vector0,NA,NA,NA,NA,NA,NA,32075.810547,52925090,0.058017,0.051248,0.006769,0.000000,0.000000,0.345584,0.000000,0.000000,0.018856,
28,vector0,NA,NA,NA,NA,NA,NA,31464.853516,51917008,0.059153,0.052252,0.006901,0.000000,0.000000,0.332619,0.000000,0.000000,0.019225,
29,vector0,NA,NA,NA,NA,NA,NA,31498.554688,51972615,0.059090,0.052196,0.006894,0.000000,0.000000,0.334567,0.000000,0.000000,0.019204,
30,vector0,NA,NA,NA,NA,NA,NA,31513.609375,51997457,0.059061,0.052171,0.006890,0.000000,0.000000,0.333422,0.000000,0.000000,0.019195,
31,vector0,NA,NA,NA,NA,NA,NA,31529.968750,52024448,0.059021,0.052136,0.006886,0.000000,0.000000,0.334331,0.000000,0.000000,0.019182,
32,vector0,NA,NA,NA,NA,NA,NA,31341.691406,51713791,0.059385,0.052457,0.006928,0.000000,0.000000,0.331256,0.000000,0.000000,0.019300,
33,vector0,NA,NA,NA,NA,NA,NA,31374.244141,51767503,0.059324,0.052403,0.006921,0.000000,0.000000,0.331661,0.000000,0.000000,0.019280,
34,vector0,NA,NA,NA,NA,NA,NA,31520.824219,52009362,0.059048,0.052159,0.006889,0.000000,0.000000,0.334350,0.000000,0.000000,0.019191,
35,vector0,NA,NA,NA,NA,NA,NA,31569.990234,52090485,0.058947,0.052070,0.006877,0.000000,0.000000,0.335653,0.000000,0.000000,0.019158,
36,vector0,NA,NA,NA,NA,NA,NA,31848.429688,52549908,0.058440,0.051622,0.006818,0.000000,0.000000,0.340348,0.000000,0.000000,0.018993,
37,vector0,NA,NA,NA,NA,NA,NA,31866.554688,52579817,0.058407,0.051593,0.006814,0.000000,0.000000,0.341223,0.000000,0.000000,0.018982,
38,vector0,NA,NA,NA,NA,NA,NA,31905.585938,52644215,0.058336,0.051530,0.006806,0.000000,0.000000,0.342989,0.000000,0.000000,0.018959,
39,vector0,NA,NA,NA,NA,NA,NA,31949.507812,52716688,0.058242,0.051447,0.006795,0.000000,0.000000,0.343579,0.000000,0.000000,0.018929,
