block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,157728.937500,260252752,0.831129,0.338863,0.000000,0.009440,0.000000,0.058608,6289490048,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,157764.250000,260311012,0.830943,0.338787,0.000000,0.009438,0.000000,0.058595,6289490048,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,157790.296875,260353994,0.830806,0.338731,0.000000,0.009437,0.000000,0.058585,6289490048,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,157813.390625,260392089,0.830555,0.338629,0.000000,0.009434,0.000000,0.058567,6288507008,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,157677.906250,260168543,0.831398,0.338973,0.000000,0.009443,0.000000,0.058627,6289490048,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,157742.968750,260275905,0.831056,0.338833,0.000000,0.009439,0.000000,0.058603,6289490048,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,158540.453125,261591752,0.826875,0.337128,0.000000,0.009392,0.000000,0.058308,6289490048,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,158514.640625,261549144,0.826881,0.337131,0.000000,0.009392,0.000000,0.058308,6288507008,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,158411.796875,261379472,0.827547,0.337402,0.000000,0.009399,0.000000,0.058355,6289490048,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,158464.375000,261466205,0.827272,0.337290,0.000000,0.009396,0.000000,0.058336,6289490048,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,157962.140625,260637534,0.829903,0.338363,0.000000,0.009426,0.000000,0.058521,6289490048,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,158008.468750,260713968,0.829530,0.338211,0.000000,0.009422,0.000000,0.058495,6288507008,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,157837.265625,260431496,0.830559,0.338630,0.000000,0.009434,0.000000,0.058568,6289490048,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,157868.453125,260482951,0.830395,0.338564,0.000000,0.009432,0.000000,0.058556,6289490048,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,157747.187500,260282846,0.831033,0.338824,0.000000,0.009439,0.000000,0.058601,6289490048,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,157781.046875,260338727,0.830725,0.338698,0.000000,0.009436,0.000000,0.058579,6288507008,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,157828.718750,260417383,0.830604,0.338649,0.000000,0.009434,0.000000,0.058571,6289490048,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,157899.062500,260533449,0.830234,0.338498,0.000000,0.009430,0.000000,0.058545,6289490048,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,158582.140625,261660532,0.826658,0.337040,0.000000,0.009389,0.000000,0.058292,6289490048,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,158588.250000,261670618,0.826497,0.336974,0.000000,0.009388,0.000000,0.058281,6288507008,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,158812.671875,262040911,0.825458,0.336551,0.000000,0.009376,0.000000,0.058208,6289490048,
