block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157728.937500,260252752,6016,399,2410241,6941,2415238,6946,93.780205,99.713043,99.705185,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157764.250000,260311012,6015,400,2416691,5539,2411705,5524,93.764618,99.771400,99.763443,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157790.296875,260353994,6015,400,2417510,1920,2418111,1918,93.764618,99.920692,99.912544,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157813.390625,260392089,6014,400,2418829,822,2418230,823,93.763641,99.966003,99.957794,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157677.906250,260168543,6015,400,2419066,1807,2416870,1811,93.764618,99.925240,99.917084,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157742.968750,260275905,6015,400,2413426,5255,2415614,5259,93.764618,99.782745,99.774780,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158540.453125,261591752,6015,400,2407732,11535,2408836,11547,93.764618,99.523064,99.515442,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158514.640625,261549144,6015,399,2419543,461,2418434,454,93.779236,99.981087,99.972878,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158411.796875,261379472,6015,400,2419141,458,2419690,455,93.764618,99.981133,99.972908,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158464.375000,261466205,6015,400,2418132,2012,2417590,2009,93.764618,99.916916,99.908775,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157962.140625,260637534,6015,400,2417528,1371,2419471,1373,93.764618,99.943306,99.935127,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158008.468750,260713968,6014,400,2419049,1464,2417104,1464,93.763641,99.939491,99.931320,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157837.265625,260431496,6015,400,2417722,1010,2420203,998,93.764618,99.958511,99.950310,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157868.453125,260482951,6015,400,2419327,1873,2416854,1877,93.764618,99.922523,99.914368,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157747.187500,260282846,6016,399,2417589,2556,2417227,2560,93.780205,99.894295,99.886200,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157781.046875,260338727,6014,400,2418044,1459,2418395,1466,93.763641,99.939560,99.931389,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157828.718750,260417383,6015,400,2418714,1558,2418303,1547,93.764618,99.935844,99.927681,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157899.062500,260533449,6015,400,2414054,5796,2414451,5820,93.764618,99.760002,99.752068,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158582.140625,261660532,6015,400,2419157,1217,2418700,1236,93.764618,99.949318,99.941139,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158588.250000,261670618,6014,400,2416633,2925,2417068,2928,93.763641,99.879059,99.870964,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158812.671875,262040911,6015,400,2417542,1878,2419113,1872,93.764618,99.922531,99.914375,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158847.203125,262097890,6016,399,2420939,140,2419374,140,93.780205,99.994217,99.985992,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158012.890625,260721260,6015,400,2415269,5974,2413346,6004,93.764618,99.752548,99.744629,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158026.890625,260744371,6014,400,2417652,1368,2419536,1376,93.763641,99.943298,99.935127,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158831.218750,262071513,6015,400,2420677,407,2419378,414,93.764618,99.983040,99.974815,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158875.062500,262143849,6015,400,2418971,869,2420263,869,93.764618,99.964096,99.955894,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158611.953125,261709727,6015,400,2417416,2691,2418255,2704,93.764618,99.888557,99.880455,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158628.000000,261736194,6014,400,2417254,3469,2416389,3482,93.763641,99.856400,99.848335,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157876.593750,260496363,6016,399,2419045,1822,2418746,1831,93.780205,99.924545,99.916420,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157929.156250,260583123,6015,400,2419666,1005,2419952,1010,93.764618,99.958382,99.950188,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157775.890625,260330215,6015,400,2418965,1005,2420966,980,93.764618,99.959000,99.950806,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157805.359375,260378829,6014,400,2420583,1127,2418630,1104,93.763641,99.953918,99.945724,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157854.328125,260459632,6015,400,2419939,1546,2419531,1563,93.764618,99.935799,99.927635,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157906.062500,260545013,6015,400,2420315,920,2420716,910,93.764618,99.962212,99.954018,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157994.906250,260691598,6015,400,2421868,555,2420560,540,93.764618,99.977394,99.969170,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158041.265625,260768079,6015,399,2418312,2693,2419627,2701,93.779236,99.888626,99.880547,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158356.812500,261288752,6015,400,2419283,2382,2421055,2409,93.764618,99.901115,99.893005,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158396.843750,261354793,6015,400,2423663,557,2421880,542,93.764618,99.977325,99.969116,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158446.781250,261437180,6015,400,2422582,1779,2423329,1786,93.764618,99.926491,99.918350,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158467.765625,261471805,6013,401,2431088,2296,2430325,2305,93.748055,99.905449,99.897339,
