block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157728.937500,260252752,0.004836,3.657510,3.657524,0.004848,51212,0.054949,6399,0.004950,604920.750000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604918.375000,1.875646,799.750000,0.002747,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157764.250000,260311012,0.004834,3.656761,3.656775,0.004847,51213,0.055259,6399,0.004980,604932.375000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604930.000000,1.875262,799.750000,0.002747,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157790.296875,260353994,0.004834,3.656157,3.656172,0.004846,51213,0.055533,6399,0.005090,604932.375000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604930.000000,1.874953,799.750000,0.002746,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157813.390625,260392089,0.004832,3.655053,3.655067,0.004845,51205,0.055855,6398,0.005151,604838.000000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604835.625000,1.874386,799.625000,0.002746,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157677.906250,260168543,0.004837,3.658836,3.658850,0.004850,51214,0.055221,6399,0.004934,604944.250000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604941.875000,1.876326,799.750000,0.002748,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157742.968750,260275905,0.004835,3.657327,3.657341,0.004848,51214,0.055564,6399,0.004996,604944.250000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604941.875000,1.875552,799.750000,0.002747,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158540.453125,261591752,0.004811,3.639001,3.639016,0.004824,51215,0.059982,6399,0.004924,604956.250000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604953.875000,1.866155,799.750000,0.002733,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158514.640625,261549144,0.004811,3.639024,3.639039,0.004824,51207,0.059952,6398,0.004956,604861.500000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604859.125000,1.866166,799.625000,0.002733,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158411.796875,261379472,0.004815,3.642028,3.642042,0.004827,51216,0.058981,6399,0.005083,604968.000000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604965.625000,1.867707,799.750000,0.002736,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158464.375000,261466205,0.004813,3.640819,3.640833,0.004826,51216,0.059309,6399,0.005113,604967.875000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604965.500000,1.867087,799.750000,0.002735,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157962.140625,260637534,0.004828,3.652395,3.652409,0.004841,51216,0.056527,6399,0.005022,604967.875000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604965.500000,1.873023,799.750000,0.002743,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158008.468750,260713968,0.004826,3.650824,3.650838,0.004839,51209,0.056931,6398,0.005052,604885.125000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604882.750000,1.872217,799.625000,0.002742,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157837.265625,260431496,0.004832,3.655427,3.655442,0.004845,51218,0.055745,6399,0.004848,604991.625000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604989.250000,1.874578,799.750000,0.002746,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157868.453125,260482951,0.004831,3.654704,3.654718,0.004844,51218,0.056124,6399,0.004915,604991.375000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604989.000000,1.874207,799.750000,0.002745,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157747.187500,260282846,0.004835,3.657514,3.657529,0.004848,51218,0.055326,6399,0.004796,604991.500000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604989.125000,1.875648,799.750000,0.002747,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157781.046875,260338727,0.004833,3.656300,3.656314,0.004846,51212,0.055645,6398,0.004854,604920.500000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604918.125000,1.875026,799.625000,0.002746,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157828.718750,260417383,0.004832,3.655768,3.655783,0.004845,51220,0.055898,6399,0.004802,605015.250000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,605012.875000,1.874753,799.750000,0.002746,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157899.062500,260533449,0.004830,3.654139,3.654153,0.004843,51220,0.056281,6399,0.004852,605015.125000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,605012.750000,1.873917,799.750000,0.002744,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158582.140625,261660532,0.004810,3.638541,3.638555,0.004822,51222,0.060894,6399,0.004849,605038.750000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,605036.375000,1.865918,799.750000,0.002733,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158588.250000,261670618,0.004809,3.637833,3.637847,0.004821,51214,0.061038,6398,0.004876,604944.250000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604941.875000,1.865555,799.625000,0.002732,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158812.671875,262040911,0.004803,3.633331,3.633345,0.004815,51223,0.061495,6399,0.004980,605050.625000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,605048.250000,1.863247,799.750000,0.002729,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158847.203125,262097890,0.004801,3.632682,3.632696,0.004814,51225,0.061702,6399,0.005041,605074.125000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,605071.750000,1.862914,799.750000,0.002728,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158012.890625,260721260,0.004827,3.651863,3.651877,0.004840,51225,0.056767,6399,0.005278,605074.125000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,605071.750000,1.872750,799.750000,0.002743,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158026.890625,260744371,0.004826,3.651040,3.651055,0.004838,51218,0.057035,6398,0.005334,604991.500000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604989.125000,1.872328,799.625000,0.002742,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158831.218750,262071513,0.004802,3.633260,3.633274,0.004815,51228,0.062065,6399,0.004980,605109.500000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,605107.125000,1.863210,799.750000,0.002728,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158875.062500,262143849,0.004801,3.632329,3.632344,0.004813,51229,0.062241,6399,0.005037,605121.500000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,605119.125000,1.862733,799.750000,0.002728,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158611.953125,261709727,0.004809,3.638425,3.638440,0.004821,51230,0.059809,6399,0.004842,605133.250000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,605130.875000,1.865859,799.750000,0.002732,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158628.000000,261736194,0.004807,3.637703,3.637717,0.004820,51225,0.060065,6398,0.004874,605074.250000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,605071.875000,1.865489,799.625000,0.002731,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157876.593750,260496363,0.004831,3.655658,3.655672,0.004844,51234,0.056052,6399,0.004805,605180.500000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,605178.125000,1.874696,799.750000,0.002745,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157929.156250,260583123,0.004829,3.654584,3.654598,0.004842,51236,0.056343,6399,0.004854,605204.125000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,605201.750000,1.874146,799.750000,0.002744,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157775.890625,260330215,0.004834,3.658348,3.658362,0.004847,51239,0.055555,6399,0.004796,605239.500000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,605237.125000,1.876076,799.750000,0.002747,
