block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,157728.937500,260252752,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,157764.250000,260311012,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,157790.296875,260353994,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,157813.390625,260392089,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,157677.906250,260168543,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,157742.968750,260275905,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,158540.453125,261591752,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,158514.640625,261549144,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,158411.796875,261379472,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,158464.375000,261466205,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,157962.140625,260637534,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,158008.468750,260713968,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,157837.265625,260431496,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,157868.453125,260482951,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,157747.187500,260282846,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,157781.046875,260338727,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,157828.718750,260417383,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,157899.062500,260533449,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,158582.140625,261660532,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,158588.250000,261670618,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,158812.671875,262040911,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,158847.203125,262097890,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,158012.890625,260721260,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,158026.890625,260744371,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,158831.218750,262071513,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,158875.062500,262143849,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,158611.953125,261709727,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,158628.000000,261736194,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,157876.593750,260496363,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,157929.156250,260583123,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,157775.890625,260330215,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,157805.359375,260378829,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,157854.328125,260459632,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,157906.062500,260545013,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,157994.906250,260691598,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,158041.265625,260768079,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,158356.812500,261288752,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,158396.843750,261354793,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,158446.781250,261437180,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,158467.765625,261471805,
