block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,vector0,NA,NA,157728.937500,260252752,159.223907,129.669250,0.004836,0.009671,
1,vector0,NA,NA,157764.250000,260311012,159.188263,129.640213,0.004835,0.009669,
2,vector0,NA,NA,157790.296875,260353994,159.161987,129.618820,0.004834,0.009667,
3,vector0,NA,NA,157813.390625,260392089,159.113831,129.579590,0.004833,0.009664,
4,vector0,NA,NA,157677.906250,260168543,159.275436,129.711212,0.004837,0.009674,
5,vector0,NA,NA,157742.968750,260275905,159.209747,129.657715,0.004835,0.009670,
6,vector0,NA,NA,158540.453125,261591752,158.408890,129.005508,0.004811,0.009622,
7,vector0,NA,NA,158514.640625,261549144,158.409943,129.006348,0.004811,0.009622,
8,vector0,NA,NA,158411.796875,261379472,158.537552,129.110291,0.004815,0.009629,
9,vector0,NA,NA,158464.375000,261466205,158.484940,129.067444,0.004813,0.009626,
10,vector0,NA,NA,157962.140625,260637534,158.988846,129.477814,0.004829,0.009657,
11,vector0,NA,NA,158008.468750,260713968,158.917389,129.419601,0.004827,0.009652,
12,vector0,NA,NA,157837.265625,260431496,159.114624,129.580246,0.004833,0.009664,
13,vector0,NA,NA,157868.453125,260482951,159.083191,129.554642,0.004832,0.009662,
14,vector0,NA,NA,157747.187500,260282846,159.205490,129.654236,0.004835,0.009670,
15,vector0,NA,NA,157781.046875,260338727,159.146454,129.606155,0.004834,0.009666,
16,vector0,NA,NA,157828.718750,260417383,159.123245,129.587265,0.004833,0.009665,
17,vector0,NA,NA,157899.062500,260533449,159.052353,129.529541,0.004831,0.009661,
18,vector0,NA,NA,158582.140625,261660532,158.367249,128.971603,0.004810,0.009619,
19,vector0,NA,NA,158588.250000,261670618,158.336411,128.946457,0.004809,0.009617,
20,vector0,NA,NA,158812.671875,262040911,158.137375,128.784378,0.004803,0.009605,
21,vector0,NA,NA,158847.203125,262097890,158.102997,128.756393,0.004802,0.009603,
22,vector0,NA,NA,158012.890625,260721260,158.937775,129.436218,0.004827,0.009654,
23,vector0,NA,NA,158026.890625,260744371,158.898865,129.404526,0.004826,0.009651,
24,vector0,NA,NA,158831.218750,262071513,158.118896,128.769348,0.004802,0.009604,
25,vector0,NA,NA,158875.062500,262143849,158.075272,128.733810,0.004801,0.009601,
26,vector0,NA,NA,158611.953125,261709727,158.337494,128.947357,0.004809,0.009617,
27,vector0,NA,NA,158628.000000,261736194,158.296738,128.914154,0.004808,0.009615,
28,vector0,NA,NA,157876.593750,260496363,159.074997,129.547974,0.004831,0.009662,
29,vector0,NA,NA,157929.156250,260583123,159.022049,129.504852,0.004830,0.009659,
30,vector0,NA,NA,157775.890625,260330215,159.176529,129.630661,0.004834,0.009668,
31,vector0,NA,NA,157805.359375,260378829,159.121933,129.586182,0.004833,0.009665,
32,vector0,NA,NA,157854.328125,260459632,159.097427,129.566238,0.004832,0.009663,
33,vector0,NA,NA,157906.062500,260545013,159.045303,129.523788,0.004830,0.009660,
34,vector0,NA,NA,157994.906250,260691598,158.955872,129.450958,0.004828,0.009655,
35,vector0,NA,NA,158041.265625,260768079,158.884415,129.392746,0.004826,0.009650,
36,vector0,NA,NA,158356.812500,261288752,158.592590,129.155106,0.004817,0.009633,
37,vector0,NA,NA,158396.843750,261354793,158.552521,129.122467,0.004816,0.009630,
38,vector0,NA,NA,158446.781250,261437180,158.502548,129.081772,0.004814,0.009627,
39,vector0,NA,NA,158467.765625,261471805,158.444412,129.034409,0.004812,0.009624,
