block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157728.937500,260252752,131093.171875,0.831129,23950.300781,0.151845,8667.003906,0.054949,780.789673,0.004950,0.000000,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157764.250000,260311012,131093.171875,0.830943,23951.347656,0.151817,8717.911133,0.055259,785.606079,0.004980,0.000000,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157790.296875,260353994,131093.171875,0.830806,23954.292969,0.151811,8762.624023,0.055533,803.130310,0.005090,0.000000,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157813.390625,260392089,131072.671875,0.830555,23951.476562,0.151771,8814.726562,0.055855,812.893311,0.005151,0.000000,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157677.906250,260168543,131093.171875,0.831398,23951.982422,0.151904,8707.187500,0.055221,777.992126,0.004934,0.000000,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157742.968750,260275905,131093.171875,0.831056,23953.074219,0.151849,8764.812500,0.055564,788.055176,0.004996,0.000000,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158540.453125,261591752,131093.171875,0.826875,23953.962891,0.151091,9509.544922,0.059982,780.727295,0.004924,0.000000,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158514.640625,261549144,131072.671875,0.826881,23950.107422,0.151091,9503.208984,0.059952,785.644226,0.004956,0.000000,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158411.796875,261379472,131093.171875,0.827547,23952.765625,0.151206,9343.330078,0.058981,805.216980,0.005083,0.000000,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158464.375000,261466205,131093.171875,0.827272,23950.730469,0.151143,9398.341797,0.059309,810.223022,0.005113,0.000000,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157962.140625,260637534,131093.171875,0.829903,23957.916016,0.151669,8929.138672,0.056527,793.273315,0.005022,0.000000,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158008.468750,260713968,131072.687500,0.829530,23953.236328,0.151595,8995.501953,0.056931,798.190918,0.005052,0.000000,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157837.265625,260431496,131093.171875,0.830559,23954.681641,0.151768,8798.614258,0.055745,765.230286,0.004848,0.000000,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157868.453125,260482951,131093.171875,0.830395,23954.570312,0.151738,8860.247070,0.056124,775.941833,0.004915,0.000000,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157747.187500,260282846,131093.171875,0.831033,23952.511719,0.151841,8727.553711,0.055326,756.476990,0.004796,0.000000,
