block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte1_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,vector0,NA,NA,NA,NA,NA,NA,157728.937500,260252752,0.064311,0.031861,0.032451,0.000000,0.000000,0.052102,0.000000,0.000000,0.201071,
1,vector0,NA,NA,NA,NA,NA,NA,157764.250000,260311012,0.064297,0.031853,0.032443,0.000000,0.000000,0.052350,0.000000,0.000000,0.201026,
2,vector0,NA,NA,NA,NA,NA,NA,157790.296875,260353994,0.064286,0.031848,0.032438,0.000000,0.000000,0.052653,0.000000,0.000000,0.200993,
3,vector0,NA,NA,NA,NA,NA,NA,157813.390625,260392089,0.064267,0.031839,0.032428,0.000000,0.000000,0.053003,0.000000,0.000000,0.200932,
4,vector0,NA,NA,NA,NA,NA,NA,157677.906250,260168543,0.064332,0.031871,0.032461,0.000000,0.000000,0.052097,0.000000,0.000000,0.201136,
5,vector0,NA,NA,NA,NA,NA,NA,157742.968750,260275905,0.064305,0.031858,0.032448,0.000000,0.000000,0.052355,0.000000,0.000000,0.201053,
6,vector0,NA,NA,NA,NA,NA,NA,158540.453125,261591752,0.063982,0.031698,0.032285,0.000000,0.000000,0.057253,0.000000,0.000000,0.200042,
7,vector0,NA,NA,NA,NA,NA,NA,158514.640625,261549144,0.063982,0.031698,0.032285,0.000000,0.000000,0.057244,0.000000,0.000000,0.200043,
8,vector0,NA,NA,NA,NA,NA,NA,158411.796875,261379472,0.064034,0.031723,0.032311,0.000000,0.000000,0.056012,0.000000,0.000000,0.200204,
9,vector0,NA,NA,NA,NA,NA,NA,158464.375000,261466205,0.064013,0.031713,0.032300,0.000000,0.000000,0.056343,0.000000,0.000000,0.200138,
10,vector0,NA,NA,NA,NA,NA,NA,157962.140625,260637534,0.064216,0.031814,0.032403,0.000000,0.000000,0.053456,0.000000,0.000000,0.200774,
11,vector0,NA,NA,NA,NA,NA,NA,158008.468750,260713968,0.064187,0.031799,0.032388,0.000000,0.000000,0.053850,0.000000,0.000000,0.200684,
12,vector0,NA,NA,NA,NA,NA,NA,157837.265625,260431496,0.064267,0.031839,0.032428,0.000000,0.000000,0.052808,0.000000,0.000000,0.200933,
13,vector0,NA,NA,NA,NA,NA,NA,157868.453125,260482951,0.064254,0.031832,0.032422,0.000000,0.000000,0.053075,0.000000,0.000000,0.200893,
14,vector0,NA,NA,NA,NA,NA,NA,157747.187500,260282846,0.064304,0.031857,0.032447,0.000000,0.000000,0.052545,0.000000,0.000000,0.201048,
15,vector0,NA,NA,NA,NA,NA,NA,157781.046875,260338727,0.064280,0.031845,0.032435,0.000000,0.000000,0.052866,0.000000,0.000000,0.200973,
16,vector0,NA,NA,NA,NA,NA,NA,157828.718750,260417383,0.064271,0.031840,0.032430,0.000000,0.000000,0.052944,0.000000,0.000000,0.200944,
17,vector0,NA,NA,NA,NA,NA,NA,157899.062500,260533449,0.064242,0.031826,0.032416,0.000000,0.000000,0.053393,0.000000,0.000000,0.200854,
18,vector0,NA,NA,NA,NA,NA,NA,158582.140625,261660532,0.063965,0.031689,0.032276,0.000000,0.000000,0.057814,0.000000,0.000000,0.199989,
19,vector0,NA,NA,NA,NA,NA,NA,158588.250000,261670618,0.063953,0.031683,0.032270,0.000000,0.000000,0.057982,0.000000,0.000000,0.199950,
20,vector0,NA,NA,NA,NA,NA,NA,158812.671875,262040911,0.063872,0.031643,0.032229,0.000000,0.000000,0.058852,0.000000,0.000000,0.199699,
21,vector0,NA,NA,NA,NA,NA,NA,158847.203125,262097890,0.063858,0.031636,0.032222,0.000000,0.000000,0.059039,0.000000,0.000000,0.199655,
22,vector0,NA,NA,NA,NA,NA,NA,158012.890625,260721260,0.064196,0.031803,0.032392,0.000000,0.000000,0.053937,0.000000,0.000000,0.200710,
23,vector0,NA,NA,NA,NA,NA,NA,158026.890625,260744371,0.064180,0.031796,0.032384,0.000000,0.000000,0.054143,0.000000,0.000000,0.200660,
24,vector0,NA,NA,NA,NA,NA,NA,158831.218750,262071513,0.063865,0.031639,0.032225,0.000000,0.000000,0.057927,0.000000,0.000000,0.199675,
25,vector0,NA,NA,NA,NA,NA,NA,158875.062500,262143849,0.063847,0.031631,0.032217,0.000000,0.000000,0.058226,0.000000,0.000000,0.199620,
26,vector0,NA,NA,NA,NA,NA,NA,158611.953125,261709727,0.063953,0.031683,0.032270,0.000000,0.000000,0.056922,0.000000,0.000000,0.199951,
27,vector0,NA,NA,NA,NA,NA,NA,158628.000000,261736194,0.063937,0.031675,0.032262,0.000000,0.000000,0.057205,0.000000,0.000000,0.199900,
28,vector0,NA,NA,NA,NA,NA,NA,157876.593750,260496363,0.064251,0.031831,0.032420,0.000000,0.000000,0.053413,0.000000,0.000000,0.200883,
29,vector0,NA,NA,NA,NA,NA,NA,157929.156250,260583123,0.064230,0.031820,0.032409,0.000000,0.000000,0.053604,0.000000,0.000000,0.200816,
30,vector0,NA,NA,NA,NA,NA,NA,157775.890625,260330215,0.064292,0.031851,0.032441,0.000000,0.000000,0.052210,0.000000,0.000000,0.201011,
31,vector0,NA,NA,NA,NA,NA,NA,157805.359375,260378829,0.064270,0.031840,0.032430,0.000000,0.000000,0.052683,0.000000,0.000000,0.200942,
32,vector0,NA,NA,NA,NA,NA,NA,157854.328125,260459632,0.064260,0.031835,0.032425,0.000000,0.000000,0.053039,0.000000,0.000000,0.200911,
33,vector0,NA,NA,NA,NA,NA,NA,157906.062500,260545013,0.064239,0.031825,0.032414,0.000000,0.000000,0.053263,0.000000,0.000000,0.200845,
34,vector0,NA,NA,NA,NA,NA,NA,157994.906250,260691598,0.064203,0.031807,0.032396,0.000000,0.000000,0.053903,0.000000,0.000000,0.200732,
35,vector0,NA,NA,NA,NA,NA,NA,158041.265625,260768079,0.064174,0.031793,0.032381,0.000000,0.000000,0.054324,0.000000,0.000000,0.200642,
36,vector0,NA,NA,NA,NA,NA,NA,158356.812500,261288752,0.064056,0.031734,0.032322,0.000000,0.000000,0.056122,0.000000,0.000000,0.200274,
37,vector0,NA,NA,NA,NA,NA,NA,158396.843750,261354793,0.064040,0.031726,0.032314,0.000000,0.000000,0.056346,0.000000,0.000000,0.200223,
38,vector0,NA,NA,NA,NA,NA,NA,158446.781250,261437180,0.064020,0.031716,0.032304,0.000000,0.000000,0.056416,0.000000,0.000000,0.200160,
39,vector0,NA,NA,NA,NA,NA,NA,158467.765625,261471805,0.063996,0.031705,0.032292,0.000000,0.000000,0.056771,0.000000,0.000000,0.200087,
