block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9611.194336,15858470,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.300781,15856996,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.046875,15854927,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9606.278320,15850360,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.010742,15856518,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.682617,15855976,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.712891,15857677,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9603.023438,15844988,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9606.588867,15850872,0.000270,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.086914,15854994,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9607.401367,15852212,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9607.140625,15851782,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.051758,15853286,0.000270,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.427734,15857206,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.237305,15856892,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.226562,15853574,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.157227,15853460,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.956055,15858077,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9611.176758,15858441,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.090820,15853350,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.661133,15855941,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.737305,15856067,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9612.563477,15860729,0.000270,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9603.484375,15845750,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9606.647461,15850968,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9607.065430,15851658,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9611.205078,15858489,0.000270,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.498047,15857321,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.747070,15856083,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.149414,15853447,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9612.491211,15860610,0.000270,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.853516,15854609,0.000270,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.752930,15856092,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.297852,15853692,0.000270,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.748047,15854434,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9612.387695,15860439,0.000270,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9613.358398,15862041,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.176758,15853491,0.000270,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9614.370117,15863710,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9617.331055,15868597,0.000270,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
