block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9611.194336,15858470,6016,399,2412976,6936,2412523,6945,93.780205,99.713165,99.705307,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.300781,15856996,6015,400,2413992,5523,2414421,5537,93.764618,99.771461,99.763512,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.046875,15854927,6015,400,2417690,1958,2417857,1969,93.764618,99.918854,99.910706,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9606.278320,15850360,6014,400,2417972,1477,2417800,1471,93.763641,99.939079,99.930901,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.010742,15856518,6015,400,2418145,1782,2417861,1781,93.764618,99.926376,99.918221,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.682617,15855976,6015,400,2414379,5264,2414679,5248,93.764618,99.782791,99.774826,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.712891,15857677,6015,400,2404725,12870,2409146,12923,93.764618,99.467049,99.459503,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9603.023438,15844988,6015,399,2421227,463,2416763,453,93.779236,99.981071,99.972862,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9606.588867,15850872,6015,400,2420208,457,2418637,456,93.764618,99.981140,99.972908,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.086914,15854994,6015,400,2417084,2009,2418654,2012,93.764618,99.916916,99.908775,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9607.401367,15852212,6015,400,2419185,1366,2417830,1377,93.764618,99.943321,99.935150,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9607.140625,15851782,6014,400,2417409,1468,2418762,1459,93.763641,99.939514,99.931335,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.051758,15853286,6015,400,2419369,1007,2418572,1001,93.764618,99.958511,99.950310,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.427734,15857206,6015,400,2417687,1884,2418509,1866,93.764618,99.922516,99.914368,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.237305,15856892,6016,399,2420890,2556,2413943,2558,93.780205,99.894341,99.886246,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.226562,15853574,6014,400,2414770,1447,2421732,1430,93.763641,99.940552,99.932373,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.157227,15853460,6015,400,2418455,1548,2418577,1557,93.764618,99.935852,99.927681,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.956055,15858077,6015,400,2414348,5786,2414175,5827,93.764618,99.760063,99.752129,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9611.176758,15858441,6015,400,2419969,1024,2418315,1016,93.764618,99.957855,99.949654,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.090820,15853350,6014,400,2416028,2925,2417690,2926,93.763641,99.879105,99.871002,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.661133,15855941,6015,400,2417168,1886,2419502,1863,93.764618,99.922546,99.914398,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.737305,15856067,6016,399,2421261,198,2418943,205,93.780205,99.991676,99.983459,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9612.563477,15860729,6015,400,2414793,5309,2415151,5359,93.764618,99.779617,99.771652,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9603.484375,15845750,6014,400,2418813,1364,2418391,1379,93.763641,99.943321,99.935143,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9606.647461,15850968,6015,400,2420761,438,2419260,431,93.764618,99.982048,99.973816,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9607.065430,15851658,6015,400,2418864,875,2420385,862,93.764618,99.964119,99.955917,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9611.205078,15858489,6015,400,2418270,2694,2417417,2699,93.764618,99.888603,99.880493,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.498047,15857321,6014,400,2416410,3471,2417253,3475,93.763641,99.856506,99.848442,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.747070,15856083,6016,399,2416971,1842,2420833,1812,93.780205,99.924530,99.916397,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.149414,15853447,6015,400,2421743,997,2417890,1018,93.764618,99.958382,99.950188,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9612.491211,15860610,6015,400,2422094,46,2419751,45,93.764618,99.998123,99.989868,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.853516,15854609,6014,400,2418406,1151,2420765,1136,93.763641,99.952759,99.944572,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.752930,15856092,6015,400,2419687,1565,2419800,1544,93.764618,99.935799,99.927635,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.297852,15853692,6015,400,2420574,910,2420471,920,93.764618,99.962212,99.954010,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.748047,15854434,6015,400,2421297,781,2420677,782,93.764618,99.967735,99.959526,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9612.387695,15860439,6015,399,2418686,2679,2419271,2712,93.779236,99.888695,99.880608,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9613.358398,15862041,6015,400,2419251,3508,2418886,3499,93.764618,99.855377,99.847328,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.176758,15853491,6015,400,2422593,549,2422965,550,93.764618,99.977325,99.969116,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9614.370117,15863710,6015,400,2422793,1777,2423132,1789,93.764618,99.926468,99.918320,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9617.331055,15868597,6013,401,2432543,647,2432189,650,93.748055,99.973351,99.965149,
