block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9611.194336,15858470,0.079355,60.023251,60.023674,0.079566,51212,0.941241,6399,0.083903,604922.625000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604918.375000,30.781155,799.750000,0.045088,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.300781,15856996,0.079363,60.029984,60.030392,0.079574,51213,0.942455,6399,0.085373,604934.125000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604930.000000,30.784607,799.750000,0.045093,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.046875,15854927,0.079373,60.037815,60.038250,0.079584,51213,0.947917,6399,0.087095,604934.375000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604930.000000,30.788624,799.750000,0.045098,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9606.278320,15850360,0.079384,60.045757,60.046200,0.079595,51205,0.952948,6398,0.088350,604840.125000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604835.625000,30.792696,799.625000,0.045104,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.010742,15856518,0.079365,60.032978,60.033394,0.079576,51214,0.954533,6399,0.084417,604946.125000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604941.875000,30.786142,799.750000,0.045094,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.682617,15855976,0.079368,60.035027,60.035442,0.079579,51214,0.957700,6399,0.084670,604946.125000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604941.875000,30.787191,799.750000,0.045095,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.712891,15857677,0.079359,60.029774,60.030193,0.079570,51215,0.973548,6399,0.084895,604958.000000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604953.875000,30.784500,799.750000,0.045091,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9603.023438,15844988,0.079411,60.068439,60.068844,0.079622,51207,0.975137,6398,0.086048,604863.250000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604859.125000,30.804327,799.625000,0.045120,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9606.588867,15850872,0.079394,60.056717,60.057121,0.079604,51216,0.953930,6399,0.085820,604969.750000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604965.625000,30.798317,799.750000,0.045110,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.086914,15854994,0.079373,60.041092,60.041500,0.079584,51216,0.951139,6399,0.088779,604969.625000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604965.500000,30.790304,799.750000,0.045098,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9607.401367,15852212,0.079387,60.051624,60.052040,0.079598,51216,0.944591,6399,0.084679,604969.750000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604965.500000,30.795706,799.750000,0.045106,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9607.140625,15851782,0.079377,60.045036,60.045460,0.079588,51209,0.956452,6398,0.085504,604887.000000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604882.750000,30.792326,799.625000,0.045100,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.051758,15853286,0.079381,60.049915,60.050350,0.079592,51218,0.938285,6399,0.082854,604993.625000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604989.250000,30.794828,799.750000,0.045103,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.427734,15857206,0.079362,60.035042,60.035473,0.079573,51218,0.945116,6399,0.083415,604993.250000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604989.000000,30.787203,799.750000,0.045092,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.237305,15856892,0.079363,60.036243,60.036667,0.079574,51218,0.934757,6399,0.080963,604993.375000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604989.125000,30.787819,799.750000,0.045093,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.226562,15853574,0.079368,60.041763,60.042187,0.079579,51212,0.930539,6398,0.082731,604922.375000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604918.125000,30.790648,799.625000,0.045095,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.157227,15853460,0.079381,60.051605,60.052025,0.079591,51220,0.956188,6399,0.083161,605017.125000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,605012.875000,30.795696,799.750000,0.045103,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.956055,15858077,0.079357,60.034103,60.034527,0.079568,51220,0.963298,6399,0.083716,605017.000000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,605012.750000,30.786718,799.750000,0.045089,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9611.176758,15858441,0.079356,60.035065,60.035480,0.079566,51222,0.972510,6399,0.082370,605040.500000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,605036.375000,30.787212,799.750000,0.045088,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.090820,15853350,0.079369,60.044975,60.045376,0.079580,51214,0.972999,6398,0.082615,604946.000000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604941.875000,30.792295,799.625000,0.045096,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.661133,15855941,0.079368,60.045719,60.046120,0.079579,51223,0.976611,6399,0.085055,605052.375000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,605048.250000,30.792675,799.750000,0.045096,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.737305,15856067,0.079368,60.047569,60.047985,0.079578,51225,0.972424,6399,0.084861,605075.875000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,605071.750000,30.793625,799.750000,0.045095,
