block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9611.194336,15858470,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9610.300781,15856996,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9609.046875,15854927,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9606.278320,15850360,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9610.010742,15856518,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9609.682617,15855976,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9610.712891,15857677,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9603.023438,15844988,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9606.588867,15850872,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9609.086914,15854994,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9607.401367,15852212,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9607.140625,15851782,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9608.051758,15853286,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9610.427734,15857206,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9610.237305,15856892,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9608.226562,15853574,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9608.157227,15853460,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9610.956055,15858077,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9611.176758,15858441,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9608.090820,15853350,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9609.661133,15855941,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9609.737305,15856067,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9612.563477,15860729,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9603.484375,15845750,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9606.647461,15850968,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9607.065430,15851658,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9611.205078,15858489,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9610.498047,15857321,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9609.747070,15856083,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9608.149414,15853447,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9612.491211,15860610,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9608.853516,15854609,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9609.752930,15856092,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9608.297852,15853692,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9608.748047,15854434,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9612.387695,15860439,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9613.358398,15862041,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9608.176758,15853491,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9614.370117,15863710,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9617.331055,15868597,
