block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,vector0,NA,NA,9611.194336,15858470,0.051051,0.041575,0.079362,0.079357,
1,vector0,NA,NA,9610.300781,15856996,0.051056,0.041579,0.079369,0.079364,
2,vector0,NA,NA,9609.046875,15854927,0.051063,0.041585,0.079379,0.079375,
3,vector0,NA,NA,9606.278320,15850360,0.051078,0.041597,0.079390,0.079385,
4,vector0,NA,NA,9610.010742,15856518,0.051058,0.041581,0.079371,0.079367,
5,vector0,NA,NA,9609.682617,15855976,0.051059,0.041582,0.079374,0.079370,
6,vector0,NA,NA,9610.712891,15857677,0.051054,0.041578,0.079366,0.079361,
7,vector0,NA,NA,9603.023438,15844988,0.051095,0.041611,0.079417,0.079412,
8,vector0,NA,NA,9606.588867,15850872,0.051076,0.041595,0.079400,0.079395,
9,vector0,NA,NA,9609.086914,15854994,0.051063,0.041585,0.079379,0.079374,
10,vector0,NA,NA,9607.401367,15852212,0.051072,0.041592,0.079393,0.079388,
11,vector0,NA,NA,9607.140625,15851782,0.051073,0.041593,0.079383,0.079378,
12,vector0,NA,NA,9608.051758,15853286,0.051068,0.041589,0.079388,0.079383,
13,vector0,NA,NA,9610.427734,15857206,0.051056,0.041579,0.079368,0.079363,
14,vector0,NA,NA,9610.237305,15856892,0.051057,0.041580,0.079370,0.079365,
15,vector0,NA,NA,9608.226562,15853574,0.051067,0.041588,0.079374,0.079369,
16,vector0,NA,NA,9608.157227,15853460,0.051068,0.041589,0.079387,0.079382,
17,vector0,NA,NA,9610.956055,15858077,0.051053,0.041576,0.079364,0.079359,
18,vector0,NA,NA,9611.176758,15858441,0.051052,0.041576,0.079362,0.079357,
19,vector0,NA,NA,9608.090820,15853350,0.051068,0.041589,0.079375,0.079370,
20,vector0,NA,NA,9609.661133,15855941,0.051060,0.041582,0.079374,0.079370,
21,vector0,NA,NA,9609.737305,15856067,0.051059,0.041582,0.079374,0.079369,
22,vector0,NA,NA,9612.563477,15860729,0.051044,0.041570,0.079350,0.079346,
23,vector0,NA,NA,9603.484375,15845750,0.051092,0.041609,0.079413,0.079408,
24,vector0,NA,NA,9606.647461,15850968,0.051076,0.041595,0.079399,0.079395,
25,vector0,NA,NA,9607.065430,15851658,0.051073,0.041593,0.079396,0.079391,
26,vector0,NA,NA,9611.205078,15858489,0.051051,0.041575,0.079362,0.079357,
27,vector0,NA,NA,9610.498047,15857321,0.051055,0.041578,0.079355,0.079350,
28,vector0,NA,NA,9609.747070,15856083,0.051059,0.041582,0.079374,0.079369,
29,vector0,NA,NA,9608.149414,15853447,0.051068,0.041589,0.079387,0.079382,
30,vector0,NA,NA,9612.491211,15860610,0.051045,0.041570,0.079351,0.079346,
31,vector0,NA,NA,9608.853516,15854609,0.051064,0.041586,0.079369,0.079364,
32,vector0,NA,NA,9609.752930,15856092,0.051059,0.041582,0.079374,0.079369,
33,vector0,NA,NA,9608.297852,15853692,0.051067,0.041588,0.079386,0.079381,
34,vector0,NA,NA,9608.748047,15854434,0.051064,0.041586,0.079382,0.079377,
35,vector0,NA,NA,9612.387695,15860439,0.051045,0.041570,0.079339,0.079335,
36,vector0,NA,NA,9613.358398,15862041,0.051040,0.041566,0.079344,0.079339,
37,vector0,NA,NA,9608.176758,15853491,0.051067,0.041588,0.079387,0.079382,
38,vector0,NA,NA,9614.370117,15863710,0.051035,0.041562,0.079335,0.079331,
39,vector0,NA,NA,9617.331055,15868597,0.051019,0.041549,0.079292,0.079288,
