block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9611.194336,15858470,2.587879,0.000269,9595.528320,0.998370,9046.453125,0.941241,806.409668,0.083903,0.000007,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.300781,15856996,2.587879,0.000269,9590.000000,0.997888,9057.272461,0.942455,820.464233,0.085373,0.000007,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.046875,15854927,2.587879,0.000269,9589.714844,0.997988,9108.582031,0.947917,836.899414,0.087095,0.000008,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9606.278320,15850360,2.587879,0.000269,9588.689453,0.998169,9154.287109,0.952948,848.714539,0.088350,0.000007,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.010742,15856518,2.587879,0.000269,9590.098633,0.997928,9173.071289,0.954533,811.243652,0.084417,0.000006,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.682617,15855976,2.587879,0.000269,9589.570312,0.997907,9203.196289,0.957700,813.647888,0.084670,0.000007,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.712891,15857677,2.587879,0.000269,9589.943359,0.997839,9356.493164,0.973548,815.897583,0.084895,0.000007,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9603.023438,15844988,2.587879,0.000269,9588.098633,0.998446,9364.262695,0.975137,826.322449,0.086048,0.000007,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9606.588867,15850872,2.593333,0.000270,9594.386719,0.998730,9164.013672,0.953930,824.439392,0.085820,0.000009,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.086914,15854994,2.587879,0.000269,9589.581055,0.997970,9139.573242,0.951139,853.087280,0.088779,0.000006,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9607.401367,15852212,2.587879,0.000269,9589.626953,0.998150,9075.059570,0.944591,813.547852,0.084679,0.000008,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9607.140625,15851782,2.587879,0.000269,9587.914062,0.997999,9188.765625,0.956452,821.453308,0.085504,0.000007,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.051758,15853286,2.593333,0.000270,9594.116211,0.998550,9015.088867,0.938285,796.067261,0.082854,0.000007,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.427734,15857206,2.587879,0.000269,9589.612305,0.997834,9082.965820,0.945116,801.658203,0.083415,0.000007,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.237305,15856892,2.587879,0.000269,9590.061523,0.997901,8983.238281,0.934757,778.074524,0.080963,0.000006,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.226562,15853574,2.587879,0.000269,9588.091797,0.997904,8940.828125,0.930539,794.897583,0.082731,0.000007,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.157227,15853460,2.587879,0.000269,9589.792969,0.998089,9187.207031,0.956188,799.021240,0.083161,0.000008,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.956055,15858077,2.587879,0.000269,9589.938477,0.997813,9258.213867,0.963298,804.591492,0.083716,0.000008,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9611.176758,15858441,2.587879,0.000269,9589.858398,0.997782,9346.964844,0.972510,791.669678,0.082370,0.000007,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.090820,15853350,2.587879,0.000269,9588.305664,0.997941,9348.660156,0.972999,793.770935,0.082615,0.000007,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.661133,15855941,2.587879,0.000269,9589.712891,0.997924,9384.899414,0.976611,817.349121,0.085055,0.000006,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.737305,15856067,2.587879,0.000269,9589.904297,0.997936,9344.738281,0.972424,815.493347,0.084861,0.000007,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9612.563477,15860729,2.593333,0.000270,9593.003906,0.997965,9240.895508,0.961335,862.957581,0.089774,0.000009,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9603.484375,15845750,2.587879,0.000269,9588.125000,0.998401,9251.380859,0.963336,862.563660,0.089818,0.000008,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9606.647461,15850968,2.587879,0.000269,9590.088867,0.998276,9343.147461,0.972571,818.679382,0.085220,0.000006,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9607.065430,15851658,2.587879,0.000269,9589.794922,0.998202,9301.309570,0.968174,821.640625,0.085525,0.000007,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9611.205078,15858489,2.593333,0.000270,9592.498047,0.998054,9375.458984,0.975472,789.662415,0.082161,0.000010,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.498047,15857321,2.587879,0.000269,9588.489258,0.997710,9405.239258,0.978642,797.567871,0.082989,0.000007,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.747070,15856083,2.587879,0.000269,9589.742188,0.997918,9062.702148,0.943074,782.636963,0.081442,0.000005,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.149414,15853447,2.587879,0.000269,9589.922852,0.998103,9074.460938,0.944455,786.708496,0.081879,0.000006,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9612.491211,15860610,2.593333,0.000270,9591.539062,0.997820,9035.103516,0.939934,784.933960,0.081658,0.000008,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.853516,15854609,2.593333,0.000270,9588.711914,0.997904,9051.544922,0.942000,791.610901,0.082383,0.000007,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.752930,15856092,2.587879,0.000269,9590.152344,0.997960,9098.527344,0.946801,792.593323,0.082478,0.000008,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.297852,15853692,2.596970,0.000270,9590.104492,0.998106,9184.979492,0.955942,793.054565,0.082539,0.000007,
