block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte1_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,vector0,NA,NA,NA,NA,NA,NA,9611.194336,15858470,0.000021,0.000010,0.000010,0.000000,0.000000,0.070794,0.000000,0.000000,0.008809,
1,vector0,NA,NA,NA,NA,NA,NA,9610.300781,15856996,0.000021,0.000010,0.000010,0.000000,0.000000,0.066798,0.000000,0.000000,0.009123,
2,vector0,NA,NA,NA,NA,NA,NA,9609.046875,15854927,0.000021,0.000010,0.000010,0.000000,0.000000,0.097230,0.000000,0.000000,0.008601,
3,vector0,NA,NA,NA,NA,NA,NA,9606.278320,15850360,0.000021,0.000010,0.000010,0.000000,0.000000,0.110924,0.000000,0.000000,0.008811,
4,vector0,NA,NA,NA,NA,NA,NA,9610.010742,15856518,0.000021,0.000010,0.000010,0.000000,0.000000,0.085365,0.000000,0.000000,0.008882,
5,vector0,NA,NA,NA,NA,NA,NA,9609.682617,15855976,0.000021,0.000010,0.000010,0.000000,0.000000,0.103574,0.000000,0.000000,0.008952,
6,vector0,NA,NA,NA,NA,NA,NA,9610.712891,15857677,0.000021,0.000010,0.000010,0.000000,0.000000,0.122072,0.000000,0.000000,0.009230,
7,vector0,NA,NA,NA,NA,NA,NA,9603.023438,15844988,0.000021,0.000010,0.000010,0.000000,0.000000,0.115015,0.000000,0.000000,0.008149,
8,vector0,NA,NA,NA,NA,NA,NA,9606.588867,15850872,0.000021,0.000010,0.000010,0.000000,0.000000,0.121106,0.000000,0.000000,0.008194,
9,vector0,NA,NA,NA,NA,NA,NA,9609.086914,15854994,0.000021,0.000010,0.000010,0.000000,0.000000,0.127447,0.000000,0.000000,0.008610,
10,vector0,NA,NA,NA,NA,NA,NA,9607.401367,15852212,0.000021,0.000010,0.000010,0.000000,0.000000,0.119759,0.000000,0.000000,0.008523,
11,vector0,NA,NA,NA,NA,NA,NA,9607.140625,15851782,0.000021,0.000010,0.000010,0.000000,0.000000,0.109482,0.000000,0.000000,0.008397,
12,vector0,NA,NA,NA,NA,NA,NA,9608.051758,15853286,0.000021,0.000010,0.000010,0.000000,0.000000,0.096990,0.000000,0.000000,0.008086,
13,vector0,NA,NA,NA,NA,NA,NA,9610.427734,15857206,0.000021,0.000010,0.000010,0.000000,0.000000,0.095690,0.000000,0.000000,0.008840,
14,vector0,NA,NA,NA,NA,NA,NA,9610.237305,15856892,0.000021,0.000010,0.000010,0.000000,0.000000,0.113384,0.000000,0.000000,0.008564,
15,vector0,NA,NA,NA,NA,NA,NA,9608.226562,15853574,0.000021,0.000010,0.000010,0.000000,0.000000,0.096218,0.000000,0.000000,0.008613,
16,vector0,NA,NA,NA,NA,NA,NA,9608.157227,15853460,0.000021,0.000010,0.000010,0.000000,0.000000,0.088400,0.000000,0.000000,0.008293,
17,vector0,NA,NA,NA,NA,NA,NA,9610.956055,15858077,0.000021,0.000010,0.000010,0.000000,0.000000,0.092484,0.000000,0.000000,0.008801,
18,vector0,NA,NA,NA,NA,NA,NA,9611.176758,15858441,0.000021,0.000010,0.000010,0.000000,0.000000,0.128917,0.000000,0.000000,0.008762,
19,vector0,NA,NA,NA,NA,NA,NA,9608.090820,15853350,0.000021,0.000010,0.000010,0.000000,0.000000,0.144602,0.000000,0.000000,0.008586,
20,vector0,NA,NA,NA,NA,NA,NA,9609.661133,15855941,0.000021,0.000010,0.000010,0.000000,0.000000,0.112499,0.000000,0.000000,0.008496,
21,vector0,NA,NA,NA,NA,NA,NA,9609.737305,15856067,0.000021,0.000010,0.000010,0.000000,0.000000,0.108760,0.000000,0.000000,0.008507,
22,vector0,NA,NA,NA,NA,NA,NA,9612.563477,15860729,0.000021,0.000010,0.000010,0.000000,0.000000,0.102583,0.000000,0.000000,0.008693,
23,vector0,NA,NA,NA,NA,NA,NA,9603.484375,15845750,0.000021,0.000010,0.000010,0.000000,0.000000,0.112002,0.000000,0.000000,0.008303,
24,vector0,NA,NA,NA,NA,NA,NA,9606.647461,15850968,0.000021,0.000010,0.000010,0.000000,0.000000,0.110455,0.000000,0.000000,0.008273,
25,vector0,NA,NA,NA,NA,NA,NA,9607.065430,15851658,0.000021,0.000010,0.000010,0.000000,0.000000,0.116077,0.000000,0.000000,0.008333,
26,vector0,NA,NA,NA,NA,NA,NA,9611.205078,15858489,0.000021,0.000010,0.000010,0.000000,0.000000,0.120055,0.000000,0.000000,0.008479,
27,vector0,NA,NA,NA,NA,NA,NA,9610.498047,15857321,0.000021,0.000010,0.000010,0.000000,0.000000,0.133689,0.000000,0.000000,0.008680,
28,vector0,NA,NA,NA,NA,NA,NA,9609.747070,15856083,0.000021,0.000010,0.000010,0.000000,0.000000,0.100113,0.000000,0.000000,0.008401,
29,vector0,NA,NA,NA,NA,NA,NA,9608.149414,15853447,0.000021,0.000010,0.000010,0.000000,0.000000,0.116662,0.000000,0.000000,0.008183,
30,vector0,NA,NA,NA,NA,NA,NA,9612.491211,15860610,0.000021,0.000010,0.000010,0.000000,0.000000,0.092955,0.000000,0.000000,0.008666,
31,vector0,NA,NA,NA,NA,NA,NA,9608.853516,15854609,0.000021,0.000010,0.000010,0.000000,0.000000,0.086302,0.000000,0.000000,0.008762,
32,vector0,NA,NA,NA,NA,NA,NA,9609.752930,15856092,0.000021,0.000010,0.000010,0.000000,0.000000,0.087396,0.000000,0.000000,0.008372,
33,vector0,NA,NA,NA,NA,NA,NA,9608.297852,15853692,0.000021,0.000010,0.000010,0.000000,0.000000,0.102410,0.000000,0.000000,0.008211,
34,vector0,NA,NA,NA,NA,NA,NA,9608.748047,15854434,0.000021,0.000010,0.000010,0.000000,0.000000,0.104858,0.000000,0.000000,0.008386,
35,vector0,NA,NA,NA,NA,NA,NA,9612.387695,15860439,0.000021,0.000010,0.000010,0.000000,0.000000,0.108535,0.000000,0.000000,0.008688,
