block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.666016,15857599,0.000270,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9611.166016,15858424,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.017578,15854879,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9606.329102,15850443,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.558594,15857422,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.566406,15857435,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.854492,15856260,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9603.877930,15846398,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9606.076172,15850025,0.000270,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.984375,15856475,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.900391,15854686,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9606.410156,15850576,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9607.299805,15852045,0.000270,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.455078,15857251,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.337891,15857058,0.000270,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.014648,15853224,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.403320,15855516,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.596680,15857484,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9611.235352,15858539,0.000270,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.375000,15855468,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.892578,15857973,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.357422,15857089,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9612.171875,15860084,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9607.887695,15853015,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9607.605469,15852549,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.337891,15853758,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9612.979492,15861416,0.000270,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.178711,15855145,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.781250,15857789,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9607.069336,15851665,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9611.963867,15859740,0.000270,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.809570,15854536,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9611.350586,15858728,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9607.613281,15852562,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.375000,15853819,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9614.081055,15863234,0.000270,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9613.991211,15863086,0.000269,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.684570,15855980,0.000270,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9614.278320,15863560,0.000270,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9617.532227,15868928,0.000270,0.000109,0.000000,0.000003,0.000000,0.000019,123008,
