block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.666016,15857599,6016,399,2413318,6965,2412183,6914,93.780205,99.713211,99.705353,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9611.166016,15858424,6015,400,2413624,5520,2414787,5542,93.764618,99.771416,99.763466,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.017578,15854879,6015,400,2418766,1982,2416779,1946,93.764618,99.918831,99.910690,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9606.329102,15850443,6014,400,2414373,3977,2416383,3991,93.763641,99.835327,99.827286,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.558594,15857422,6015,400,2417585,1540,2418909,1534,93.764618,99.936485,99.928314,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.566406,15857435,6015,400,2415196,5247,2413864,5261,93.764618,99.782867,99.774902,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.854492,15856260,6015,400,2411030,13030,2402596,13008,93.764618,99.461983,99.454445,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9603.877930,15846398,6015,399,2414762,463,2423228,453,93.779236,99.981071,99.972862,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9606.076172,15850025,6015,400,2420126,461,2418719,452,93.764618,99.981140,99.972908,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.984375,15856475,6015,400,2417134,2036,2418602,1985,93.764618,99.916916,99.908775,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.900391,15854686,6015,400,2418400,1371,2418614,1373,93.764618,99.943306,99.935127,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9606.410156,15850576,6014,400,2418189,1467,2417981,1458,93.763641,99.939552,99.931381,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9607.299805,15852045,6015,400,2418541,1007,2419399,1002,93.764618,99.958488,99.950287,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.455078,15857251,6015,400,2418528,1871,2417667,1879,93.764618,99.922516,99.914368,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.337891,15857058,6016,399,2419335,2568,2415499,2546,93.780205,99.894333,99.886246,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.014648,15853224,6014,400,2416377,1383,2420257,1362,93.763641,99.943275,99.935097,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.403320,15855516,6015,400,2418447,1554,2418587,1551,93.764618,99.935844,99.927681,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.596680,15857484,6015,400,2414378,5758,2414147,5852,93.764618,99.760132,99.752197,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9611.235352,15858539,6015,400,2421668,1281,2416069,1308,93.764618,99.946510,99.938332,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.375000,15855468,6014,400,2414045,2953,2419671,2899,93.763641,99.879074,99.870987,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.892578,15857973,6015,400,2417606,1871,2419064,1878,93.764618,99.922546,99.914398,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.357422,15857089,6016,399,2420693,344,2419238,334,93.780205,99.985992,99.977776,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9612.171875,15860084,6015,400,2418852,1882,2417989,1884,93.764618,99.922195,99.914047,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9607.887695,15853015,6014,400,2418166,1377,2419036,1367,93.763641,99.943306,99.935127,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9607.605469,15852549,6015,400,2418829,512,2421061,488,93.764618,99.979340,99.971115,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.337891,15853758,6015,400,2420728,869,2418521,868,93.764618,99.964119,99.955917,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9612.979492,15861416,6015,400,2416833,2708,2418857,2684,93.764618,99.888618,99.880516,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.178711,15855145,6014,400,2416883,4421,2414892,4412,93.763641,99.817520,99.809517,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.781250,15857789,6016,399,2418042,1826,2419762,1828,93.780205,99.924530,99.916397,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9607.069336,15851665,6015,400,2420144,1540,2418417,1546,93.764618,99.936264,99.928093,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9611.963867,15859740,6015,400,2419083,551,2421725,573,93.764618,99.976784,99.968567,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.809570,15854536,6014,400,2420661,1400,2418023,1374,93.763641,99.942703,99.934525,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9611.350586,15858728,6015,400,2419490,1550,2419996,1557,93.764618,99.935844,99.927681,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9607.613281,15852562,6015,400,2420783,914,2420268,916,93.764618,99.962212,99.954010,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.375000,15853819,6015,400,2421787,663,2420430,657,93.764618,99.972748,99.964539,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9614.081055,15863234,6015,399,2418845,2148,2420183,2173,93.779236,99.910782,99.902672,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9613.991211,15863086,6015,400,2422273,2696,2417447,2727,93.764618,99.888077,99.879974,
