block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.666016,15857599,0.079360,60.026550,60.026958,0.079571,51212,0.925023,6399,0.083978,604922.500000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604918.375000,30.782848,799.750000,0.045091,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9611.166016,15858424,0.079356,60.024578,60.024986,0.079567,51213,0.930349,6399,0.085026,604934.125000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604930.000000,30.781836,799.750000,0.045088,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.017578,15854879,0.079373,60.037998,60.038410,0.079584,51213,0.943861,6399,0.086759,604934.125000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604930.000000,30.788717,799.750000,0.045099,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9606.329102,15850443,0.079383,60.045441,60.045895,0.079594,51205,0.945016,6398,0.087715,604840.250000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604835.625000,30.792534,799.625000,0.045104,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.558594,15857422,0.079361,60.029556,60.029961,0.079572,51214,0.919881,6399,0.085601,604946.000000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604941.875000,30.784388,799.750000,0.045091,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.566406,15857435,0.079361,60.029507,60.029911,0.079572,51214,0.930883,6399,0.084670,604946.000000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604941.875000,30.784363,799.750000,0.045091,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.854492,15856260,0.079367,60.035137,60.035553,0.079577,51215,0.963090,6399,0.083457,604958.000000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604953.875000,30.787251,799.750000,0.045095,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9603.877930,15846398,0.079404,60.063095,60.063576,0.079615,51207,0.965661,6398,0.085173,604864.000000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604859.125000,30.801588,799.625000,0.045116,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9606.076172,15850025,0.079398,60.059921,60.060402,0.079609,51216,0.969385,6399,0.085584,604970.500000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604965.625000,30.799959,799.750000,0.045112,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.984375,15856475,0.079365,60.035484,60.035892,0.079576,51216,0.966314,6399,0.087555,604969.625000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604965.500000,30.787428,799.750000,0.045094,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.900391,15854686,0.079374,60.042255,60.042667,0.079585,51216,0.958265,6399,0.085385,604969.625000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604965.500000,30.790901,799.750000,0.045099,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9606.410156,15850576,0.079383,60.049603,60.050091,0.079594,51209,0.962892,6398,0.085945,604887.625000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604882.750000,30.794668,799.625000,0.045104,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9607.299805,15852045,0.079388,60.054615,60.055050,0.079599,51218,0.934565,6399,0.083384,604993.625000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604989.250000,30.797237,799.750000,0.045107,
