block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9610.666016,15857599,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9611.166016,15858424,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9609.017578,15854879,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9606.329102,15850443,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9610.558594,15857422,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9610.566406,15857435,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9609.854492,15856260,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9603.877930,15846398,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9606.076172,15850025,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9609.984375,15856475,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9608.900391,15854686,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9606.410156,15850576,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9607.299805,15852045,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9610.455078,15857251,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9610.337891,15857058,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9608.014648,15853224,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9609.403320,15855516,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9610.596680,15857484,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9611.235352,15858539,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9609.375000,15855468,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9610.892578,15857973,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9610.357422,15857089,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9612.171875,15860084,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9607.887695,15853015,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9607.605469,15852549,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9608.337891,15853758,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9612.979492,15861416,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9609.178711,15855145,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9610.781250,15857789,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9607.069336,15851665,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9611.963867,15859740,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9608.809570,15854536,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9611.350586,15858728,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9607.613281,15852562,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9608.375000,15853819,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9614.081055,15863234,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9613.991211,15863086,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9609.684570,15855980,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9614.278320,15863560,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9617.532227,15868928,
