block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,vector0,NA,NA,9610.666016,15857599,0.051054,0.041578,0.079366,0.079361,
1,vector0,NA,NA,9611.166016,15858424,0.051052,0.041576,0.079362,0.079357,
2,vector0,NA,NA,9609.017578,15854879,0.051063,0.041585,0.079380,0.079375,
3,vector0,NA,NA,9606.329102,15850443,0.051077,0.041596,0.079389,0.079385,
4,vector0,NA,NA,9610.558594,15857422,0.051055,0.041578,0.079367,0.079362,
5,vector0,NA,NA,9610.566406,15857435,0.051055,0.041578,0.079367,0.079362,
6,vector0,NA,NA,9609.854492,15856260,0.051059,0.041581,0.079373,0.079368,
7,vector0,NA,NA,9603.877930,15846398,0.051090,0.041607,0.079410,0.079405,
8,vector0,NA,NA,9606.076172,15850025,0.051079,0.041598,0.079404,0.079399,
9,vector0,NA,NA,9609.984375,15856475,0.051058,0.041581,0.079372,0.079367,
10,vector0,NA,NA,9608.900391,15854686,0.051064,0.041585,0.079381,0.079376,
11,vector0,NA,NA,9606.410156,15850576,0.051077,0.041596,0.079389,0.079384,
12,vector0,NA,NA,9607.299805,15852045,0.051072,0.041592,0.079394,0.079389,
13,vector0,NA,NA,9610.455078,15857251,0.051055,0.041579,0.079368,0.079363,
14,vector0,NA,NA,9610.337891,15857058,0.051056,0.041579,0.079369,0.079364,
15,vector0,NA,NA,9608.014648,15853224,0.051068,0.041589,0.079376,0.079371,
16,vector0,NA,NA,9609.403320,15855516,0.051061,0.041583,0.079376,0.079372,
17,vector0,NA,NA,9610.596680,15857484,0.051055,0.041578,0.079367,0.079362,
18,vector0,NA,NA,9611.235352,15858539,0.051051,0.041575,0.079361,0.079357,
19,vector0,NA,NA,9609.375000,15855468,0.051061,0.041583,0.079364,0.079360,
20,vector0,NA,NA,9610.892578,15857973,0.051053,0.041577,0.079364,0.079360,
21,vector0,NA,NA,9610.357422,15857089,0.051056,0.041579,0.079369,0.079364,
22,vector0,NA,NA,9612.171875,15860084,0.051046,0.041571,0.079354,0.079349,
23,vector0,NA,NA,9607.887695,15853015,0.051069,0.041590,0.079377,0.079372,
24,vector0,NA,NA,9607.605469,15852549,0.051071,0.041591,0.079391,0.079387,
25,vector0,NA,NA,9608.337891,15853758,0.051067,0.041588,0.079385,0.079381,
26,vector0,NA,NA,9612.979492,15861416,0.051042,0.041568,0.079347,0.079342,
27,vector0,NA,NA,9609.178711,15855145,0.051062,0.041584,0.079366,0.079361,
28,vector0,NA,NA,9610.781250,15857789,0.051054,0.041577,0.079365,0.079360,
29,vector0,NA,NA,9607.069336,15851665,0.051073,0.041593,0.079396,0.079391,
30,vector0,NA,NA,9611.963867,15859740,0.051047,0.041572,0.079355,0.079351,
31,vector0,NA,NA,9608.809570,15854536,0.051064,0.041586,0.079369,0.079364,
32,vector0,NA,NA,9611.350586,15858728,0.051051,0.041575,0.079360,0.079356,
33,vector0,NA,NA,9607.613281,15852562,0.051070,0.041591,0.079391,0.079387,
34,vector0,NA,NA,9608.375000,15853819,0.051066,0.041588,0.079385,0.079380,
35,vector0,NA,NA,9614.081055,15863234,0.051036,0.041563,0.079325,0.079321,
36,vector0,NA,NA,9613.991211,15863086,0.051037,0.041563,0.079339,0.079334,
37,vector0,NA,NA,9609.684570,15855980,0.051059,0.041582,0.079374,0.079370,
38,vector0,NA,NA,9614.278320,15863560,0.051035,0.041562,0.079336,0.079332,
39,vector0,NA,NA,9617.532227,15868928,0.051018,0.041548,0.079291,0.079286,
