block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.666016,15857599,2.593333,0.000270,9595.064453,0.998377,8890.091797,0.925023,807.087891,0.083978,0.000006,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9611.166016,15858424,2.587879,0.000269,9589.914062,0.997789,8941.740234,0.930349,817.198792,0.085026,0.000007,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.017578,15854879,2.587879,0.000269,9589.774414,0.997997,9069.580078,0.943861,833.669067,0.086759,0.000007,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9606.329102,15850443,2.587879,0.000269,9588.208984,0.998114,9078.137695,0.945016,842.616394,0.087715,0.000007,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.558594,15857422,2.587879,0.000269,9589.928711,0.997853,8840.571289,0.919881,822.676941,0.085601,0.000007,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.566406,15857435,2.587879,0.000269,9589.662109,0.997825,8946.317383,0.930883,813.727295,0.084670,0.000006,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.854492,15856260,2.587879,0.000269,9589.922852,0.997926,9255.152344,0.963090,802.010315,0.083457,0.000009,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9603.877930,15846398,2.587879,0.000269,9587.945312,0.998341,9274.087891,0.965661,817.992126,0.085173,0.000007,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9606.076172,15850025,2.593333,0.000270,9593.894531,0.998732,9311.986328,0.969385,822.121826,0.085584,0.000005,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.984375,15856475,2.587879,0.000269,9589.566406,0.997875,9286.266602,0.966314,841.406677,0.087555,0.000007,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.900391,15854686,2.587879,0.000269,9589.748047,0.998007,9207.873047,0.958265,820.460022,0.085385,0.000005,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9606.410156,15850576,2.587879,0.000269,9588.119141,0.998096,9249.937500,0.962892,825.621826,0.085945,0.000006,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9607.299805,15852045,2.593333,0.000270,9593.516602,0.998565,8978.641602,0.934565,801.090881,0.083384,0.000010,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.455078,15857251,2.587879,0.000269,9589.332031,0.997802,9136.164062,0.950648,798.574524,0.083094,0.000006,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.337891,15857058,2.593333,0.000270,9593.432617,0.998241,8960.125977,0.932342,776.469727,0.080795,0.000008,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.014648,15853224,2.587879,0.000269,9588.456055,0.997964,8937.835938,0.930248,800.047302,0.083269,0.000007,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.403320,15855516,2.587879,0.000269,9590.144531,0.997996,9096.141602,0.946588,788.959412,0.082103,0.000008,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.596680,15857484,2.587879,0.000269,9589.775391,0.997834,9184.030273,0.955615,788.645447,0.082060,0.000007,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9611.235352,15858539,2.593333,0.000270,9592.815430,0.998083,9230.502930,0.960387,801.429688,0.083385,0.000007,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.375000,15855468,2.587879,0.000269,9588.218750,0.997798,9263.145508,0.963970,800.518799,0.083306,0.000007,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.892578,15857973,2.587879,0.000269,9589.854492,0.997811,9357.141602,0.973598,813.117554,0.084604,0.000006,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.357422,15857089,2.587879,0.000269,9589.855469,0.997867,9350.697266,0.972981,826.842407,0.086037,0.000008,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9612.171875,15860084,2.587879,0.000269,9590.458008,0.997741,9150.480469,0.951968,863.673340,0.089852,0.000007,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9607.887695,15853015,2.587879,0.000269,9588.149414,0.997946,9157.104492,0.953082,866.832703,0.090221,0.000006,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9607.605469,15852549,2.587879,0.000269,9590.208008,0.998189,9312.247070,0.969258,821.831543,0.085540,0.000007,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.337891,15853758,2.587879,0.000269,9590.139648,0.998106,9363.023438,0.974469,820.259399,0.085370,0.000007,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9612.979492,15861416,2.593333,0.000270,9591.983398,0.997816,9385.593750,0.976346,796.447876,0.082851,0.000009,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.178711,15855145,2.587879,0.000269,9588.630859,0.997862,9386.432617,0.976819,807.527893,0.084037,0.000006,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610.781250,15857789,2.587879,0.000269,9589.864258,0.997824,9148.111328,0.951859,785.433350,0.081724,0.000006,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9607.069336,15851665,2.587879,0.000269,9589.825195,0.998205,9167.506836,0.954246,786.347900,0.081851,0.000007,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9611.963867,15859740,2.593333,0.000270,9591.453125,0.997866,9118.465820,0.948658,790.649719,0.082257,0.000009,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.809570,15854536,2.587879,0.000269,9588.746094,0.997912,9140.939453,0.951308,790.826050,0.082302,0.000007,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9611.350586,15858728,2.587879,0.000269,9589.866211,0.997765,9109.322266,0.947767,787.914551,0.081978,0.000006,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9607.613281,15852562,2.587879,0.000269,9590.262695,0.998194,9167.431641,0.954184,795.812134,0.082831,0.000008,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608.375000,15853819,2.587879,0.000269,9590.244141,0.998113,9240.423828,0.961705,816.334534,0.084961,0.000007,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9614.081055,15863234,2.596970,0.000270,9589.487305,0.997442,9292.437500,0.966545,822.352112,0.085536,0.000007,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9613.991211,15863086,2.587879,0.000269,9591.299805,0.997640,9225.109375,0.959550,837.947266,0.087159,0.000008,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9609.684570,15855980,2.593333,0.000270,9591.325195,0.998089,9246.108398,0.962166,846.212708,0.088058,0.000007,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9614.278320,15863560,2.593333,0.000270,9591.769531,0.997659,9271.340820,0.964330,813.019409,0.084564,0.000006,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9617.532227,15868928,2.593333,0.000270,9593.329102,0.997483,9291.255859,0.966075,819.682434,0.085228,0.000005,
