block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte1_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,vector0,NA,NA,NA,NA,NA,NA,9610.666016,15857599,0.000021,0.000010,0.000010,0.000000,0.000000,0.095405,0.000000,0.000000,0.008910,
1,vector0,NA,NA,NA,NA,NA,NA,9611.166016,15858424,0.000021,0.000010,0.000010,0.000000,0.000000,0.091059,0.000000,0.000000,0.009057,
2,vector0,NA,NA,NA,NA,NA,NA,9609.017578,15854879,0.000021,0.000010,0.000010,0.000000,0.000000,0.104667,0.000000,0.000000,0.008770,
3,vector0,NA,NA,NA,NA,NA,NA,9606.329102,15850443,0.000021,0.000010,0.000010,0.000000,0.000000,0.093410,0.000000,0.000000,0.008996,
4,vector0,NA,NA,NA,NA,NA,NA,9610.558594,15857422,0.000021,0.000010,0.000010,0.000000,0.000000,0.076473,0.000000,0.000000,0.008748,
5,vector0,NA,NA,NA,NA,NA,NA,9610.566406,15857435,0.000021,0.000010,0.000010,0.000000,0.000000,0.095885,0.000000,0.000000,0.008978,
6,vector0,NA,NA,NA,NA,NA,NA,9609.854492,15856260,0.000021,0.000010,0.000010,0.000000,0.000000,0.135192,0.000000,0.000000,0.009210,
7,vector0,NA,NA,NA,NA,NA,NA,9603.877930,15846398,0.000021,0.000010,0.000010,0.000000,0.000000,0.125601,0.000000,0.000000,0.008452,
8,vector0,NA,NA,NA,NA,NA,NA,9606.076172,15850025,0.000021,0.000010,0.000010,0.000000,0.000000,0.104214,0.000000,0.000000,0.008231,
9,vector0,NA,NA,NA,NA,NA,NA,9609.984375,15856475,0.000021,0.000010,0.000010,0.000000,0.000000,0.112868,0.000000,0.000000,0.008716,
10,vector0,NA,NA,NA,NA,NA,NA,9608.900391,15854686,0.000021,0.000010,0.000010,0.000000,0.000000,0.118609,0.000000,0.000000,0.008559,
11,vector0,NA,NA,NA,NA,NA,NA,9606.410156,15850576,0.000021,0.000010,0.000010,0.000000,0.000000,0.126618,0.000000,0.000000,0.008485,
12,vector0,NA,NA,NA,NA,NA,NA,9607.299805,15852045,0.000021,0.000010,0.000010,0.000000,0.000000,0.082917,0.000000,0.000000,0.008006,
13,vector0,NA,NA,NA,NA,NA,NA,9610.455078,15857251,0.000021,0.000010,0.000010,0.000000,0.000000,0.108151,0.000000,0.000000,0.008789,
14,vector0,NA,NA,NA,NA,NA,NA,9610.337891,15857058,0.000021,0.000010,0.000010,0.000000,0.000000,0.076631,0.000000,0.000000,0.008538,
15,vector0,NA,NA,NA,NA,NA,NA,9608.014648,15853224,0.000021,0.000010,0.000010,0.000000,0.000000,0.075698,0.000000,0.000000,0.008669,
16,vector0,NA,NA,NA,NA,NA,NA,9609.403320,15855516,0.000021,0.000010,0.000010,0.000000,0.000000,0.091078,0.000000,0.000000,0.008652,
17,vector0,NA,NA,NA,NA,NA,NA,9610.596680,15857484,0.000021,0.000010,0.000010,0.000000,0.000000,0.110710,0.000000,0.000000,0.009091,
18,vector0,NA,NA,NA,NA,NA,NA,9611.235352,15858539,0.000021,0.000010,0.000010,0.000000,0.000000,0.094193,0.000000,0.000000,0.008591,
19,vector0,NA,NA,NA,NA,NA,NA,9609.375000,15855468,0.000021,0.000010,0.000010,0.000000,0.000000,0.100074,0.000000,0.000000,0.008772,
20,vector0,NA,NA,NA,NA,NA,NA,9610.892578,15857973,0.000021,0.000010,0.000010,0.000000,0.000000,0.110665,0.000000,0.000000,0.008529,
21,vector0,NA,NA,NA,NA,NA,NA,9610.357422,15857089,0.000021,0.000010,0.000010,0.000000,0.000000,0.108327,0.000000,0.000000,0.008699,
22,vector0,NA,NA,NA,NA,NA,NA,9612.171875,15860084,0.000021,0.000010,0.000010,0.000000,0.000000,0.098161,0.000000,0.000000,0.009092,
23,vector0,NA,NA,NA,NA,NA,NA,9607.887695,15853015,0.000021,0.000010,0.000010,0.000000,0.000000,0.099847,0.000000,0.000000,0.008371,
24,vector0,NA,NA,NA,NA,NA,NA,9607.605469,15852549,0.000021,0.000010,0.000010,0.000000,0.000000,0.132644,0.000000,0.000000,0.008484,
25,vector0,NA,NA,NA,NA,NA,NA,9608.337891,15853758,0.000021,0.000010,0.000010,0.000000,0.000000,0.137407,0.000000,0.000000,0.008378,
26,vector0,NA,NA,NA,NA,NA,NA,9612.979492,15861416,0.000021,0.000010,0.000010,0.000000,0.000000,0.126877,0.000000,0.000000,0.008515,
27,vector0,NA,NA,NA,NA,NA,NA,9609.178711,15855145,0.000021,0.000010,0.000010,0.000000,0.000000,0.109316,0.000000,0.000000,0.008775,
28,vector0,NA,NA,NA,NA,NA,NA,9610.781250,15857789,0.000021,0.000010,0.000010,0.000000,0.000000,0.069476,0.000000,0.000000,0.008586,
29,vector0,NA,NA,NA,NA,NA,NA,9607.069336,15851665,0.000021,0.000010,0.000010,0.000000,0.000000,0.075393,0.000000,0.000000,0.008367,
30,vector0,NA,NA,NA,NA,NA,NA,9611.963867,15859740,0.000021,0.000010,0.000010,0.000000,0.000000,0.085816,0.000000,0.000000,0.008479,
31,vector0,NA,NA,NA,NA,NA,NA,9608.809570,15854536,0.000021,0.000010,0.000010,0.000000,0.000000,0.085318,0.000000,0.000000,0.008784,
32,vector0,NA,NA,NA,NA,NA,NA,9611.350586,15858728,0.000021,0.000010,0.000010,0.000000,0.000000,0.091041,0.000000,0.000000,0.008425,
33,vector0,NA,NA,NA,NA,NA,NA,9607.613281,15852562,0.000021,0.000010,0.000010,0.000000,0.000000,0.089224,0.000000,0.000000,0.008292,
34,vector0,NA,NA,NA,NA,NA,NA,9608.375000,15853819,0.000021,0.000010,0.000010,0.000000,0.000000,0.106327,0.000000,0.000000,0.008329,
35,vector0,NA,NA,NA,NA,NA,NA,9614.081055,15863234,0.000021,0.000010,0.000010,0.000000,0.000000,0.112665,0.000000,0.000000,0.008593,
36,vector0,NA,NA,NA,NA,NA,NA,9613.991211,15863086,0.000021,0.000010,0.000010,0.000000,0.000000,0.114531,0.000000,0.000000,0.008933,
37,vector0,NA,NA,NA,NA,NA,NA,9609.684570,15855980,0.000021,0.000010,0.000010,0.000000,0.000000,0.121051,0.000000,0.000000,0.008313,
38,vector0,NA,NA,NA,NA,NA,NA,9614.278320,15863560,0.000021,0.000010,0.000010,0.000000,0.000000,0.107035,0.000000,0.000000,0.008806,
39,vector0,NA,NA,NA,NA,NA,NA,9617.532227,15868928,0.000021,0.000010,0.000010,0.000000,0.000000,0.118654,0.000000,0.000000,0.008944,
