block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,150885.531250,248961136,0.867796,0.354232,0.000000,0.009868,0.000000,0.061266,6289490048,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,150886.140625,248962152,0.867793,0.354231,0.000000,0.009868,0.000000,0.061266,6289490048,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,150886.046875,248961975,0.867793,0.354231,0.000000,0.009868,0.000000,0.061266,6289490048,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,150864.140625,248925840,0.867784,0.354227,0.000000,0.009868,0.000000,0.061265,6288507008,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,150888.015625,248965234,0.867782,0.354226,0.000000,0.009868,0.000000,0.061265,6289490048,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,150887.421875,248964249,0.867785,0.354228,0.000000,0.009868,0.000000,0.061265,6289490048,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,150888.546875,248966096,0.867779,0.354225,0.000000,0.009868,0.000000,0.061265,6289490048,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,150864.781250,248926891,0.867780,0.354225,0.000000,0.009868,0.000000,0.061265,6288507008,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,150888.531250,248966085,0.867779,0.354225,0.000000,0.009868,0.000000,0.061265,6289490048,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,150886.968750,248963489,0.867788,0.354229,0.000000,0.009868,0.000000,0.061265,6289490048,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,150888.531250,248966063,0.867779,0.354225,0.000000,0.009868,0.000000,0.061265,6289490048,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,150863.218750,248924322,0.867789,0.354229,0.000000,0.009868,0.000000,0.061265,6288507008,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,150886.937500,248963433,0.867788,0.354229,0.000000,0.009868,0.000000,0.061265,6289490048,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,150887.093750,248963708,0.867787,0.354228,0.000000,0.009868,0.000000,0.061265,6289490048,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,150887.421875,248964233,0.867785,0.354228,0.000000,0.009868,0.000000,0.061265,6289490048,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,150864.468750,248926369,0.867782,0.354226,0.000000,0.009868,0.000000,0.061265,6288507008,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,150888.156250,248965453,0.867781,0.354226,0.000000,0.009868,0.000000,0.061265,6289490048,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,150887.937500,248965109,0.867782,0.354226,0.000000,0.009868,0.000000,0.061265,6289490048,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,150888.562500,248966128,0.867778,0.354225,0.000000,0.009868,0.000000,0.061265,6289490048,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,150864.875000,248927048,0.867779,0.354225,0.000000,0.009868,0.000000,0.061265,6288507008,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,150889.203125,248967180,0.867775,0.354224,0.000000,0.009868,0.000000,0.061264,6289490048,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,150889.828125,248968229,0.867771,0.354222,0.000000,0.009868,0.000000,0.061264,6289490048,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,150889.593750,248967835,0.867772,0.354223,0.000000,0.009868,0.000000,0.061264,6289490048,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,150866.031250,248928957,0.867772,0.354223,0.000000,0.009868,0.000000,0.061264,6288507008,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,150890.421875,248969196,0.867768,0.354221,0.000000,0.009868,0.000000,0.061264,6289490048,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,150890.843750,248969882,0.867765,0.354220,0.000000,0.009868,0.000000,0.061264,6289490048,
