block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150885.531250,248961136,6016,399,2412399,6951,2413080,6936,93.780205,99.713043,99.705185,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150886.140625,248962152,6015,400,2414534,5529,2413866,5530,93.764618,99.771484,99.763535,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150886.046875,248961975,6015,400,2417234,1962,2418296,1967,93.764618,99.918808,99.910667,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150864.140625,248925840,6014,400,2419064,821,2417995,824,93.763641,99.966003,99.957794,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150888.015625,248965234,6015,400,2418431,1445,2418234,1444,93.764618,99.940300,99.932129,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150887.421875,248964249,6015,400,2414425,5253,2414614,5262,93.764618,99.782730,99.774765,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150888.546875,248966096,6015,400,2407677,11203,2409587,11183,93.764618,99.537445,99.529808,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150864.781250,248926891,6015,399,2419931,460,2418045,456,93.779236,99.981071,99.972862,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150888.531250,248966085,6015,400,2419446,456,2419385,457,93.764618,99.981133,99.972908,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150886.968750,248963489,6015,400,2417832,2009,2417889,2013,93.764618,99.916893,99.908752,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150888.531250,248966063,6015,400,2418599,1373,2418400,1371,93.764618,99.943306,99.935127,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150863.218750,248924322,6014,400,2417975,1465,2418179,1462,93.763641,99.939514,99.931335,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150886.937500,248963433,6015,400,2424202,1007,2413724,1000,93.764618,99.958534,99.950333,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150887.093750,248963708,6015,400,2412845,1878,2423335,1873,93.764618,99.922493,99.914345,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150887.421875,248964233,6016,399,2428558,2541,2406262,2571,93.780205,99.894379,99.886284,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150864.468750,248926369,6014,400,2407083,1466,2429356,1459,93.763641,99.939560,99.931389,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150888.156250,248965453,6015,400,2418707,1549,2418310,1556,93.764618,99.935844,99.927681,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150887.937500,248965109,6015,400,2414057,5808,2414449,5807,93.764618,99.760025,99.752090,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150888.562500,248966128,6015,400,2419865,91,2420263,91,93.764618,99.996239,99.987991,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150864.875000,248927048,6014,400,2417048,2928,2416655,2923,93.763641,99.879105,99.871010,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150889.203125,248967180,6015,400,2422605,1877,2414050,1873,93.764618,99.922531,99.914375,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150889.828125,248968229,6016,399,2415877,140,2424437,139,93.780205,99.994232,99.986008,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150889.593750,248967835,6015,400,2408918,5995,2419695,5985,93.764618,99.752510,99.744583,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150866.031250,248928957,6014,400,2423979,1371,2413211,1371,93.763641,99.943352,99.935165,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150890.421875,248969196,6015,400,2420497,409,2419558,412,93.764618,99.983040,99.974815,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150890.843750,248969882,6015,400,2419150,868,2420085,869,93.764618,99.964119,99.955910,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150890.343750,248969077,6015,400,2415121,2699,2420549,2697,93.764618,99.888542,99.880432,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150867.515625,248931389,6014,400,2419533,3477,2414111,3473,93.763641,99.856422,99.848358,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150890.953125,248970073,6016,399,2425809,1827,2411980,1828,93.780205,99.924507,99.916374,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150891.328125,248970689,6015,400,2412896,1006,2426722,1009,93.764618,99.958382,99.950188,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150891.515625,248971005,6015,400,2422088,44,2419738,46,93.764618,99.998138,99.989891,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150869.171875,248934135,6014,400,2418072,1476,2420412,1484,93.763641,99.938858,99.930687,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150893.562500,248974384,6015,400,2420559,1564,2418911,1545,93.764618,99.935799,99.927635,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150894.578125,248976050,6015,400,2419684,913,2421347,917,93.764618,99.962212,99.954018,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150895.921875,248978266,6015,400,2423034,545,2419394,550,93.764618,99.977394,99.969170,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150873.968750,248942042,6015,399,2417148,2701,2420791,2693,93.779236,99.888626,99.880547,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150899.468750,248984115,6015,400,2421075,4441,2415189,4424,93.764618,99.817032,99.809029,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150903.203125,248990289,6015,400,2419820,550,2425724,548,93.764618,99.977348,99.969131,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150909.125000,249000063,6015,400,2423355,1780,2422556,1785,93.764618,99.926491,99.918350,
