block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,150885.531250,248961136,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,150886.140625,248962152,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,150886.046875,248961975,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,150864.140625,248925840,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,150888.015625,248965234,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,150887.421875,248964249,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,150888.546875,248966096,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,150864.781250,248926891,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,150888.531250,248966085,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,150886.968750,248963489,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,150888.531250,248966063,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,150863.218750,248924322,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,150886.937500,248963433,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,150887.093750,248963708,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,150887.421875,248964233,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,150864.468750,248926369,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,150888.156250,248965453,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,150887.937500,248965109,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,150888.562500,248966128,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,150864.875000,248927048,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,150889.203125,248967180,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,150889.828125,248968229,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,150889.593750,248967835,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,150866.031250,248928957,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,150890.421875,248969196,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,150890.843750,248969882,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,150890.343750,248969077,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,150867.515625,248931389,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,150890.953125,248970073,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,150891.328125,248970689,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,150891.515625,248971005,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,150869.171875,248934135,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,150893.562500,248974384,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,150894.578125,248976050,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,150895.921875,248978266,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,150873.968750,248942042,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,150899.468750,248984115,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,150903.203125,248990289,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,150909.125000,249000063,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,150911.937500,249004681,
