block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,vector0,NA,NA,150885.531250,248961136,166.445496,135.550385,0.005055,0.010110,
1,vector0,NA,NA,150886.140625,248962152,166.444824,135.549835,0.005055,0.010110,
2,vector0,NA,NA,150886.046875,248961975,166.444931,135.549927,0.005055,0.010110,
3,vector0,NA,NA,150864.140625,248925840,166.443085,135.548401,0.005055,0.010110,
4,vector0,NA,NA,150888.015625,248965234,166.442764,135.548157,0.005055,0.010109,
5,vector0,NA,NA,150887.421875,248964249,166.443420,135.548691,0.005055,0.010110,
6,vector0,NA,NA,150888.546875,248966096,166.442169,135.547684,0.005055,0.010109,
7,vector0,NA,NA,150864.781250,248926891,166.442383,135.547836,0.005055,0.010109,
8,vector0,NA,NA,150888.531250,248966085,166.442200,135.547684,0.005055,0.010109,
9,vector0,NA,NA,150886.968750,248963489,166.443909,135.549088,0.005055,0.010110,
10,vector0,NA,NA,150888.531250,248966063,166.442200,135.547684,0.005055,0.010109,
11,vector0,NA,NA,150863.218750,248924322,166.444107,135.549240,0.005055,0.010110,
12,vector0,NA,NA,150886.937500,248963433,166.443954,135.549118,0.005055,0.010110,
13,vector0,NA,NA,150887.093750,248963708,166.443771,135.548981,0.005055,0.010110,
14,vector0,NA,NA,150887.421875,248964233,166.443420,135.548691,0.005055,0.010110,
15,vector0,NA,NA,150864.468750,248926369,166.442734,135.548111,0.005055,0.010109,
16,vector0,NA,NA,150888.156250,248965453,166.442612,135.548035,0.005055,0.010109,
17,vector0,NA,NA,150887.937500,248965109,166.442841,135.548218,0.005055,0.010110,
18,vector0,NA,NA,150888.562500,248966128,166.442154,135.547668,0.005055,0.010109,
19,vector0,NA,NA,150864.875000,248927048,166.442276,135.547745,0.005055,0.010109,
20,vector0,NA,NA,150889.203125,248967180,166.441452,135.547089,0.005055,0.010109,
21,vector0,NA,NA,150889.828125,248968229,166.440765,135.546524,0.005055,0.010109,
22,vector0,NA,NA,150889.593750,248967835,166.441025,135.546738,0.005055,0.010109,
23,vector0,NA,NA,150866.031250,248928957,166.441010,135.546707,0.005055,0.010109,
24,vector0,NA,NA,150890.421875,248969196,166.440109,135.545990,0.005055,0.010109,
25,vector0,NA,NA,150890.843750,248969882,166.439636,135.545609,0.005055,0.010109,
26,vector0,NA,NA,150890.343750,248969077,166.440201,135.546066,0.005055,0.010109,
27,vector0,NA,NA,150867.515625,248931389,166.439362,135.545380,0.005055,0.010109,
28,vector0,NA,NA,150890.953125,248970073,166.439514,135.545517,0.005055,0.010109,
29,vector0,NA,NA,150891.328125,248970689,166.439102,135.545181,0.005055,0.010109,
30,vector0,NA,NA,150891.515625,248971005,166.438904,135.545013,0.005055,0.010109,
31,vector0,NA,NA,150869.171875,248934135,166.437546,135.543884,0.005055,0.010109,
32,vector0,NA,NA,150893.562500,248974384,166.436646,135.543167,0.005055,0.010109,
33,vector0,NA,NA,150894.578125,248976050,166.435516,135.542252,0.005055,0.010109,
34,vector0,NA,NA,150895.921875,248978266,166.434036,135.541046,0.005055,0.010109,
35,vector0,NA,NA,150873.968750,248942042,166.432251,135.539581,0.005055,0.010109,
36,vector0,NA,NA,150899.468750,248984115,166.430130,135.537872,0.005055,0.010109,
37,vector0,NA,NA,150903.203125,248990289,166.426010,135.534515,0.005055,0.010108,
38,vector0,NA,NA,150909.125000,249000063,166.419479,135.529190,0.005054,0.010108,
39,vector0,NA,NA,150911.937500,249004681,166.377380,135.494873,0.005053,0.010106,
