block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150885.531250,248961136,130937.890625,0.867796,24900.275391,0.165028,8557.631836,0.056716,780.561829,0.005173,0.000000,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150886.140625,248962152,130937.882812,0.867793,24900.720703,0.165030,8617.791992,0.057115,785.353333,0.005205,0.000000,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150886.046875,248961975,130937.882812,0.867793,24900.681641,0.165030,8726.164062,0.057833,803.286072,0.005324,0.000000,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150864.140625,248925840,130917.421875,0.867784,24897.757812,0.165034,8753.659180,0.058023,813.140015,0.005390,0.000000,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150888.015625,248965234,130937.882812,0.867782,24901.978516,0.165036,8576.127930,0.056838,778.149109,0.005157,0.000000,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150887.421875,248964249,130937.882812,0.867785,24902.656250,0.165041,8628.317383,0.057184,787.824829,0.005221,0.000000,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150888.546875,248966096,130937.875000,0.867779,24902.843750,0.165041,9339.900391,0.061899,780.556335,0.005173,0.000000,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150864.781250,248926891,130917.414062,0.867780,24899.238281,0.165043,9383.207031,0.062196,785.607300,0.005207,0.000000,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150888.531250,248966085,130937.875000,0.867779,24903.183594,0.165044,9241.684570,0.061248,805.400024,0.005338,0.000000,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150886.968750,248963489,130937.875000,0.867788,24900.689453,0.165029,9322.489258,0.061785,810.101807,0.005369,0.000000,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150888.531250,248966063,130937.875000,0.867779,24903.339844,0.165045,8868.664062,0.058776,793.496948,0.005259,0.000000,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150863.218750,248924322,130917.398438,0.867789,24896.425781,0.165026,8959.229492,0.059386,798.045471,0.005290,0.000000,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150886.937500,248963433,130937.859375,0.867788,24900.775391,0.165029,8837.215820,0.058568,765.195129,0.005071,0.000000,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150887.093750,248963708,130937.859375,0.867787,24900.615234,0.165028,8884.968750,0.058885,775.929077,0.005142,0.000000,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150887.421875,248964233,130937.859375,0.867785,24900.951172,0.165030,8634.674805,0.057226,756.427856,0.005013,0.000000,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150864.468750,248926369,130917.390625,0.867782,24897.246094,0.165031,8666.980469,0.057449,766.193359,0.005079,0.000000,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150888.156250,248965453,130937.851562,0.867781,24901.353516,0.165032,8733.037109,0.057878,758.016968,0.005024,0.000000,
