block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte1_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,vector0,NA,NA,NA,NA,NA,NA,150885.531250,248961136,0.067228,0.033306,0.033922,0.000000,0.000000,0.017916,0.000000,0.000000,0.187009,
1,vector0,NA,NA,NA,NA,NA,NA,150886.140625,248962152,0.067228,0.033305,0.033922,0.000000,0.000000,0.017913,0.000000,0.000000,0.187009,
2,vector0,NA,NA,NA,NA,NA,NA,150886.046875,248961975,0.067228,0.033306,0.033922,0.000000,0.000000,0.017917,0.000000,0.000000,0.187009,
3,vector0,NA,NA,NA,NA,NA,NA,150864.140625,248925840,0.067227,0.033305,0.033922,0.000000,0.000000,0.017914,0.000000,0.000000,0.187007,
4,vector0,NA,NA,NA,NA,NA,NA,150888.015625,248965234,0.067227,0.033305,0.033922,0.000000,0.000000,0.017915,0.000000,0.000000,0.187007,
5,vector0,NA,NA,NA,NA,NA,NA,150887.421875,248964249,0.067227,0.033305,0.033922,0.000000,0.000000,0.017915,0.000000,0.000000,0.187008,
6,vector0,NA,NA,NA,NA,NA,NA,150888.546875,248966096,0.067227,0.033305,0.033922,0.000000,0.000000,0.017918,0.000000,0.000000,0.187007,
7,vector0,NA,NA,NA,NA,NA,NA,150864.781250,248926891,0.067227,0.033305,0.033922,0.000000,0.000000,0.017918,0.000000,0.000000,0.187007,
8,vector0,NA,NA,NA,NA,NA,NA,150888.531250,248966085,0.067227,0.033305,0.033922,0.000000,0.000000,0.017916,0.000000,0.000000,0.187007,
9,vector0,NA,NA,NA,NA,NA,NA,150886.968750,248963489,0.067227,0.033305,0.033922,0.000000,0.000000,0.017919,0.000000,0.000000,0.187009,
10,vector0,NA,NA,NA,NA,NA,NA,150888.531250,248966063,0.067227,0.033305,0.033922,0.000000,0.000000,0.017917,0.000000,0.000000,0.187007,
11,vector0,NA,NA,NA,NA,NA,NA,150863.218750,248924322,0.067227,0.033305,0.033922,0.000000,0.000000,0.017920,0.000000,0.000000,0.187010,
12,vector0,NA,NA,NA,NA,NA,NA,150886.937500,248963433,0.067227,0.033305,0.033922,0.000000,0.000000,0.017921,0.000000,0.000000,0.187010,
13,vector0,NA,NA,NA,NA,NA,NA,150887.093750,248963708,0.067227,0.033305,0.033922,0.000000,0.000000,0.017918,0.000000,0.000000,0.187010,
14,vector0,NA,NA,NA,NA,NA,NA,150887.421875,248964233,0.067227,0.033305,0.033922,0.000000,0.000000,0.017919,0.000000,0.000000,0.187009,
15,vector0,NA,NA,NA,NA,NA,NA,150864.468750,248926369,0.067227,0.033305,0.033922,0.000000,0.000000,0.017921,0.000000,0.000000,0.187009,
16,vector0,NA,NA,NA,NA,NA,NA,150888.156250,248965453,0.067227,0.033305,0.033922,0.000000,0.000000,0.017921,0.000000,0.000000,0.187009,
17,vector0,NA,NA,NA,NA,NA,NA,150887.937500,248965109,0.067227,0.033305,0.033922,0.000000,0.000000,0.017922,0.000000,0.000000,0.187009,
18,vector0,NA,NA,NA,NA,NA,NA,150888.562500,248966128,0.067227,0.033305,0.033922,0.000000,0.000000,0.017924,0.000000,0.000000,0.187009,
19,vector0,NA,NA,NA,NA,NA,NA,150864.875000,248927048,0.067227,0.033305,0.033922,0.000000,0.000000,0.017924,0.000000,0.000000,0.187009,
20,vector0,NA,NA,NA,NA,NA,NA,150889.203125,248967180,0.067226,0.033305,0.033922,0.000000,0.000000,0.017927,0.000000,0.000000,0.187009,
21,vector0,NA,NA,NA,NA,NA,NA,150889.828125,248968229,0.067226,0.033305,0.033921,0.000000,0.000000,0.017930,0.000000,0.000000,0.187009,
22,vector0,NA,NA,NA,NA,NA,NA,150889.593750,248967835,0.067226,0.033305,0.033921,0.000000,0.000000,0.017928,0.000000,0.000000,0.187009,
23,vector0,NA,NA,NA,NA,NA,NA,150866.031250,248928957,0.067226,0.033305,0.033921,0.000000,0.000000,0.017928,0.000000,0.000000,0.187009,
24,vector0,NA,NA,NA,NA,NA,NA,150890.421875,248969196,0.067226,0.033305,0.033921,0.000000,0.000000,0.017932,0.000000,0.000000,0.187009,
25,vector0,NA,NA,NA,NA,NA,NA,150890.843750,248969882,0.067226,0.033304,0.033921,0.000000,0.000000,0.017934,0.000000,0.000000,0.187009,
26,vector0,NA,NA,NA,NA,NA,NA,150890.343750,248969077,0.067226,0.033305,0.033921,0.000000,0.000000,0.017933,0.000000,0.000000,0.187010,
27,vector0,NA,NA,NA,NA,NA,NA,150867.515625,248931389,0.067226,0.033304,0.033921,0.000000,0.000000,0.017935,0.000000,0.000000,0.187010,
28,vector0,NA,NA,NA,NA,NA,NA,150890.953125,248970073,0.067226,0.033304,0.033921,0.000000,0.000000,0.017934,0.000000,0.000000,0.187011,
29,vector0,NA,NA,NA,NA,NA,NA,150891.328125,248970689,0.067225,0.033304,0.033921,0.000000,0.000000,0.017935,0.000000,0.000000,0.187011,
30,vector0,NA,NA,NA,NA,NA,NA,150891.515625,248971005,0.067225,0.033304,0.033921,0.000000,0.000000,0.017937,0.000000,0.000000,0.187012,
31,vector0,NA,NA,NA,NA,NA,NA,150869.171875,248934135,0.067225,0.033304,0.033921,0.000000,0.000000,0.017941,0.000000,0.000000,0.187011,
32,vector0,NA,NA,NA,NA,NA,NA,150893.562500,248974384,0.067224,0.033304,0.033921,0.000000,0.000000,0.017947,0.000000,0.000000,0.187012,
33,vector0,NA,NA,NA,NA,NA,NA,150894.578125,248976050,0.067224,0.033304,0.033920,0.000000,0.000000,0.017951,0.000000,0.000000,0.187012,
34,vector0,NA,NA,NA,NA,NA,NA,150895.921875,248978266,0.067223,0.033303,0.033920,0.000000,0.000000,0.017958,0.000000,0.000000,0.187013,
35,vector0,NA,NA,NA,NA,NA,NA,150873.968750,248942042,0.067223,0.033303,0.033920,0.000000,0.000000,0.017962,0.000000,0.000000,0.187013,
36,vector0,NA,NA,NA,NA,NA,NA,150899.468750,248984115,0.067222,0.033303,0.033919,0.000000,0.000000,0.017973,0.000000,0.000000,0.187015,
37,vector0,NA,NA,NA,NA,NA,NA,150903.203125,248990289,0.067220,0.033302,0.033918,0.000000,0.000000,0.017991,0.000000,0.000000,0.187016,
38,vector0,NA,NA,NA,NA,NA,NA,150909.125000,249000063,0.067218,0.033300,0.033917,0.000000,0.000000,0.018018,0.000000,0.000000,0.187020,
39,vector0,NA,NA,NA,NA,NA,NA,150911.937500,249004681,0.067201,0.033292,0.033909,0.000000,0.000000,0.018211,0.000000,0.000000,0.187041,
