block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,151962.953125,250738867,0.862665,0.351721,0.000000,0.009798,0.000000,0.060832,6289490048,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,151964.046875,250740672,0.862659,0.351718,0.000000,0.009798,0.000000,0.060831,6289490048,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,151963.687500,250740085,0.862661,0.351719,0.000000,0.009798,0.000000,0.060831,6289490048,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,151941.296875,250703138,0.862653,0.351716,0.000000,0.009798,0.000000,0.060831,6288507008,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,151964.890625,250742063,0.862654,0.351716,0.000000,0.009798,0.000000,0.060831,6289490048,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,151965.250000,250742652,0.862652,0.351715,0.000000,0.009798,0.000000,0.060831,6289490048,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,151966.140625,250744138,0.862647,0.351713,0.000000,0.009798,0.000000,0.060830,6289490048,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,151941.843750,250704048,0.862650,0.351714,0.000000,0.009798,0.000000,0.060830,6288507008,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,151965.796875,250743564,0.862649,0.351714,0.000000,0.009798,0.000000,0.060830,6289490048,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,151964.234375,250740971,0.862658,0.351718,0.000000,0.009798,0.000000,0.060831,6289490048,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,151966.046875,250743981,0.862647,0.351713,0.000000,0.009798,0.000000,0.060830,6289490048,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,151940.500000,250701821,0.862657,0.351718,0.000000,0.009798,0.000000,0.060831,6288507008,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,151964.625000,250741634,0.862655,0.351717,0.000000,0.009798,0.000000,0.060831,6289490048,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,151964.734375,250741814,0.862655,0.351717,0.000000,0.009798,0.000000,0.060831,6289490048,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,151965.281250,250742717,0.862652,0.351715,0.000000,0.009798,0.000000,0.060831,6289490048,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,151941.359375,250703239,0.862653,0.351716,0.000000,0.009798,0.000000,0.060831,6288507008,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,151964.843750,250741998,0.862654,0.351716,0.000000,0.009798,0.000000,0.060831,6289490048,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,151965.093750,250742411,0.862653,0.351716,0.000000,0.009798,0.000000,0.060831,6289490048,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,151966.328125,250744452,0.862646,0.351713,0.000000,0.009798,0.000000,0.060830,6289490048,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,151942.281250,250704745,0.862647,0.351714,0.000000,0.009798,0.000000,0.060830,6288507008,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,151966.515625,250744758,0.862645,0.351712,0.000000,0.009798,0.000000,0.060830,6289490048,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,151967.187500,250745855,0.862641,0.351711,0.000000,0.009798,0.000000,0.060830,6289490048,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,151966.546875,250744808,0.862644,0.351712,0.000000,0.009798,0.000000,0.060830,6289490048,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,151943.015625,250705971,0.862643,0.351712,0.000000,0.009798,0.000000,0.060830,6288507008,
