block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151962.953125,250738867,6016,399,2412399,6946,2413087,6934,93.780205,99.713188,99.705330,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151964.046875,250740672,6015,400,2414542,5526,2413856,5535,93.764618,99.771446,99.763489,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151963.687500,250740085,6015,400,2418298,1965,2417233,1963,93.764618,99.918831,99.910683,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151941.296875,250703138,6014,400,2417997,822,2419062,823,93.763641,99.966003,99.957794,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151964.890625,250742063,6015,400,2416842,2877,2416955,2880,93.764618,99.881042,99.872940,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151965.250000,250742652,6015,400,2414575,5260,2414464,5255,93.764618,99.782730,99.774765,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151966.140625,250744138,6015,400,2409635,11181,2407630,11204,93.764618,99.537468,99.529823,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151941.843750,250704048,6015,399,2417991,464,2419985,452,93.779236,99.981071,99.972862,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151965.796875,250743564,6015,400,2419447,455,2419384,458,93.764618,99.981133,99.972908,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151964.234375,250740971,6015,400,2417835,2006,2417887,2015,93.764618,99.916916,99.908775,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151966.046875,250743981,6015,400,2418595,1376,2418405,1367,93.764618,99.943321,99.935143,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151940.500000,250701821,6014,400,2417974,1467,2418180,1460,93.763641,99.939514,99.931335,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151964.625000,250741634,6015,400,2423114,1003,2414810,1006,93.764618,99.958488,99.950287,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151964.734375,250741814,6015,400,2413939,1876,2422241,1875,93.764618,99.922493,99.914345,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151965.281250,250742717,6016,399,2406179,2555,2428637,2561,93.780205,99.894295,99.886200,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151941.359375,250703239,6014,400,2429451,1463,2406988,1462,93.763641,99.939560,99.931389,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151964.843750,250741998,6015,400,2418313,1551,2418704,1554,93.764618,99.935844,99.927681,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151965.093750,250742411,6015,400,2414454,5804,2414051,5812,93.764618,99.760002,99.752068,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151966.328125,250744452,6015,400,2415188,0,2425122,0,93.764618,100.000000,99.991753,
