block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151962.953125,250738867,0.005019,3.796288,3.796303,0.005032,51212,0.056394,6399,0.005144,604920.750000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604918.375000,1.946814,799.750000,0.002852,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151964.046875,250740672,0.005019,3.796333,3.796348,0.005032,51213,0.056895,6399,0.005167,604932.375000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604930.000000,1.946838,799.750000,0.002852,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151963.687500,250740085,0.005019,3.796342,3.796357,0.005032,51213,0.057171,6399,0.005284,604932.375000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604930.000000,1.946842,799.750000,0.002852,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151941.296875,250703138,0.005019,3.796310,3.796325,0.005032,51205,0.057764,6398,0.005357,604838.000000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604835.625000,1.946826,799.625000,0.002852,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151964.890625,250742063,0.005019,3.796387,3.796402,0.005032,51214,0.056443,6399,0.005124,604944.250000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604941.875000,1.946865,799.750000,0.002852,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151965.250000,250742652,0.005019,3.796378,3.796393,0.005032,51214,0.056991,6399,0.005185,604944.250000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604941.875000,1.946861,799.750000,0.002852,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151966.140625,250744138,0.005019,3.796431,3.796446,0.005032,51215,0.061043,6399,0.005138,604956.250000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604953.875000,1.946888,799.750000,0.002852,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151941.843750,250704048,0.005019,3.796443,3.796458,0.005032,51207,0.060985,6398,0.005171,604861.500000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604859.125000,1.946894,799.625000,0.002852,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151965.796875,250743564,0.005019,3.796513,3.796528,0.005032,51216,0.060789,6399,0.005301,604968.000000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604965.625000,1.946930,799.750000,0.002852,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151964.234375,250740971,0.005019,3.796552,3.796566,0.005032,51216,0.061353,6399,0.005332,604967.875000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604965.500000,1.946950,799.750000,0.002852,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151966.046875,250743981,0.005019,3.796506,3.796521,0.005032,51216,0.058420,6399,0.005221,604967.875000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604965.500000,1.946926,799.750000,0.002852,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151940.500000,250701821,0.005019,3.796625,3.796640,0.005032,51209,0.058796,6398,0.005254,604885.125000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604882.750000,1.946987,799.625000,0.002852,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151964.625000,250741634,0.005019,3.796691,3.796705,0.005032,51218,0.057967,6399,0.005035,604991.625000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604989.250000,1.947021,799.750000,0.002852,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151964.734375,250741814,0.005019,3.796686,3.796702,0.005032,51218,0.058179,6399,0.005105,604991.375000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604989.000000,1.947019,799.750000,0.002852,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151965.281250,250742717,0.005019,3.796674,3.796689,0.005032,51218,0.056725,6399,0.004987,604991.500000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604989.125000,1.947012,799.750000,0.002852,
