block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,151962.953125,250738867,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,151964.046875,250740672,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,151963.687500,250740085,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,151941.296875,250703138,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,151964.890625,250742063,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,151965.250000,250742652,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,151966.140625,250744138,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,151941.843750,250704048,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,151965.796875,250743564,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,151964.234375,250740971,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,151966.046875,250743981,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,151940.500000,250701821,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,151964.625000,250741634,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,151964.734375,250741814,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,151965.281250,250742717,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,151941.359375,250703239,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,151964.843750,250741998,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,151965.093750,250742411,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,151966.328125,250744452,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,151942.281250,250704745,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,151966.515625,250744758,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,151967.187500,250745855,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,151966.546875,250744808,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,151943.015625,250705971,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,151967.453125,250746293,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,151967.781250,250746831,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,151967.750000,250746776,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,151944.718750,250708786,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,151968.203125,250747539,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,151968.531250,250748067,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,151969.093750,250749004,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,151945.968750,250710846,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,151970.906250,250751987,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,151971.531250,250753026,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,151972.843750,250755193,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,151950.781250,250718791,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,151975.703125,250759901,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,151979.140625,250765588,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,151984.875000,250775040,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,151985.515625,250776108,
