block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,vector0,NA,NA,151962.953125,250738867,165.265396,134.589325,0.005019,0.010038,
1,vector0,NA,NA,151964.046875,250740672,165.264206,134.588364,0.005019,0.010038,
2,vector0,NA,NA,151963.687500,250740085,165.264603,134.588684,0.005019,0.010038,
3,vector0,NA,NA,151941.296875,250703138,165.263123,134.587463,0.005019,0.010038,
4,vector0,NA,NA,151964.890625,250742063,165.263290,134.587616,0.005019,0.010038,
5,vector0,NA,NA,151965.250000,250742652,165.262894,134.587296,0.005019,0.010038,
6,vector0,NA,NA,151966.140625,250744138,165.261932,134.586502,0.005019,0.010038,
7,vector0,NA,NA,151941.843750,250704048,165.262527,134.586975,0.005019,0.010038,
8,vector0,NA,NA,151965.796875,250743564,165.262299,134.586807,0.005019,0.010038,
9,vector0,NA,NA,151964.234375,250740971,165.264008,134.588196,0.005019,0.010038,
10,vector0,NA,NA,151966.046875,250743981,165.262039,134.586594,0.005019,0.010038,
11,vector0,NA,NA,151940.500000,250701821,165.263992,134.588165,0.005019,0.010038,
12,vector0,NA,NA,151964.625000,250741634,165.263580,134.587845,0.005019,0.010038,
13,vector0,NA,NA,151964.734375,250741814,165.263458,134.587753,0.005019,0.010038,
14,vector0,NA,NA,151965.281250,250742717,165.262863,134.587265,0.005019,0.010038,
15,vector0,NA,NA,151941.359375,250703239,165.263062,134.587402,0.005019,0.010038,
16,vector0,NA,NA,151964.843750,250741998,165.263336,134.587662,0.005019,0.010038,
17,vector0,NA,NA,151965.093750,250742411,165.263077,134.587433,0.005019,0.010038,
18,vector0,NA,NA,151966.328125,250744452,165.261734,134.586334,0.005019,0.010038,
19,vector0,NA,NA,151942.281250,250704745,165.262054,134.586594,0.005019,0.010038,
20,vector0,NA,NA,151966.515625,250744758,165.261520,134.586182,0.005019,0.010038,
21,vector0,NA,NA,151967.187500,250745855,165.260788,134.585587,0.005019,0.010038,
22,vector0,NA,NA,151966.546875,250744808,165.261490,134.586151,0.005019,0.010038,
23,vector0,NA,NA,151943.015625,250705971,165.261261,134.585938,0.005019,0.010038,
24,vector0,NA,NA,151967.453125,250746293,165.260498,134.585342,0.005019,0.010038,
25,vector0,NA,NA,151967.781250,250746831,165.260147,134.585052,0.005019,0.010038,
26,vector0,NA,NA,151967.750000,250746776,165.260178,134.585083,0.005019,0.010038,
27,vector0,NA,NA,151944.718750,250708786,165.259399,134.584427,0.005019,0.010038,
28,vector0,NA,NA,151968.203125,250747539,165.259689,134.584686,0.005019,0.010038,
29,vector0,NA,NA,151968.531250,250748067,165.259338,134.584396,0.005019,0.010038,
30,vector0,NA,NA,151969.093750,250749004,165.258728,134.583893,0.005019,0.010038,
31,vector0,NA,NA,151945.968750,250710846,165.258041,134.583328,0.005019,0.010038,
32,vector0,NA,NA,151970.906250,250751987,165.256744,134.582291,0.005019,0.010037,
33,vector0,NA,NA,151971.531250,250753026,165.256073,134.581726,0.005019,0.010037,
34,vector0,NA,NA,151972.843750,250755193,165.254639,134.580566,0.005019,0.010037,
35,vector0,NA,NA,151950.781250,250718791,165.252808,134.579071,0.005019,0.010037,
36,vector0,NA,NA,151975.703125,250759901,165.251541,134.578033,0.005019,0.010037,
37,vector0,NA,NA,151979.140625,250765588,165.247803,134.574997,0.005019,0.010037,
38,vector0,NA,NA,151984.875000,250775040,165.241562,134.569916,0.005019,0.010037,
39,vector0,NA,NA,151985.515625,250776108,165.202133,134.537781,0.005017,0.010034,
