block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151962.953125,250738867,131093.093750,0.862665,25914.482422,0.170532,8569.750000,0.056394,781.763000,0.005144,0.000000,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151964.046875,250740672,131093.093750,0.862659,25914.646484,0.170531,8646.053711,0.056895,785.247864,0.005167,0.000000,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151963.687500,250740085,131093.093750,0.862661,25914.806641,0.170533,8687.970703,0.057171,802.909668,0.005284,0.000000,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151941.296875,250703138,131072.609375,0.862653,25911.728516,0.170538,8776.795898,0.057764,813.907288,0.005357,0.000000,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151964.890625,250742063,131093.093750,0.862654,25915.601562,0.170537,8577.407227,0.056443,778.602417,0.005124,0.000000,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151965.250000,250742652,131093.093750,0.862652,25916.464844,0.170542,8660.718750,0.056991,787.960022,0.005185,0.000000,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151966.140625,250744138,131093.093750,0.862647,25916.433594,0.170541,9276.460938,0.061043,780.765442,0.005138,0.000000,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151941.843750,250704048,131072.609375,0.862650,25912.816406,0.170544,9266.143555,0.060985,785.636963,0.005171,0.000000,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151965.796875,250743564,131093.093750,0.862649,25917.419922,0.170548,9237.844727,0.060789,805.506042,0.005301,0.000000,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151964.234375,250740971,131093.093750,0.862658,25914.943359,0.170533,9323.474609,0.061353,810.285461,0.005332,0.000000,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151966.046875,250743981,131093.093750,0.862647,25917.474609,0.170548,8877.852539,0.058420,793.346069,0.005221,0.000000,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151940.500000,250701821,131072.609375,0.862657,25910.429688,0.170530,8933.433594,0.058796,798.292725,0.005254,0.000000,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151964.625000,250741634,131093.093750,0.862655,25914.912109,0.170533,8808.874023,0.057967,765.154541,0.005035,0.000000,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151964.734375,250741814,131093.093750,0.862655,25914.892578,0.170532,8841.203125,0.058179,775.823608,0.005105,0.000000,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151965.281250,250742717,131093.093750,0.862652,25915.625000,0.170536,8620.219727,0.056725,757.783630,0.004987,0.000000,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151941.359375,250703239,131072.609375,0.862653,25911.880859,0.170539,8666.611328,0.057039,766.215149,0.005043,0.000000,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151964.843750,250741998,131093.093750,0.862654,25915.216797,0.170534,8768.485352,0.057701,757.644226,0.004986,0.000000,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151965.093750,250742411,131093.093750,0.862653,25915.044922,0.170533,8816.927734,0.058019,766.140625,0.005042,0.000000,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151966.328125,250744452,131093.093750,0.862646,25915.750000,0.170536,9257.431641,0.060918,768.455139,0.005057,0.000000,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151942.281250,250704745,131072.609375,0.862647,25912.261719,0.170540,9336.254883,0.061446,773.388489,0.005090,0.000000,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151966.515625,250744758,131093.093750,0.862645,25915.658203,0.170535,9508.850586,0.062572,793.638794,0.005222,0.000000,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151967.187500,250745855,131093.093750,0.862641,25915.597656,0.170534,9650.532227,0.063504,798.038208,0.005251,0.000000,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151966.546875,250744808,131093.093750,0.862644,25915.990234,0.170537,9208.981445,0.060599,836.379395,0.005504,0.000000,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151943.015625,250705971,131072.609375,0.862643,25911.728516,0.170536,9246.288086,0.060854,842.036377,0.005542,0.000000,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151967.453125,250746293,131093.093750,0.862639,25915.828125,0.170535,9554.617188,0.062873,792.452148,0.005215,0.000000,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151967.781250,250746831,131093.093750,0.862637,25915.925781,0.170536,9604.648438,0.063202,798.652100,0.005255,0.000000,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151967.750000,250746776,131093.093750,0.862638,25915.746094,0.170535,9267.466797,0.060983,766.627869,0.005045,0.000000,
