block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte1_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,vector0,NA,NA,NA,NA,NA,NA,151962.953125,250738867,0.066751,0.033069,0.033682,0.000000,0.000000,0.017792,0.000000,0.000000,0.181201,
1,vector0,NA,NA,NA,NA,NA,NA,151964.046875,250740672,0.066751,0.033069,0.033682,0.000000,0.000000,0.017786,0.000000,0.000000,0.181202,
2,vector0,NA,NA,NA,NA,NA,NA,151963.687500,250740085,0.066751,0.033069,0.033682,0.000000,0.000000,0.017792,0.000000,0.000000,0.181201,
3,vector0,NA,NA,NA,NA,NA,NA,151941.296875,250703138,0.066750,0.033069,0.033681,0.000000,0.000000,0.017788,0.000000,0.000000,0.181199,
4,vector0,NA,NA,NA,NA,NA,NA,151964.890625,250742063,0.066751,0.033069,0.033681,0.000000,0.000000,0.017787,0.000000,0.000000,0.181201,
5,vector0,NA,NA,NA,NA,NA,NA,151965.250000,250742652,0.066750,0.033069,0.033681,0.000000,0.000000,0.017789,0.000000,0.000000,0.181201,
6,vector0,NA,NA,NA,NA,NA,NA,151966.140625,250744138,0.066750,0.033069,0.033681,0.000000,0.000000,0.017792,0.000000,0.000000,0.181200,
7,vector0,NA,NA,NA,NA,NA,NA,151941.843750,250704048,0.066750,0.033069,0.033681,0.000000,0.000000,0.017792,0.000000,0.000000,0.181200,
8,vector0,NA,NA,NA,NA,NA,NA,151965.796875,250743564,0.066750,0.033069,0.033681,0.000000,0.000000,0.017791,0.000000,0.000000,0.181200,
9,vector0,NA,NA,NA,NA,NA,NA,151964.234375,250740971,0.066751,0.033069,0.033682,0.000000,0.000000,0.017792,0.000000,0.000000,0.181201,
10,vector0,NA,NA,NA,NA,NA,NA,151966.046875,250743981,0.066750,0.033069,0.033681,0.000000,0.000000,0.017790,0.000000,0.000000,0.181199,
11,vector0,NA,NA,NA,NA,NA,NA,151940.500000,250701821,0.066751,0.033069,0.033682,0.000000,0.000000,0.017795,0.000000,0.000000,0.181202,
12,vector0,NA,NA,NA,NA,NA,NA,151964.625000,250741634,0.066751,0.033069,0.033682,0.000000,0.000000,0.017796,0.000000,0.000000,0.181201,
13,vector0,NA,NA,NA,NA,NA,NA,151964.734375,250741814,0.066751,0.033069,0.033682,0.000000,0.000000,0.017794,0.000000,0.000000,0.181201,
14,vector0,NA,NA,NA,NA,NA,NA,151965.281250,250742717,0.066750,0.033069,0.033681,0.000000,0.000000,0.017792,0.000000,0.000000,0.181201,
15,vector0,NA,NA,NA,NA,NA,NA,151941.359375,250703239,0.066750,0.033069,0.033681,0.000000,0.000000,0.017793,0.000000,0.000000,0.181202,
16,vector0,NA,NA,NA,NA,NA,NA,151964.843750,250741998,0.066751,0.033069,0.033681,0.000000,0.000000,0.017792,0.000000,0.000000,0.181201,
17,vector0,NA,NA,NA,NA,NA,NA,151965.093750,250742411,0.066750,0.033069,0.033681,0.000000,0.000000,0.017793,0.000000,0.000000,0.181202,
18,vector0,NA,NA,NA,NA,NA,NA,151966.328125,250744452,0.066750,0.033069,0.033681,0.000000,0.000000,0.017797,0.000000,0.000000,0.181202,
19,vector0,NA,NA,NA,NA,NA,NA,151942.281250,250704745,0.066750,0.033069,0.033681,0.000000,0.000000,0.017798,0.000000,0.000000,0.181202,
20,vector0,NA,NA,NA,NA,NA,NA,151966.515625,250744758,0.066750,0.033069,0.033681,0.000000,0.000000,0.017800,0.000000,0.000000,0.181201,
21,vector0,NA,NA,NA,NA,NA,NA,151967.187500,250745855,0.066750,0.033069,0.033681,0.000000,0.000000,0.017802,0.000000,0.000000,0.181203,
22,vector0,NA,NA,NA,NA,NA,NA,151966.546875,250744808,0.066750,0.033069,0.033681,0.000000,0.000000,0.017801,0.000000,0.000000,0.181202,
23,vector0,NA,NA,NA,NA,NA,NA,151943.015625,250705971,0.066750,0.033069,0.033681,0.000000,0.000000,0.017802,0.000000,0.000000,0.181202,
24,vector0,NA,NA,NA,NA,NA,NA,151967.453125,250746293,0.066749,0.033069,0.033681,0.000000,0.000000,0.017806,0.000000,0.000000,0.181202,
25,vector0,NA,NA,NA,NA,NA,NA,151967.781250,250746831,0.066749,0.033068,0.033681,0.000000,0.000000,0.017807,0.000000,0.000000,0.181202,
26,vector0,NA,NA,NA,NA,NA,NA,151967.750000,250746776,0.066749,0.033068,0.033681,0.000000,0.000000,0.017807,0.000000,0.000000,0.181203,
27,vector0,NA,NA,NA,NA,NA,NA,151944.718750,250708786,0.066749,0.033068,0.033681,0.000000,0.000000,0.017809,0.000000,0.000000,0.181203,
28,vector0,NA,NA,NA,NA,NA,NA,151968.203125,250747539,0.066749,0.033068,0.033681,0.000000,0.000000,0.017808,0.000000,0.000000,0.181203,
29,vector0,NA,NA,NA,NA,NA,NA,151968.531250,250748067,0.066749,0.033068,0.033681,0.000000,0.000000,0.017810,0.000000,0.000000,0.181204,
30,vector0,NA,NA,NA,NA,NA,NA,151969.093750,250749004,0.066749,0.033068,0.033681,0.000000,0.000000,0.017812,0.000000,0.000000,0.181204,
31,vector0,NA,NA,NA,NA,NA,NA,151945.968750,250710846,0.066748,0.033068,0.033680,0.000000,0.000000,0.017814,0.000000,0.000000,0.181204,
32,vector0,NA,NA,NA,NA,NA,NA,151970.906250,250751987,0.066748,0.033068,0.033680,0.000000,0.000000,0.017822,0.000000,0.000000,0.181204,
33,vector0,NA,NA,NA,NA,NA,NA,151971.531250,250753026,0.066748,0.033068,0.033680,0.000000,0.000000,0.017823,0.000000,0.000000,0.181204,
34,vector0,NA,NA,NA,NA,NA,NA,151972.843750,250755193,0.066747,0.033067,0.033680,0.000000,0.000000,0.017831,0.000000,0.000000,0.181205,
35,vector0,NA,NA,NA,NA,NA,NA,151950.781250,250718791,0.066746,0.033067,0.033679,0.000000,0.000000,0.017840,0.000000,0.000000,0.181205,
36,vector0,NA,NA,NA,NA,NA,NA,151975.703125,250759901,0.066746,0.033067,0.033679,0.000000,0.000000,0.017845,0.000000,0.000000,0.181208,
37,vector0,NA,NA,NA,NA,NA,NA,151979.140625,250765588,0.066744,0.033066,0.033678,0.000000,0.000000,0.017863,0.000000,0.000000,0.181209,
38,vector0,NA,NA,NA,NA,NA,NA,151984.875000,250775040,0.066742,0.033065,0.033677,0.000000,0.000000,0.017897,0.000000,0.000000,0.181212,
39,vector0,NA,NA,NA,NA,NA,NA,151985.515625,250776108,0.066726,0.033057,0.033669,0.000000,0.000000,0.018090,0.000000,0.000000,0.181232,
