block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.414546,3984,0.008283,0.000000,0.000000,0.000000,0.000000,0.001004,128,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.462424,5713,0.005776,0.000000,0.000000,0.000000,0.000000,0.000700,128,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.716970,4483,0.007361,0.000000,0.000000,0.000000,0.000000,0.000892,128,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.813940,7943,0.004155,0.000000,0.000000,0.000000,0.000000,0.000504,128,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.483030,7397,0.004461,0.000000,0.000000,0.000000,0.000000,0.000541,128,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.626060,7633,0.004323,0.000000,0.000000,0.000000,0.000000,0.000524,128,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.732727,7809,0.004226,0.000000,0.000000,0.000000,0.000000,0.000512,128,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.008485,8264,0.003993,0.000000,0.000000,0.000000,0.000000,0.000484,128,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.956364,8178,0.004035,0.000000,0.000000,0.000000,0.000000,0.000489,128,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.133940,5171,0.006382,0.000000,0.000000,0.000000,0.000000,0.000774,128,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.938788,8149,0.004050,0.000000,0.000000,0.000000,0.000000,0.000491,128,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.852727,4707,0.007011,0.000000,0.000000,0.000000,0.000000,0.000850,128,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.946667,4862,0.006787,0.000000,0.000000,0.000000,0.000000,0.000823,128,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.454545,5700,0.005789,0.000000,0.000000,0.000000,0.000000,0.000702,128,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.129091,6813,0.004844,0.000000,0.000000,0.000000,0.000000,0.000587,128,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.443636,5682,0.005808,0.000000,0.000000,0.000000,0.000000,0.000704,128,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.640000,6006,0.005495,0.000000,0.000000,0.000000,0.000000,0.000666,128,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.626061,5983,0.005516,0.000000,0.000000,0.000000,0.000000,0.000669,128,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.158788,6862,0.004809,0.000000,0.000000,0.000000,0.000000,0.000583,128,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.744242,6178,0.005342,0.000000,0.000000,0.000000,0.000000,0.000647,128,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.900606,6436,0.005127,0.000000,0.000000,0.000000,0.000000,0.000622,128,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.112121,6785,0.004864,0.000000,0.000000,0.000000,0.000000,0.000590,128,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.909091,6450,0.005116,0.000000,0.000000,0.000000,0.000000,0.000620,128,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.644243,6013,0.005488,0.000000,0.000000,0.000000,0.000000,0.000665,128,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.629091,5988,0.005511,0.000000,0.000000,0.000000,0.000000,0.000668,128,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.009697,6616,0.004988,0.000000,0.000000,0.000000,0.000000,0.000605,128,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.992727,6588,0.005009,0.000000,0.000000,0.000000,0.000000,0.000607,128,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.024242,6640,0.004970,0.000000,0.000000,0.000000,0.000000,0.000602,128,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.696970,6100,0.005410,0.000000,0.000000,0.000000,0.000000,0.000656,128,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.099394,6764,0.004879,0.000000,0.000000,0.000000,0.000000,0.000591,128,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.143030,6836,0.004827,0.000000,0.000000,0.000000,0.000000,0.000585,128,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.423030,7298,0.004522,0.000000,0.000000,0.000000,0.000000,0.000548,128,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.106667,6776,0.004870,0.000000,0.000000,0.000000,0.000000,0.000590,128,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.417576,7289,0.004527,0.000000,0.000000,0.000000,0.000000,0.000549,128,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.924242,6475,0.005097,0.000000,0.000000,0.000000,0.000000,0.000618,128,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.738788,7819,0.004220,0.000000,0.000000,0.000000,0.000000,0.000512,128,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.275152,7054,0.004678,0.000000,0.000000,0.000000,0.000000,0.000567,128,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.432727,7314,0.004512,0.000000,0.000000,0.000000,0.000000,0.000547,128,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.120606,6799,0.004854,0.000000,0.000000,0.000000,0.000000,0.000588,128,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.513333,7447,0.004431,0.000000,0.000000,0.000000,0.000000,0.000537,128,
