block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.414546,3984,0.000000,0.049371,0.938055,0.789941,2,0.116215,1,0.000502,2.375000,2.000000,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.025319,0.000000,0.000000,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.462424,5713,0.000000,0.034429,0.654159,0.550871,2,0.297917,1,0.000350,2.375000,2.000000,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.017656,0.000000,0.000000,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.716970,4483,0.000000,0.043876,0.833641,0.702013,2,0.157484,1,0.000446,2.375000,2.000000,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.022500,0.000000,0.000000,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.813940,7943,0.000000,0.024763,0.470504,0.396214,2,0.236183,1,0.000252,2.375000,2.000000,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.012699,0.000000,0.000000,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.483030,7397,0.000000,0.026591,0.505233,0.425460,2,0.261457,1,0.000270,2.375000,2.000000,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.013637,0.000000,0.000000,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.626060,7633,0.000000,0.025769,0.489612,0.412305,2,0.245906,1,0.000262,2.375000,2.000000,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.013215,0.000000,0.000000,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.732727,7809,0.000000,0.025188,0.478577,0.403013,2,0.158023,1,0.000256,2.375000,2.000000,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.012917,0.000000,0.000000,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.008485,8264,0.000000,0.023801,0.452228,0.380823,2,0.030010,1,0.000242,2.375000,2.000000,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.012206,0.000000,0.000000,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.956364,8178,0.000000,0.024052,0.456984,0.384828,2,0.065542,1,0.000245,2.375000,2.000000,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.012334,0.000000,0.000000,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.133940,5171,0.000000,0.038038,0.722725,0.608611,2,0.250435,1,0.000387,2.375000,2.000000,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.019507,0.000000,0.000000,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.938788,8149,0.000000,0.024137,0.458610,0.386198,2,0.072892,1,0.000245,2.375000,2.000000,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.012378,0.000000,0.000000,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.852727,4707,0.000000,0.041788,0.793969,0.668605,2,0.225621,1,0.000425,2.375000,2.000000,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.021430,0.000000,0.000000,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.946667,4862,0.000000,0.040456,0.768657,0.647290,2,0.042575,1,0.000411,2.375000,2.000000,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.020746,0.000000,0.000000,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.454545,5700,0.000000,0.034508,0.655651,0.552127,2,0.349298,1,0.000351,2.375000,2.000000,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.017696,0.000000,0.000000,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.129091,6813,0.000000,0.028871,0.548541,0.461929,2,0.206957,1,0.000294,2.375000,2.000000,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.014805,0.000000,0.000000,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.443636,5682,0.000000,0.034617,0.657728,0.553876,2,0.350581,1,0.000352,2.375000,2.000000,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.017752,0.000000,0.000000,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.640000,6006,0.000000,0.032750,0.622246,0.523997,2,0.341159,1,0.000333,2.375000,2.000000,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.016795,0.000000,0.000000,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.626061,5983,0.000000,0.032876,0.624638,0.526011,2,0.323082,1,0.000334,2.375000,2.000000,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.016859,0.000000,0.000000,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.158788,6862,0.000000,0.028664,0.544624,0.458631,2,0.290149,1,0.000291,2.375000,2.000000,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.014700,0.000000,0.000000,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.744242,6178,0.000000,0.031838,0.604922,0.509408,2,0.312884,1,0.000324,2.375000,2.000000,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.016327,0.000000,0.000000,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.900606,6436,0.000000,0.030562,0.580673,0.488988,2,0.308888,1,0.000311,2.375000,2.000000,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.015673,0.000000,0.000000,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.112121,6785,0.000000,0.028990,0.550805,0.463836,2,0.284893,1,0.000295,2.375000,2.000000,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.014867,0.000000,0.000000,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.909091,6450,0.000000,0.030495,0.579413,0.487926,2,0.308682,1,0.000310,2.375000,2.000000,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.015639,0.000000,0.000000,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.644243,6013,0.000000,0.032712,0.621522,0.523387,2,0.320971,1,0.000333,2.375000,2.000000,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.016775,0.000000,0.000000,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.629091,5988,0.000000,0.032848,0.624117,0.525572,2,0.332498,1,0.000334,2.375000,2.000000,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.016845,0.000000,0.000000,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.009697,6616,0.000000,0.029730,0.564875,0.475684,2,0.291868,1,0.000302,2.375000,2.000000,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.015246,0.000000,0.000000,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.992727,6588,0.000000,0.029857,0.567276,0.477706,2,0.292957,1,0.000304,2.375000,2.000000,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.015311,0.000000,0.000000,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.024242,6640,0.000000,0.029623,0.562833,0.473965,2,0.291717,1,0.000301,2.375000,2.000000,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.015191,0.000000,0.000000,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.696970,6100,0.000000,0.032245,0.612658,0.515922,2,0.317049,1,0.000328,2.375000,2.000000,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.016536,0.000000,0.000000,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.099394,6764,0.000000,0.029080,0.552515,0.465276,2,0.277351,1,0.000296,2.375000,2.000000,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.014913,0.000000,0.000000,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.143030,6836,0.000000,0.028773,0.546696,0.460375,2,0.274137,1,0.000293,2.375000,2.000000,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.014756,0.000000,0.000000,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.423030,7298,0.000000,0.026952,0.512087,0.431231,2,0.248835,1,0.000274,2.375000,2.000000,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.013822,0.000000,0.000000,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.106667,6776,0.000000,0.029028,0.551537,0.464452,2,0.267857,1,0.000295,2.375000,2.000000,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.014886,0.000000,0.000000,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.417576,7289,0.000000,0.026985,0.512719,0.431764,2,0.249005,1,0.000274,2.375000,2.000000,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.013839,0.000000,0.000000,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.924242,6475,0.000000,0.030378,0.577175,0.486042,2,0.280154,1,0.000309,2.375000,2.000000,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.015578,0.000000,0.000000,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.738788,7819,0.000000,0.025156,0.477965,0.402497,2,0.239800,1,0.000256,2.375000,2.000000,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.012901,0.000000,0.000000,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.275152,7054,0.000000,0.027884,0.529800,0.446148,2,0.257159,1,0.000284,2.375000,2.000000,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.014300,0.000000,0.000000,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.432727,7314,0.000000,0.026893,0.510967,0.430288,2,0.256494,1,0.000273,2.375000,2.000000,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.013791,0.000000,0.000000,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.120606,6799,0.000000,0.028930,0.549671,0.462881,2,0.275188,1,0.000294,2.375000,2.000000,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.014836,0.000000,0.000000,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.513333,7447,0.000000,0.026413,0.501841,0.422603,2,0.236337,1,0.000269,2.375000,2.000000,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.013545,0.000000,0.000000,
