block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2.414546,3984,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,3.462424,5713,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2.716970,4483,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,4.813940,7943,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,4.483030,7397,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,4.626060,7633,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,4.732727,7809,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,5.008485,8264,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,4.956364,8178,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,3.133940,5171,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,4.938788,8149,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2.852727,4707,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2.946667,4862,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,3.454545,5700,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,4.129091,6813,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,3.443636,5682,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,3.640000,6006,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,3.626061,5983,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,4.158788,6862,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,3.744242,6178,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,3.900606,6436,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,4.112121,6785,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,3.909091,6450,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,3.644243,6013,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,3.629091,5988,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,4.009697,6616,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,3.992727,6588,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,4.024242,6640,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,3.696970,6100,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,4.099394,6764,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,4.143030,6836,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,4.423030,7298,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,4.106667,6776,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,4.417576,7289,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,3.924242,6475,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,4.738788,7819,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,4.275152,7054,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,4.432727,7314,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,4.120606,6799,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,4.513333,7447,
