block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.414546,3984,0.020000,0.008283,2.250909,0.932229,0.280606,0.116215,0.001212,0.000502,0.000000,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.462424,5713,0.020000,0.005776,2.558182,0.738841,1.031515,0.297917,0.001212,0.000350,0.000000,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.716970,4483,0.020000,0.007361,2.314545,0.851885,0.427879,0.157484,0.001212,0.000446,0.000000,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.813940,7943,0.020000,0.004155,3.623030,0.752612,1.136970,0.236183,0.001212,0.000252,0.000000,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.483030,7397,0.020000,0.004461,3.245455,0.723942,1.172121,0.261457,0.001212,0.000270,0.000000,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.626060,7633,0.020000,0.004323,4.289091,0.927158,1.137576,0.245906,0.001212,0.000262,0.000000,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.732727,7809,0.020000,0.004226,3.992121,0.843514,0.747879,0.158023,0.001212,0.000256,0.000000,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.008485,8264,0.020000,0.003993,4.904849,0.979308,0.150303,0.030010,0.001212,0.000242,0.000000,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.956364,8178,0.020000,0.004035,4.580606,0.924187,0.324848,0.065542,0.001212,0.000245,0.000000,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.133940,5171,0.020000,0.006382,2.289091,0.730420,0.784849,0.250435,0.001212,0.000387,0.000000,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.938788,8149,0.020000,0.004050,4.551515,0.921586,0.360000,0.072892,0.001212,0.000245,0.000000,
