block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30421.197266,50194975,0.432355,0.144798,0.000000,0.000000,0.000000,0.012237,484814976,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30409.730469,50176057,0.432518,0.144853,0.000000,0.000000,0.000000,0.012241,484814976,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30426.867188,50204331,0.432274,0.144771,0.000000,0.000000,0.000000,0.012234,484814976,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30433.289062,50214926,0.432116,0.144718,0.000000,0.000000,0.000000,0.012230,484739200,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30410.685547,50177631,0.432504,0.144848,0.000000,0.000000,0.000000,0.012241,484814976,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30419.195312,50191671,0.432383,0.144807,0.000000,0.000000,0.000000,0.012237,484814976,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30451.500000,50244976,0.431925,0.144654,0.000000,0.000000,0.000000,0.012224,484814976,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30405.908203,50169749,0.432505,0.144848,0.000000,0.000000,0.000000,0.012241,484739200,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30402.750000,50164535,0.432617,0.144886,0.000000,0.000000,0.000000,0.012244,484814976,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30411.617188,50179168,0.432491,0.144844,0.000000,0.000000,0.000000,0.012240,484814976,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30466.740234,50270122,0.431709,0.144581,0.000000,0.000000,0.000000,0.012218,484814976,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30471.777344,50278433,0.431570,0.144535,0.000000,0.000000,0.000000,0.012214,484739200,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30442.208984,50229645,0.432057,0.144698,0.000000,0.000000,0.000000,0.012228,484814976,
