block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30421.197266,50194975,0.025071,18.963591,18.963661,0.025134,51212,0.288048,6399,0.025690,604920.625000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604918.375000,9.724918,799.750000,0.014245,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30409.730469,50176057,0.025081,18.971106,18.971174,0.025144,51213,0.289534,6399,0.026016,604932.250000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604930.000000,9.728772,799.750000,0.014250,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30426.867188,50204331,0.025067,18.960421,18.960489,0.025129,51213,0.293723,6399,0.026579,604932.250000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604930.000000,9.723293,799.750000,0.014242,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30433.289062,50214926,0.025057,18.953465,18.953533,0.025120,51205,0.295731,6398,0.026755,604837.875000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604835.625000,9.719726,799.625000,0.014237,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30410.685547,50177631,0.025080,18.970882,18.970953,0.025143,51214,0.287462,6399,0.025775,604944.125000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604941.875000,9.728658,799.750000,0.014250,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30419.195312,50191671,0.025073,18.965576,18.965647,0.025136,51214,0.289617,6399,0.025946,604944.125000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604941.875000,9.725937,799.750000,0.014246,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30451.500000,50244976,0.025046,18.945829,18.945900,0.025109,51215,0.318140,6399,0.025662,604956.125000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604953.875000,9.715810,799.750000,0.014231,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30405.908203,50169749,0.025080,18.971268,18.971338,0.025143,51207,0.317928,6398,0.026015,604861.375000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604859.125000,9.728855,799.625000,0.014250,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30402.750000,50164535,0.025087,18.976580,18.976648,0.025149,51216,0.312342,6399,0.026516,604967.875000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604965.625000,9.731579,799.750000,0.014254,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30411.617188,50179168,0.025079,18.971043,18.971111,0.025142,51216,0.314387,6399,0.026817,604967.750000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604965.500000,9.728740,799.750000,0.014250,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30466.740234,50270122,0.025034,18.936718,18.936787,0.025096,51216,0.299173,6399,0.026109,604967.750000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604965.500000,9.711137,799.750000,0.014224,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30471.777344,50278433,0.025026,18.930998,18.931067,0.025088,51209,0.301124,6398,0.026276,604885.000000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604882.750000,9.708203,799.625000,0.014219,
