block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30421.197266,50194975,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30409.730469,50176057,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30426.867188,50204331,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30433.289062,50214926,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30410.685547,50177631,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30419.195312,50191671,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30451.500000,50244976,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30405.908203,50169749,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30402.750000,50164535,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30411.617188,50179168,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30466.740234,50270122,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30471.777344,50278433,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30442.208984,50229645,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30452.800781,50247121,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30418.332031,50190246,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30419.039062,50191418,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30402.898438,50164785,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30425.085938,50201390,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30432.281250,50213266,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30426.917969,50204417,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30455.574219,50251695,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30460.126953,50259206,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30467.746094,50271779,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30451.103516,50244318,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30461.171875,50260933,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30467.810547,50271887,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30430.783203,50210791,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30442.203125,50229635,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30406.996094,50171546,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30404.238281,50166993,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30416.548828,50187306,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30412.996094,50181443,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30434.199219,50216428,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30440.419922,50226692,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30452.851562,50247205,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30465.115234,50267440,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30437.685547,50222181,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30433.076172,50214578,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30418.765625,50190963,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30452.441406,50246528,
