block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,vector0,NA,NA,30421.197266,50194975,77.420380,38.108479,0.025073,0.050143,
1,vector0,NA,NA,30409.730469,50176057,77.449577,38.122849,0.025083,0.050162,
2,vector0,NA,NA,30426.867188,50204331,77.405952,38.101376,0.025069,0.050133,
3,vector0,NA,NA,30433.289062,50214926,77.377533,38.087383,0.025059,0.050115,
4,vector0,NA,NA,30410.685547,50177631,77.447144,38.121651,0.025082,0.050160,
5,vector0,NA,NA,30419.195312,50191671,77.425476,38.110985,0.025075,0.050146,
6,vector0,NA,NA,30451.500000,50244976,77.343338,38.070557,0.025048,0.050093,
7,vector0,NA,NA,30405.908203,50169749,77.447212,38.121681,0.025082,0.050160,
8,vector0,NA,NA,30402.750000,50164535,77.467361,38.131599,0.025089,0.050173,
9,vector0,NA,NA,30411.617188,50179168,77.444771,38.120483,0.025081,0.050159,
10,vector0,NA,NA,30466.740234,50270122,77.304649,38.051510,0.025036,0.050068,
11,vector0,NA,NA,30471.777344,50278433,77.279793,38.039276,0.025028,0.050052,
12,vector0,NA,NA,30442.208984,50229645,77.366943,38.082172,0.025056,0.050108,
13,vector0,NA,NA,30452.800781,50247121,77.340034,38.068928,0.025047,0.050091,
14,vector0,NA,NA,30418.332031,50190246,77.427673,38.112068,0.025076,0.050147,
15,vector0,NA,NA,30419.039062,50191418,77.413780,38.105228,0.025071,0.050138,
16,vector0,NA,NA,30402.898438,50164785,77.466980,38.131413,0.025088,0.050173,
17,vector0,NA,NA,30425.085938,50201390,77.410484,38.103607,0.025070,0.050136,
18,vector0,NA,NA,30432.281250,50213266,77.392189,38.094597,0.025064,0.050124,
19,vector0,NA,NA,30426.917969,50204417,77.393730,38.095360,0.025065,0.050125,
20,vector0,NA,NA,30455.574219,50251695,77.332993,38.065460,0.025045,0.050086,
21,vector0,NA,NA,30460.126953,50259206,77.321434,38.059772,0.025041,0.050079,
22,vector0,NA,NA,30467.746094,50271779,77.302101,38.050255,0.025035,0.050066,
23,vector0,NA,NA,30451.103516,50244318,77.332260,38.065102,0.025045,0.050086,
24,vector0,NA,NA,30461.171875,50260933,77.318787,38.058468,0.025040,0.050077,
25,vector0,NA,NA,30467.810547,50271887,77.301933,38.050175,0.025035,0.050066,
26,vector0,NA,NA,30430.783203,50210791,77.395996,38.096474,0.025065,0.050127,
27,vector0,NA,NA,30442.203125,50229635,77.354874,38.076233,0.025052,0.050100,
28,vector0,NA,NA,30406.996094,50171546,77.456543,38.126274,0.025085,0.050166,
29,vector0,NA,NA,30404.238281,50166993,77.463570,38.129734,0.025087,0.050171,
30,vector0,NA,NA,30416.548828,50187306,77.432213,38.114300,0.025077,0.050150,
31,vector0,NA,NA,30412.996094,50181443,77.429161,38.112797,0.025076,0.050148,
32,vector0,NA,NA,30434.199219,50216428,77.387306,38.092197,0.025063,0.050121,
33,vector0,NA,NA,30440.419922,50226692,77.371490,38.084412,0.025057,0.050111,
34,vector0,NA,NA,30452.851562,50247205,77.339905,38.068867,0.025047,0.050091,
35,vector0,NA,NA,30465.115234,50267440,77.296700,38.047596,0.025033,0.050063,
36,vector0,NA,NA,30437.685547,50222181,77.378441,38.087833,0.025060,0.050116,
37,vector0,NA,NA,30433.076172,50214578,77.390167,38.093601,0.025064,0.050123,
38,vector0,NA,NA,30418.765625,50190963,77.426575,38.111523,0.025075,0.050147,
39,vector0,NA,NA,30452.441406,50246528,77.322823,38.060459,0.025042,0.050080,
