block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30421.197266,50194975,13152.756836,0.432355,19020.234375,0.625230,8762.764648,0.288048,781.506653,0.025690,0.000000,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30409.730469,50176057,13152.756836,0.432518,19020.619141,0.625478,8804.639648,0.289534,791.132141,0.026016,0.000000,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30426.867188,50204331,13152.756836,0.432274,19020.378906,0.625118,8937.064453,0.293723,808.718201,0.026579,0.000000,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30433.289062,50214926,13150.700195,0.432116,19018.767578,0.624933,9000.076172,0.295731,814.238159,0.026755,0.000000,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30410.685547,50177631,13152.756836,0.432504,19021.265625,0.625480,8741.905273,0.287462,783.824219,0.025775,0.000000,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30419.195312,50191671,13152.756836,0.432383,19021.714844,0.625319,8809.919922,0.289617,789.246643,0.025946,0.000000,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30451.500000,50244976,13152.756836,0.431925,19022.306641,0.624676,9687.837891,0.318140,781.461182,0.025662,0.000000,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30405.908203,50169749,13150.700195,0.432505,19020.033203,0.625537,9666.878906,0.317928,790.998779,0.026015,0.000000,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30402.750000,50164535,13152.756836,0.432617,19022.986328,0.625700,9496.068359,0.312342,806.159424,0.026516,0.000000,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30411.617188,50179168,13152.756836,0.432491,19020.664062,0.625441,9561.031250,0.314387,815.544250,0.026817,0.000000,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30466.740234,50270122,13152.756836,0.431709,19022.998047,0.624386,9114.833008,0.299173,795.443665,0.026109,0.000000,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30471.777344,50278433,13150.700195,0.431570,19018.064453,0.624121,9175.795898,0.301124,800.681824,0.026276,0.000000,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30442.208984,50229645,13152.756836,0.432057,19020.933594,0.624821,8905.169922,0.292527,767.981201,0.025228,0.000000,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30452.800781,50247121,13152.756836,0.431906,19020.820312,0.624600,8985.537109,0.295064,778.660583,0.025569,0.000000,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30418.332031,50190246,13152.756836,0.432396,19020.960938,0.625312,8802.094727,0.289368,759.796387,0.024978,0.000000,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30419.039062,50191418,13150.700195,0.432318,19018.037109,0.625202,8852.427734,0.291016,768.861206,0.025276,0.000000,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30402.898438,50164785,13152.756836,0.432615,19021.234375,0.625639,8922.112305,0.293463,760.806641,0.025024,0.000000,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30425.085938,50201390,13152.756836,0.432300,19021.085938,0.625178,8999.913086,0.295806,768.896973,0.025272,0.000000,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30432.281250,50213266,13152.756836,0.432198,19021.357422,0.625039,9619.277344,0.316088,770.969727,0.025334,0.000000,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30426.917969,50204417,13150.700195,0.432206,19018.380859,0.625051,9639.764648,0.316817,776.014526,0.025504,0.000000,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30455.574219,50251695,13152.756836,0.431867,19021.744141,0.624574,9890.440430,0.324750,795.531494,0.026121,0.000000,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30460.126953,50259206,13152.756836,0.431802,19021.773438,0.624481,9942.541016,0.326412,800.689697,0.026286,0.000000,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30467.746094,50271779,13152.756836,0.431694,19022.285156,0.624342,9143.629883,0.300109,838.935730,0.027535,0.000000,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30451.103516,50244318,13150.700195,0.431863,19019.578125,0.624594,9174.149414,0.301275,844.346680,0.027728,0.000000,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30461.171875,50260933,13152.756836,0.431788,19022.134766,0.624472,9848.603516,0.323317,794.964233,0.026098,0.000000,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30467.810547,50271887,13152.756836,0.431694,19022.933594,0.624362,9887.958008,0.324538,801.389099,0.026303,0.000000,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30430.783203,50210791,13152.756836,0.432219,19022.398438,0.625104,9543.288086,0.313606,768.889099,0.025267,0.000000,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30442.203125,50229635,13150.700195,0.431989,19019.750000,0.624782,9596.089844,0.315223,778.343628,0.025568,0.000000,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30406.996094,50171546,13152.756836,0.432557,19022.892578,0.625609,8938.436523,0.293960,762.763000,0.025085,0.000000,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30404.238281,50166993,13152.756836,0.432596,19023.929688,0.625700,8999.561523,0.295997,766.853333,0.025222,0.000000,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30416.548828,50187306,13152.756836,0.432421,19023.203125,0.625423,8807.324219,0.289557,760.450317,0.025001,0.000000,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30412.996094,50181443,13150.700195,0.432404,19020.923828,0.625421,8876.902344,0.291879,769.144836,0.025290,0.000000,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30434.199219,50216428,13152.756836,0.432170,19023.855469,0.625081,8929.885742,0.293416,768.804871,0.025261,0.000000,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30440.419922,50226692,13152.756836,0.432082,19024.453125,0.624973,8993.228516,0.295437,776.767273,0.025518,0.000000,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30452.851562,50247205,13152.756836,0.431906,19024.771484,0.624729,9108.837891,0.299113,793.467896,0.026056,0.000000,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30465.115234,50267440,13150.700195,0.431664,19022.945312,0.624417,9191.083008,0.301692,802.243652,0.026333,0.000000,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30437.685547,50222181,13152.756836,0.432121,19026.416016,0.625094,9504.887695,0.312274,808.510925,0.026563,0.000000,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30433.076172,50214578,13152.756836,0.432186,19027.890625,0.625237,9552.461914,0.313884,813.258179,0.026723,0.000000,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30418.765625,50190963,13152.756836,0.432390,19030.302734,0.625611,9441.192383,0.310374,782.703613,0.025731,0.000000,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30452.441406,50246528,13149.672852,0.431810,19042.644531,0.625324,9517.917969,0.312550,790.741211,0.025966,0.000000,
