block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte1_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,vector0,NA,NA,NA,NA,NA,NA,30421.197266,50194975,0.061182,0.054044,0.007138,0.000000,0.000000,0.109664,0.000000,0.000000,0.021668,
1,vector0,NA,NA,NA,NA,NA,NA,30409.730469,50176057,0.061205,0.054065,0.007141,0.000000,0.000000,0.110135,0.000000,0.000000,0.021677,
2,vector0,NA,NA,NA,NA,NA,NA,30426.867188,50204331,0.061171,0.054034,0.007137,0.000000,0.000000,0.114273,0.000000,0.000000,0.021664,
3,vector0,NA,NA,NA,NA,NA,NA,30433.289062,50214926,0.061148,0.054014,0.007134,0.000000,0.000000,0.114906,0.000000,0.000000,0.021656,
4,vector0,NA,NA,NA,NA,NA,NA,30410.685547,50177631,0.061203,0.054063,0.007140,0.000000,0.000000,0.110232,0.000000,0.000000,0.021676,
5,vector0,NA,NA,NA,NA,NA,NA,30419.195312,50191671,0.061186,0.054048,0.007138,0.000000,0.000000,0.111436,0.000000,0.000000,0.021670,
6,vector0,NA,NA,NA,NA,NA,NA,30451.500000,50244976,0.061121,0.053991,0.007131,0.000000,0.000000,0.133126,0.000000,0.000000,0.021647,
7,vector0,NA,NA,NA,NA,NA,NA,30405.908203,50169749,0.061203,0.054063,0.007140,0.000000,0.000000,0.133568,0.000000,0.000000,0.021676,
8,vector0,NA,NA,NA,NA,NA,NA,30402.750000,50164535,0.061219,0.054077,0.007142,0.000000,0.000000,0.124700,0.000000,0.000000,0.021682,
9,vector0,NA,NA,NA,NA,NA,NA,30411.617188,50179168,0.061201,0.054061,0.007140,0.000000,0.000000,0.126632,0.000000,0.000000,0.021675,
10,vector0,NA,NA,NA,NA,NA,NA,30466.740234,50270122,0.061091,0.053964,0.007127,0.000000,0.000000,0.116320,0.000000,0.000000,0.021636,
11,vector0,NA,NA,NA,NA,NA,NA,30471.777344,50278433,0.061071,0.053946,0.007125,0.000000,0.000000,0.117776,0.000000,0.000000,0.021629,
12,vector0,NA,NA,NA,NA,NA,NA,30442.208984,50229645,0.061140,0.054007,0.007133,0.000000,0.000000,0.112983,0.000000,0.000000,0.021653,
13,vector0,NA,NA,NA,NA,NA,NA,30452.800781,50247121,0.061119,0.053988,0.007131,0.000000,0.000000,0.114369,0.000000,0.000000,0.021646,
14,vector0,NA,NA,NA,NA,NA,NA,30418.332031,50190246,0.061188,0.054049,0.007139,0.000000,0.000000,0.110887,0.000000,0.000000,0.021670,
15,vector0,NA,NA,NA,NA,NA,NA,30419.039062,50191418,0.061177,0.054040,0.007137,0.000000,0.000000,0.112033,0.000000,0.000000,0.021667,
16,vector0,NA,NA,NA,NA,NA,NA,30402.898438,50164785,0.061219,0.054077,0.007142,0.000000,0.000000,0.111912,0.000000,0.000000,0.021681,
17,vector0,NA,NA,NA,NA,NA,NA,30425.085938,50201390,0.061174,0.054037,0.007137,0.000000,0.000000,0.113740,0.000000,0.000000,0.021666,
18,vector0,NA,NA,NA,NA,NA,NA,30432.281250,50213266,0.061160,0.054025,0.007135,0.000000,0.000000,0.131943,0.000000,0.000000,0.021661,
19,vector0,NA,NA,NA,NA,NA,NA,30426.917969,50204417,0.061161,0.054026,0.007135,0.000000,0.000000,0.132794,0.000000,0.000000,0.021661,
20,vector0,NA,NA,NA,NA,NA,NA,30455.574219,50251695,0.061113,0.053983,0.007130,0.000000,0.000000,0.136745,0.000000,0.000000,0.021644,
21,vector0,NA,NA,NA,NA,NA,NA,30460.126953,50259206,0.061104,0.053975,0.007129,0.000000,0.000000,0.138554,0.000000,0.000000,0.021641,
